米莲诺,米莲诺,米莲诺皮革制品有限公司建于1989年，坐落于中国广东省广州市番禺区，为港商独资企业，品牌自1989年成立以来，已在全国设立近百个销售点，遍及全国各地。
Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
Hamilton,哈密顿,哈密顿(WilliamRowanHamilton1805～1865)英国数学家，物理学家，力学家。1805年8月4日生于爱尔兰都柏林；1865年9月2日卒于爱尔兰都柏林。
TOMMY HILFIGER,汤米·希尔费格,汤米·希尔费格是美国休闲领导品牌之一，中国官网由TommyHilfiger100%品牌授权，为中国消费者提供高端男装、女装、童装、配饰等在线电子商务购物服务。网站秉承TommyHilfiger一贯的“美式经典而又酷味十足”的设计风格，并致力于提供完美的购物体验。是休闲精品。它独特的款式设计与生活品位使得该品牌在庞大的生活潮流市场中，鹤立于顶尖之位。
Iwc,IWC,IWC万国表创立于1868年，制表已有150年历史。也有地方叫夏佛豪塞，当地有钟表的历史可远溯至15世纪初，足足比IWC早了459年。但得到IWC建厂制表后，时间的精确度，才开始被人们牢牢掌握在手中。另有国际捕鲸委员会，简称IWC。
LeSportsac,lesportsac,LeSportsac创立于1974年，首创以降落伞材质制作的经典折叠式尼龙包，轻巧耐用，兼具功能性与时尚性；产品融合美式运动风格，和各种色彩与印花图案的组合。LeSportsac的包包除了它本身的设计风格迎合时代的流行脉动外；其花色、款式众多，可依照不同的场合或服装随性搭配。
ESTATE,estate,英n.财产；遗产；房地产；状态；庄园
DUSTY,Dusty,DUSTY，系香港元祖级街头潮流品牌。于1997年创立，最初由生产一小系列的T恤发展至现在全线的CASUALFASHION男女装时尚品牌，结合时装及休闲服之因素，DUSTY只提供有质素之产品，创作时尚品味及邀请所有人一起完成此梦想。
瑞宝,瑞宝,Ruibao瑞宝品牌是泉州市瑞宝鞋塑轻工有限公司于2002年发展成立的品牌，其前身是晋江市瑞得兴鞋塑有限公司，发展与1993年，瑞宝公司是一家从设计到生产再到销售一体化的企业，是一家国货民族企业。坚持将现代/简约自然/高品质且易于搭配的商品提供给全世界的消费者。倡导“百搭”的理念，也为消费者熟知，Ruibao瑞宝专注细节，不断改进鞋服各种细节，追求产品创新，符合现代人消费理念，力求做到“好产品”“穿舒适”“价格低”，做人人穿得起品牌！
生活在左,生活在左,生活在左 （ALifeOnTheLeft） ，是广州市汇美服装有限公司茵曼集团旗下服装品牌，品牌创立于2014年。其产品多使用天然材质，擅长使用全棉、真丝、苎麻、等天然面料，产品工艺涵盖钩花，重绣，缎带绣等手工工艺。
SANKEN,Sanken,Sanken由设计师闵哲贤于2012年1月27年成立于韩国，品牌标识中的三个“+”号分别代表自信、自我与自由。
Inuk,inuk,加拿大品牌INUK，具有北美（西方）风格的包袋产品，并与2011年开始进入中国市场。
Hodo,HODO,《HODO》是一款Android平台的应用。
LOCAL LION,local lion,一家集设计、生产、管理、零售、服务于一体的箱包专业企业。
TARGUS,targus,TargusGroupInternationalInc(Targus)于1982年创立于美国加利福尼亚州阿纳海姆（Anahelm）。笔记本在1988年才正式出现，当人们开始使用笔记本的时候，很快意识到必须有一个专门的包来装着它，才可以带着它到处跑，而且这种包与一般的提包不同，必须能够给这个贵重的电子产品以足够的保护，于是出现了对专业笔记本电脑包的需求，TARGUS意识到这是一个绝好的机会，马上加入到生产行列中来，成为最早开始专业生产笔记本专用包的厂商之一。
同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
狮子头,狮子头,狮子头是中国江苏省扬州淮扬菜系中的一道传统菜肴。传说狮子头做法始于隋朝，是在隋炀帝游幸时，厨师以扬州万松山、金钱墩、象牙林、葵花岗四大名景为主题做成了松鼠桂鱼、金钱虾饼、象牙鸡条和葵花斩肉四道菜，据说原名葵花斩肉、葵花肉丸，唐代郇国公韦陟的家厨韦巨元做松鼠桂鱼，金钱虾饼，象牙鸡条，葵花斩肉四道名菜，令座中宾客叹服，葵花斩肉被改名为狮子头。此菜口感软糯滑腻，健康营养。江西宜丰也有此菜，盛传100余年，具有色泽雪白，肉质鲜嫩、清香味醇，四季皆宜等特点。安徽巢湖地区每年在新春佳节期间都要扎彩球，耍狮子，庆祝五谷丰登。当地群众届时要制作形似狮子头的点心来酬谢舞狮子的人，这种习俗自古至今广为流传。此小吃因用食碱量比普通酵面团要稍大，所以特别酥香，可贮存数日不会软。
笛子,笛子,笛子，是古老的中国乐器，也是中国乐器中最具代表性最有民族特色的吹奏乐器。中国传统音乐中常用的横吹木管乐器之一，中国竹笛，一般分为南方的曲笛、北方的梆笛和介于两者之间的中音笛。笛子常在中国民间音乐、戏曲、中国民族乐团、西洋交响乐团和现代音乐中运用，是中国音乐的代表乐器之一。在民族乐队中，笛子是举足轻重的吹管乐器，被当做民族吹管乐的代表。大部分笛子是竹制的，但也有石笛、玉笛及红木做的笛子，古时还有骨笛。不过，制作笛子的最好原料仍是竹子，因为竹笛声音效果较好，制作成本较低。
李维斯,李维斯,李维斯（Levi's）是著名的牛仔裤品牌，由犹太商人LeviStrauss（李维·斯特劳斯）创立。1853年，LeviStrauss成立了生产帆布工装裤的LeviStrauss&Co.公司。1873年他与另一伙人JACOBDAVIS把他们生产的扣钮牛仔裤上所用的「撞钉」注册专利，标志着第一条牛仔裤的诞生。作为牛仔裤的“鼻祖”，Levi's象征着美国野性、刚毅、叛逆与美国开拓者的精神。它历经一个半世纪，从美国流行到全世界，并成为全球各地男女老少都能接受的时装。靛蓝牛仔斜纹布、腰后侧的皮章、裤后袋上的弧线、铆钉、独有的红旗标等都是李维斯的特点。李维斯百年来不断追求创新，1960年，推出水洗系列牛仔裤，1967年出现喇叭口裤型、1986年开始生产预先穿洞的破烂牛仔裤、将牛仔裤裤管翻过来的“翻边”、2003年性感新潮剪裁独特、款式至酷的TYPE1TM系列。
拉卡拉收款宝,拉卡拉手机收款宝,手机收款宝是由拉卡拉集团自主研发的，为iOS、安卓智能手机平台商户提供收单服务的移动产品，包括手机收款宝硬件和手机收款宝客户端软件两部分。手机收款宝功能：收款、撤销交易，信用卡还款、手机充值、转账汇款、余额查询，交易查询，及其他附加功能：计算器。
依路佑妮,依路佑妮,依路佑妮是广州德灿投资管理有限公司旗下主要经营的快时尚女装品牌。
CCS,魔卡少女樱,漫画《魔卡少女樱》是CLAMP在杂志《なかよし》（好朋友）上连载的魔法少女漫画作品。 单行本由讲谈社出版。 作品亦改编为同名电视动画、动画电影。作品曾获第32届星云赏（漫画部门）。 续作为《魔卡少女樱CLEARCARD篇》。 
仓吉,仓吉,仓吉：女、藏族，1968.7月出生在西藏日喀则，1992年7月参加工作，1992年5月加入中国共产党。
栗,栗,栗（学名：CastaneamollissimaBl.），壳斗科栗属植物。在古书中最早见于《诗经》一书，可知栗的栽培史在中国至少有二千五百余年的历史。高达20米的乔木，胸径80厘米，冬芽长约5毫米，小枝灰褐色，托叶长圆形，长10-15毫米，被疏长毛及鳞腺。叶椭圆至长圆形，长11-17厘米，宽稀达7厘米；叶柄长1-2厘米。雄花序长10-20厘米，花序轴被毛；花3-5朵聚生成簇，雌花1-3(-5)朵发育结实，花柱下部被毛。成熟壳斗的锐刺有长有短，有疏有密，壳斗连刺径4.5-6.5厘米；坚果高1.5-3厘米，宽1.8-3.5厘米。花期4-6月，果期8-10月。栗子除富含淀粉外，尚含单糖与双糖、胡罗卜素、硫胺素、核黄素、尼克酸、抗坏血酸、蛋白质、脂肪、无机盐类等营养物质。栗木的心材黄褐色，纹理直，结构粗，坚硬，耐水湿，属优质材。壳斗及树皮富含没食子类鞣质。叶可作蚕饲料。除青海、宁夏、新疆、海南等少数省区外广布南北各地，在广东止于广州近郊，在广西止于平果县，在云南东南部则越过河口向南至越南沙坝地区。见于平地至海拔2800米山地，仅见栽培。 （概述图参考资料来源 ）
AMERICAN TOURISTER,American Tourister,AmericanTourister(“美旅”)箱包品牌，1933年索卡夫勒先生（Mr.Solkoffler）创立于美国罗德岛，有着近八十年的悠久历史。90年代加入新秀丽国际箱包公司，作为新秀丽家族第二品牌在全球统一运作，并拥有独立的广告、营运、开发、采购系统，是新秀丽旗下的国际著名箱包品牌。红蓝相间的“蝴蝶羽翼”造型的商标是“美旅”箱包“可靠质量，合理价格”的标志，其优质的品牌特性更为全球用户所青睐。全球销售网络遍布100多个国家，世界销售排名第二，提供全球售后服务。其品牌认知度：美国达88%，欧洲超过60%，是欧美众多年轻家庭户外出行的首选箱包品牌。
御旅,御旅,御旅是一个汉字词语，意思是负责迎接行旅的人；旅店管事者。
epc,EPC,EPC（EngineeringProcurementConstruction）是指公司受业主委托，按照合同约定对工程建设项目的设计、采购、施工、试运行等实行全过程或若干阶段的承包。通常公司在总价合同条件下，对其所承包工程的质量、安全、费用和进度进行负责。在EPC模式中，Engineering不仅包括具体的设计工作，而且可能包括整个建设工程内容的总体策划以及整个建设工程实施组织管理的策划和具体工作；Procurement也不是一般意义上的建筑设备材料采购，而更多的是指专业设备、材料的采购；Construction应译为“建设”，其内容包括施工、安装、试测、技术培训等。 还应包括全部正常达标，接手就可正常使用。交付前应做无负荷试运行、还包括带负荷联动试运行、试生产直至达产达标，正常生产为止。
恩曼琳,恩曼琳,恩曼琳，英文为ANMANI，是一服装品牌，以其时尚的设计理念、考究的面料、精致的工艺成为时装品牌中的精品是现代都市女性首选品牌。
固执,固执,固执，本指坚持不懈，后多指坚持成见。见《汉书·谷永传》：“无使素餐之吏久尸厚禄，以次贯行，固执无违。”
加加林,尤里·阿列克谢耶维奇·加加林,尤里·阿列克谢耶维奇·加加林（YuriAlekseyevichGagarin，1934年3月9日—1968年3月27日），世界第一名航天员，苏联英雄，前苏联太空人，前苏联红军上校飞行员，是第一个进入太空的地球人，也是第一个从太空中看到地球全貌的人。加加林生于前苏联斯摩棱斯克州格扎茨克区的克卢希诺镇一个集体农庄庄员家庭，白俄罗斯人。1955年从萨拉托夫工业技术学校毕业后参军。1957年在契卡洛夫第一军事航空飞行员学校结业，成为红旗北方舰队航空兵歼击机飞行员，同年与瓦莲京娜结婚。1960年被选为航天员，加入苏联共产党。1968年3月27日因飞机失事遇难，但具体死因仍众说纷纭。 2016年4月12日，俄罗斯乌格列戈尔斯克，当地举办由尤里-加加林完成的世界首次载人太空飞行55周年纪念活动。 
Volition,意志,意志，指决定达到某种目的而产生的心理状态，常以语言或行动表现出来。
Charlotte Olympia,charlotte Olympia,CharlotteOlympia，英国鞋履品牌，以防水台，鞋底的金色立体蜘蛛网Logo为标志性设计。
TRIBECA,Tribeca,Tribeca项目简介Tribeca是设计独特的高层建筑，位于吉隆坡市中心的战略地点。由著名的LowYatGroup（刘蝶集团）旗下的子公司BaktiDinamikSdn.Bhd.开发。项目融合着商务与休闲的生活理念，希冀给住户提供最好的生活享受，特别开发设置5个不同的区域，满足不同人的需求，让住户尊享高尚奢华生活。
踏风行,踏风行,《踏风行》是瑶光飞雪创作的网络小说，发表于晋江文学网。
艺汇家,艺汇家,北京艺汇家投资管理有限公司是中华人民共和国文化部、中华人民共和国民族事务委员会、中国国际贸易促进委员会、中国轻工业联合会、北京市怀柔区人民政府、大力扶持的文化创意产业园区，是怀柔区重点建设项目之一，由金太阳投资集团投资兴建的手工生活艺术品市场。
翠贝卡,翠贝卡,翠贝卡（Tribeca）品牌来源于美国纽约一条著名街区的名字，设计风格主要以办公室休闲为主，由香港诸多具有声望的多名设计师注入全新的设计理念，TRIBECA设计出纯净幽雅、品位个性相融的产品，运用国际著名时装的生产方式，取得著名纺织纤维原材料的直接供应，并开发出整体搭配系列产品。
悍风,悍风,《悍风》是由狂飙De宅男编写的一本小说。连载网站起点中文网。
麦丝玛拉,麦丝玛拉,麦丝玛拉，是一个意大利的服装品牌。麦丝玛拉(MaxMara)香水是同系列商品之一。
墨季,墨季,
modern,modern,ModernUI，指微软开发的Windows8操作系统中所带的一种全新风格的界面设计，它的前身即是MetroUI.它在Windowsphone系统以及Windows8/8.1中被大量采用。
MCGOR,mcgor,mcgor是杭州铭哲皮具有限公司旗下皮具品牌，品牌诞生于2009年，经过多年的发展已经成为一款具有一定知名度的电子商务品牌。
智慧地球,智慧地球,智慧地球分成三个要素，即“3I”：物联化、互联化、智能化，是指把新一代的IT、互联网技术充分运用到各行各业，把感应器嵌入、装备到全球的医院、电网、铁路、桥梁、隧道、公路、建筑、供水系统、大坝、油气管道，通过互联网形成“物联网”；而后通过超级计算机和云计算，使得人类以更加精细、动态的方式和生活，从而在世界范围内提升“智慧水平”，最终就是“互联网+物联网=智慧地球”。
Ambassador,ambassador,ambassador，英语名词，意思是大使，使节，（派驻联合国等国际组织的）代表，特使，使者。
冠军,冠军,冠军是一个汉语词汇，拼音是guànjūn，泛指体育、文化、艺术表演等竞技比赛中的第一名。出自于《史记·黥布列传》。
