天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
星爵,星爵,星爵（Star-Lord）是美国漫威漫画旗下超级英雄，初次登场于《MarvelPreview》第4期（1976年1月），由史蒂夫·英格哈特和史蒂夫·甘联合创造。本名彼得·杰森·奎尔（PeterJasonQuill），拥有半人类、半斯巴达星人的血统，是斯巴达星统治者杰森·斯巴达克斯（J'sonofSpartax）与美国科罗拉多州一名女子梅瑞狄斯·奎尔（MeredithQuill）所生。星爵是一名杰出的射手和剑客，同时亦对搏斗非常擅长。本是孤身作战，在2006年漫画《星际湮灭》里加入"UnitedFront"。其后在2008年漫画《银河护卫队》中他招募了一批星际超级英雄，组成银河护卫队并成为领袖，对抗宇宙真理教，守卫因为星际湮灭事件而支离破碎的宇宙，在之后的灭霸无疆里他组建宇宙最强战队歼灭者。星爵的银河护卫队也曾多次与地球上的复仇者联盟联手，共同对抗宇宙级超级反派。 在漫威电影宇宙中，星爵由演员克里斯·帕拉特饰演。
隐士,隐士,隐士，是道家哲学术语。指隐修专注研究学问的士人，民间教育家。首先是“士”，即知识分子，否则就无所谓隐士。隐士首先是知识分子，是“士”阶层的成员之一。并不是所有居于乡野山林不入仕途之人都可称为隐士，那些向往入仕但却无机会无能力入仕之人不是隐士，那些没有文化的农夫樵子细民野老也不是隐士；只有那些能保持独立人格、追求思想自由、不委曲求全、不依附权势、具有超凡才德学识、并且是真正出自内心不愿入仕的隐居者，才能被称之为隐士。他们跟庄子一样，崇尚自然无为的人生态度，选择隐修专注研究学问的生活方式。隐士一般是道家人物，而道家代表人物也往往是隐士，比如，许由、巢父、列子、庄子、鬼谷子、张良、黄石公、邓禹、诸葛亮、刘伯温、水镜先生、徐茂公、苗训、陈抟、河上丈人、陶渊明等等，当然，还有很多没有留下著作的隐士，这是因为战乱以致于我们无法了解他们。
雄风,雄风,雄风，原意是指雄性的气魄和霸气，现多用来形容人、团体或者国家，指人、团体或者国家的实力强而表现出来的内在的令人为之折服的魅力。
TOMMY HILFIGER,汤米·希尔费格,汤米·希尔费格是美国休闲领导品牌之一，中国官网由TommyHilfiger100%品牌授权，为中国消费者提供高端男装、女装、童装、配饰等在线电子商务购物服务。网站秉承TommyHilfiger一贯的“美式经典而又酷味十足”的设计风格，并致力于提供完美的购物体验。是休闲精品。它独特的款式设计与生活品位使得该品牌在庞大的生活潮流市场中，鹤立于顶尖之位。
YUME,Yume,《Yume》是1990年上映的日本幻想剧情电影，由黑泽明、本多猪四郎执导，马丁·斯科西斯、笠智众等主演。《Yume》讲述了人类生活中的主题，包括战争与和平、社会与人生。
康爵,康爵,康爵（1894.5.18-1943.6.9），字修其，莆田涵江区涵西保尾田民埕人。毕业于上海春申大学，他倾毕生竭力搜集故乡史献，是莆阳著名的地方志史学家和目录学家，得到邑人权威史学界朱维干教授的赞赏。新编《莆田县志》（1994年10月中华书局出版）及《涵江区志》（1997年8月方志出版社出版）都有传。
EZON,EZON,EZON公司创立于2003年，是集研发、制造、营销、服务为一体的高新技术型企业，致力于打造高精密制造与信息技术相结合的钟表等信息时计产品及基于物联网、互联网、云计算的运动健康信息管理平台。
米蓝,米蓝,米蓝（milan）是深圳市中兴伟业通讯发展有限公司旗下品牌之一，专注为消费者提供最高品质、最高价值、最具创意的数码配件产品。是目前国内最具影响力的消费类数码配件实力品牌。产品涵盖蓝牙耳机、移动电源、蓝牙音箱、车载蓝牙等数码周边配件。深圳市中兴伟业通讯发展有限公司成立于2004年，注册资金人民币两千万，配备有国际先进水平的生产设备及检测仪器仪表设备，集研发、生产、销售为一体。2011年，创立了“米粒”品牌手机，并迅速成为电信网络国内移动电话品牌的新生主力。为了多元化发展，2012年，创立了“米蓝”品牌，主营业务为手机周边配套配件，并致力于把“米蓝”打造成为国内消费类数码配件实力品牌。未来，米蓝（milan）将朝着全球顶尖数码配件整合品牌迈进，为用户提供更专业、更全面的产品和服务。更会在专业领域不断的探索创新，励志将一粒米所蕴涵的正能量传播到生活的每个角落。
堡狮龙,堡狮龙,堡狮龙国际集团有限公司（在一九九三年於香港联合交易所有限公司上市）及其附属公司(「堡狮龙」)是区内具领导地位的服装品牌拥有人、零售商和特许经营商。堡狮龙总部设于香港，自一九八七年开设首间零售店铺以来，经过约二十年的迅速发展，已建立了一个庞大的全球性营运平台及分销网络，并成功将业务拓展至全球约三十个国家及地区，以中国香港、中国大陆、中国台湾、新加坡及马来西亚为五大核心市场
