充电器,充电器,充电器是采用高频电源技术，运用先进的智能动态调整充电技术。工频机是以传统的模拟电路原理来设计的，机器内部电力器件（如变压器、电感、电容器等）都比较大，一般在带载较大运行时存在较小噪声，但该机型在恶劣的电网环境条件中耐抗性能较强，可靠性及稳定性均比高频机强。
格力,格力集团,格力集团成立于1985年3月，经过33年的发展，成为珠海市目前规模最大、实力最强的企业集团之一，形成了工业、房地产、石化三大板块综合发展的格局。全集团拥有“格力”、“罗西尼”两个中国驰名商标，“MMC”广东省著名商标，格力空调和罗西尼手表双双获得中国名牌产品称号。2005年，格力集团实现销售收入196亿元，实现利润总额7.4亿元，出口创汇5.5亿美元。
三洋,三洋,三洋（SANYO），是日本的一家有60年历史的大型企业集团，总部位于日本大阪，产品涉及显示器、手机、数码相机、机械、生物制药等众多领域。三洋电机是日本Panasonic旗下的电器公司，全球拥有324间办公室及工厂与约100000名雇员。三洋电机由井植岁男（1902年－1969年）于1947年成立，并于1950年组成株式会社，创办人为松下幸之助的内弟以及松下电器前雇员。该公司的名字于日语中意思为“三个海洋”，指的是该公司的创办人有将他们的产品销售到世界各地，横跨大西洋、太平洋与印度洋的抱负。
iTunes,iTunes,iTunes是一款供Mac和PC使用的一款免费数字媒体播放应用程序，能管理和播放数字音乐和视频。由苹果电脑在2001年1月10日于旧金山的MacworldExpo推出。iTunes程序管理苹果电脑iPod数字媒体播放器上的内容。此外，iTunes能连线到iTunesStore（假如网络连接存在)，以便下载购买的数字音乐、音乐视频、电视节目、iPod游戏、各种Podcast以及标准长片。它原来是由JeffRobbin和BillKincaid开发，作为一个MP3播放程序被称为SoundJamMP，并且由Casady&Greene在1999年发表。在2000年被苹果电脑购买，给予一个新的使用者界面并且有能力烧录CD，拥有它的记录功能，并且移除面板支持，以及发表做iTunes。起初仅于MacOS9的应用程序，随版本2发行的九个月后MacOSX支持被加入，随版本3的发行MacOS9的支持被停止。在2003年10月，与iTunes4.1的发行一起，Apple加入对Windows2000与WindowsXP的支持。不过，自Microsoft的最新操作系统WindowsVista发行以后，苹果电脑声称有数个已知的兼容性问题伴随iTunes软件。苹果电脑将很快地发行一个新版本以修正问题。目前，已经可以在win7上运行iTunes了。iTunes可从苹果电脑的网站免费下载取得，也随所有的Macintosh电脑与一些iPod附带并且提供给MacOSX。它也提供作为苹果电脑的iLife多媒体应用程序套件的一部分。
WOW,魔兽世界,《魔兽世界》（WorldofWarcraft）是由著名游戏公司暴雪娱乐所制作的第一款网络游戏，属于大型多人在线角色扮演游戏。游戏以该公司出品的即时战略游戏《魔兽争霸》的剧情为历史背景，依托魔兽争霸的历史事件和英雄人物，魔兽世界有着完整的历史背景时间线。 玩家在魔兽世界中冒险、完成任务、新的历险、探索未知的世界、征服怪物等。2003年《魔兽争霸III：冰封王座》发售之后，暴雪娱乐正式宣布了《魔兽世界》的开发计划（之前已经秘密开发了数年之久）。魔兽世界于2004年在北美公开测试，同年11月23日开始在美国、新西兰、加拿大、澳洲与墨西哥发行。截至2008年底，全球的魔兽世界付费用户已超过1150万人，并成功打进吉尼斯世界纪录大全。2008年4月，魔兽世界在MMORPG市场占有率达62%。 截止2014年01月，全世界创建的账号总数已超过一亿（含试玩版账号），人物角色达到5亿。共有244个国家和地区的人在玩《魔兽世界》，包括南极、巴哈马，圣诞岛，以及托克劳群岛之类。 在中国大陆的原代理商为第九城市，2005年3月21日下午开始限量测试，同年6月6日正式商业化运营。2009年6月7日起中国地区运营商变更为网易。  2016年9月1日，魔兽世界7.0版本全球同步上线。2018年3月，《魔兽世界》8.0部落新主城祖达萨场景预览 。
手机电池,手机电池,手机电池是为手机提供电力的储能工具，由三部分组成：电芯、保护电路和外壳，手机电池一般用的是锂电池和镍氢电池。mAh”是电池容量的单位，中文名称是毫安时。
移动电源,移动电源,移动电源（MobilePowerPack，MPP），也叫充电宝、旅行充电器等，是一种集供电和充电功能于一体的便携式充电器，可以给手机、平板电脑等数码设备随时随地充电。一般由锂电芯（或者干电池，较少见）作为储电单元，使用方便快捷。 
电池,电池,电池（Battery）指盛有电解质溶液和金属电极以产生电流的杯、槽或其他容器或复合容器的部分空间，能将化学能转化成电能的装置。具有正极、负极之分。随着科技的进步，电池泛指能产生电能的小型装置。如太阳能电池。电池的性能参数主要有电动势、容量、比能量和电阻。利用电池作为能量来源，可以得到具有稳定电压，稳定电流，长时间稳定供电，受外界影响很小的电流，并且电池结构简单，携带方便，充放电操作简便易行，不受外界气候和温度的影响，性能稳定可靠，在现代社会生活中的各个方面发挥有很大作用。
电源,电源,电源是将其它形式的能转换成电能的装置。电源自“磁生电”原理，由水力、风力、海潮、水坝水压差、太阳能等可再生能源，及烧煤炭、油渣等产生电力来源。常见的电源是干电池（直流电）与家用的110V-220V交流电源。
单口,单口,相声中的一种形式，一个人说称为单口相声，两个人为对口相声，三个人以上为群口相声。单口相声由一个演员表演，讲述笑话；是在民间笑话基础上发展起来的一种民间艺术形式，它既有相声的特点也继承了民间笑话、故事、评书的艺术手法。
Tomcat,tomcat,Tomcat是Apache软件基金会（ApacheSoftwareFoundation）的Jakarta项目中的一个核心项目，由Apache、Sun和其他一些公司及个人共同开发而成。由于有了Sun的参与和支持，最新的Servlet和JSP规范总是能在Tomcat中得到体现，Tomcat5支持最新的Servlet2.4和JSP2.0规范。因为Tomcat技术先进、性能稳定，而且免费，因而深受Java爱好者的喜爱并得到了部分软件开发商的认可，成为目前比较流行的Web应用服务器。Tomcat服务器是一个免费的开放源代码的Web应用服务器，属于轻量级应用服务器，在中小型系统和并发访问用户不是很多的场合下被普遍使用，是开发和调试JSP程序的首选。对于一个初学者来说，可以这样认为，当在一台机器上配置好Apache服务器，可利用它响应HTML（标准通用标记语言下的一个应用）页面的访问请求。实际上Tomcat是Apache服务器的扩展，但运行时它是独立运行的，所以当你运行tomcat时，它实际上作为一个与Apache独立的进程单独运行的。诀窍是，当配置正确时，Apache为HTML页面服务，而Tomcat实际上运行JSP页面和Servlet。另外，Tomcat和IIS等Web服务器一样，具有处理HTML页面的功能，另外它还是一个Servlet和JSP容器，独立的Servlet容器是Tomcat的默认模式。不过，Tomcat处理静态HTML的能力不如Apache服务器。目前Tomcat最新版本为9.0。
多口,多口,多口，汉语词汇。注音：duōkǒu。释义：多言，不该说而说。
无线充电器,无线充电器,无线充电器是指不用传统的充电电源线连接到需要充电的终端设备上的充电器，采用了最新的无线充电技术，通过使用线圈之间产生的磁场，神奇的传输电能，电感耦合技术将会成为连接充电基站和设备的桥梁。无线充电技术在2007年获得了20项专利，多种设备可以使用一台充电基站，手机、MP3播放器、电动工具和其他的电源适配器的有线充电情况将不会存在了。
万能充,万能充,首先万能充不等于快充，它的空载电压高不等于它的充电电流大，一般万能充的空载电压在6~9V，但考虑到电路和电池内阻，实际到电池上的电压不可能这么高，使用这么高的空载电压是为了在电池性能下降（内阻变大）时也可以正常对电池充电。使用该类“万能”充电器最常见的后果是手机电池使用时间大大缩短，很有可能只能用上半小时，电池几乎等于报废。如果新手机的前三次充电用了这种“万能充”，受到的损坏更大。
快充,快充,“快充”指的是网购一族网上全国移动、联通、电信话费、Q币、各种游戏点卡等官方快速充值，商家都是用的自动充值软件，直接对应的淘宝的接口，只要是买家付了款，不管掌柜在不在线，软件都会7*24小时为您所填的号码进行自动充值，1到10分钟到账，一般都在3分钟左右就到账了。
