3M,3M公司,3M公司全称MinnesotaMiningandManufacturing（明尼苏达矿务及制造业公司），创建于1902年，总部设在美国明尼苏达州的圣保罗市，是世界著名的产品多元化跨国企业。3M是全球性的多元化科技企业，创建于1902年，素以勇于创新、产品繁多著称于世，生产数以万计的创新产品，在医疗产品、高速公路安全、办公文教产品、光学产品等核心市场占据领导地位。3M为全球近200多个国家的客户提供产品及服务，其产品已深入人们的生活，从家庭用品到医疗用品，从运输、建筑到商业、教育和电子、通信等各个领域，极大地改变了人们的生活和工作方式。
霍尼韦尔,霍尼韦尔,霍尼韦尔国际（HoneywellInternational）是一家营业额达300多亿美元的多元化高科技和制造企业，在全球，其业务涉及：航空产品和服务、楼宇、家庭和工业控制技术、汽车产品、涡轮增压器以及特殊材料。霍尼韦尔公司总部位于美国新泽西州莫里斯镇。霍尼韦尔是一家国际性从事自控产品开发及生产的公司，公司成立于一八八五年，有超过百年历史的国际公司，一九九六年，被美国"财富"杂志评为最受推崇的20家高科技企业之一。是一家销售额为333.7亿美元(2011年度)，在多元化技术和制造业方面占世界领导地位的跨国公司（500强排名280位）。宗旨是以增加舒适感，提高生产力，节省能源，保护环境，保障使用者生命及财产从而达到互利增长为目的。为全球的楼宇，工业，航天及航空市场的客户服务。霍尼韦尔国际公司是一个拥有多元化制造技术的领导者，服务于世界各地的客户，包括航天产品及服务、工业和家庭楼宇控制技术、汽车产品、涡轮增压器以及特种材料。霍尼韦尔在全球100多个国家/地区拥有116000员工，以满足客户，力争成为世界自控先驱，从而实现互利增长的目标。2017年6月7日，2017年《财富》美国500强排行榜发布，霍尼韦尔排名第73位。 
Honeywell,霍尼韦尔,霍尼韦尔国际（HoneywellInternational）是一家营业额达300多亿美元的多元化高科技和制造企业，在全球，其业务涉及：航空产品和服务、楼宇、家庭和工业控制技术、汽车产品、涡轮增压器以及特殊材料。霍尼韦尔公司总部位于美国新泽西州莫里斯镇。霍尼韦尔是一家国际性从事自控产品开发及生产的公司，公司成立于一八八五年，有超过百年历史的国际公司，一九九六年，被美国"财富"杂志评为最受推崇的20家高科技企业之一。是一家销售额为333.7亿美元(2011年度)，在多元化技术和制造业方面占世界领导地位的跨国公司（500强排名280位）。宗旨是以增加舒适感，提高生产力，节省能源，保护环境，保障使用者生命及财产从而达到互利增长为目的。为全球的楼宇，工业，航天及航空市场的客户服务。霍尼韦尔国际公司是一个拥有多元化制造技术的领导者，服务于世界各地的客户，包括航天产品及服务、工业和家庭楼宇控制技术、汽车产品、涡轮增压器以及特种材料。霍尼韦尔在全球100多个国家/地区拥有116000员工，以满足客户，力争成为世界自控先驱，从而实现互利增长的目标。2017年6月7日，2017年《财富》美国500强排行榜发布，霍尼韦尔排名第73位。 
珍视明,珍视明滴眼液,珍视明滴眼液是江西珍视明药业生产的一种药物。该产品主要清热解痉，去翳明目。用于肝阴不足，肝气偏盛所致的不能久视、青少年远视力下降；用于青少年假性近视、视力疲劳。
好视力,好视力,北京好视力科技发展有限公司成立于2001年，是一家致力于眼健康产品的企业，2001年正式投放市场，已成为眼健康行业的领军品牌。好视力公司的主要产品是好视力护眼贴。北京好视力科技发展有限公司秉承体育营销之路，已相继成为“中国国家射击队的护眼产品”、“国内跳水系列赛事护眼产品”。好视力公司以“眼健康”为己任，率先开启了“绿色护眼”的时代。
诺斯清,诺斯清,诺斯清，全称诺斯清生理性海水鼻腔护理喷雾器，是一款能够清洁鼻腔，抑菌消炎，调节鼻腔PH值的二类医疗器械。国内独有的儿童专用装，安全、方便、环保、无刺激，孕妇儿童同样适用。
参天,参天,参天（verytall），指高悬或高耸于天空；其语出《汉书·谷永传》：“太白出西方六十日，法当参天，今已过期，尚在桑榆之间。”
绿盾,绿盾,绿盾加密软件即天锐绿盾，是一套整合了文件自动加密、网络实时监控、网络行为管理及内网的软件系统，为企业提供一体化信息安全解决方案，从源头保障数据存储和使用的安全，规范计算机操作行为，严防资料外泄，确保信息安全。绿盾是厦门天锐科技有限公司自主研发的信息安全管理软件。
CM,犯罪心理,《犯罪心理》（Criminalminds）是CBS出品的犯罪剧情电视剧，由费利克斯·恩里克斯·阿卡拉和格伦·克肖执导，由托马斯·吉布森、乔·曼特纳、谢玛·摩尔、马修·格雷·古柏勒等人主演。 《犯罪心理》讲述了美国联邦调查局总部下属的行为分析科部门（简称“BAU”）中，行为分析师们剖析最棘手的案件，分析凶手的心理和作案特征，并在他们再次施暴前预测出他们的下一步行动，协助当地警察捉拿凶手。该剧于2005年9月22日在美国首播，该剧多次获得艾美奖和人民选择奖的提名。 
乐敦,乐敦眼药水,乐敦眼药水诞生于1909年，至今已超过百年历史，凭借良好的信誉和产品功效，创下全球销量连续9年No.1的佳绩，2014年更以高达200亿日元（约11.4亿人民币）的销售额成功获得吉尼斯世界纪录认证。针对不同的护眼需求，乐敦专门研制不同的眼睛呵护配方。在中国市场已推出新乐敦、小乐敦、乐敦清、红乐敦、乐敦莹、乐敦康及乐敦清隐形眼镜护理液等专业护眼产品。 
小林,小林,小林，日本著名动漫《龙珠》中的主要角色之一，与孙悟空一同在龟仙人（武天师父）门下习武，是最强的地球人（布欧篇的评价，此时欧布并未登场）。妻子是人造人18号，女儿是玛伦。
PITTA,八色鸫属,八色鸫属（学名：Pitta）：是雀形目八色鸫科的鸟类，共有32种及91个亚种。体型圆胖，尾短，腿长，嘴形较粗，最外侧初级飞羽长度达其内侧的4/5；是鸟类中色彩丰富的种类之一，俗名八色。以身体具有红、绿、蓝、白、黑、黄、褐、栗等鲜艳夺目，丰富艳丽的色彩而得名，是很有观赏价值的鸟类。在森林底层活动，翻拣树叶及朽木以寻找昆虫、蚂蚁和无脊椎动物等动物为食。叫声简单，间隔极短。
暖宝宝,暖宝宝, “暖宝宝”是小林制药株式会社经国家工商行政管理总局商标局核准注册的注册商标，并不是冬季取暖片产品的通用名称。在行业内，该类产品的正规通用名称为“一次性取暖片”，行业内各类不同厂家有着自己不同的叫法，如“取暖包”、“暖贴”或“热力贴”等等，各正规厂家为防止商标侵权均避免使用“暖宝宝”或者“暖宝宝贴”等与之相近的提法。
零听,零听,零听是乐腾达（深圳）日用品有限公司旗下主力品牌，致力于开发各种新型健康防护保健用具产品。零听品牌中最为知名的产品是零听抗噪卫士防噪音睡眠耳塞系列，是目前国内睡眠耳塞的开创性品牌也是销量第一的品牌，于2012年获得“中国著名品牌”称号。及后零听从听力防护产品延伸至其他身体防护产品如眼罩、口罩、枕垫等，并根据产品的特性成立了多个子品牌如圆目、U-healer、逸活等，同时通过高效迅速的研发平台及贴心服务的销售团队，为广大消费者提供优质可靠的新型健康防护产品及专业睡眠健康资讯，不断超越国人对生活品质提高的需求。
云南白药,云南白药,云南白药，云南省江川县特产，中国国家地理标志产品。云南白药白药是云南省出产的传统中成药，由于对止血愈伤，活血散瘀，消火去肿，排脓驱毒，具有良好疗效，因此成为主治各种跌打损伤、红肿疮毒、妇科血症、咽喉肿痛和慢性胃病的特效药品，从二十世纪初行销于世以来，蜚声中外，历久不衰，被誉为伤科圣药。近年来研究发现，云南白药还具有抗癌、抑制肿瘤的作用。云南白药是由云南民间医生曲焕章吸取民间传统配方，经过多年钻研和实践而首创配制的，最初取名为“百宝丹”，后称云南白药。目前，云南白药有传统瓶装和胶囊剂白药两种。
稳健,稳健,稳健（wěnjiàn），出自《唐国史补》，意思是稳而有力。
Winner,WINNER,WINNER（위너）是韩国YGEntertainment于2014年推出的男子组合，先后由姜昇润、金秦禹、李昇勋、宋旻浩、南太铉五名成员组成。2014年8月14日发行首张正规专辑《2014S/S》；8月17日通过《SBS人气歌谣》正式出道；9月10日发行专辑《2014S/S-JapanCollection-》在日本出道 。2016年2月1日发布迷你专辑《EXIT:E》 ；11月18日，南太铉因心理健康问题与经纪公司商讨后决定解除合约、退队 ，WINNER以四人形式展开活动。2017年4月4日，发行专辑《FATENUMBERFOR》 ；8月4日发布专辑《OURTWENTYFOR》 。2018年1月，获得第32届金唱片奖音源部门本奖 ；4月4日发行专辑《EVERYD4Y》 。
三次元,三次元,三次元一指三坐标测量机，它是指在一个六面体的空间范围内，能够表现几何形状、长度及圆周分度等测量能力的仪器，又称为三坐标测量仪或三坐标量床。三坐标测量仪可定义为“一种具有可作三个方向移动的探测器，可在三个相互垂直的导轨上移动，此探测器以接触或非接触等方式传送讯号，三个轴的位移测量系统（如光学尺）经数据处理器或计算机等计算出工件的各点坐标（X、Y、Z）及各项功能测量的仪器”。三坐标测量仪的测量功能应包括尺寸精度、定位精度、几何精度及轮廓精度等。三次元亦指三维空间，若需详情请浏览三维空间或3D词条。
南极人,南极人,南极人，成立于1997年是中国最早成立的内衣企业之一，首创保暖内衣产品，开创了中国内衣行业发展的新道路。历经18年的成长蜕变，南极人已经在内衣、母婴、服装、床品&布艺、厨品、鞋品、服饰配件、户外、家电等9大品类的55大类目产品线中取得突出的成绩，签约国民好媳妇海清，共同为国人带来“全品类消费品王国”，努力打造让用户尖叫的产品，创造极致的用户体验。南极人每年卖出上亿件/套的产品，为几亿人提供舒适、优质的日常生活所需。2014年双十一，南极人取得了单天1.8亿元的销售成绩，是南极人转型互联网企业后，模式创新的最强有力证明。2016年双十一，南极人取得了5.4亿元的销售业绩，再次刷新了历史记录！
SATO,SATO,SATO同样是温湿度记录仪的生产厂家，占有市场温湿度记录仪的很大份额。温湿度记录仪主要用于室内或者某特定环境同时检测温度和湿度。SATO温湿度记录仪为有纸记录仪，一但开启，会自动在特定的记录纸上划线，不同型号使用不同的记录纸。
可孚,可孚,可孚 ，湖南可孚医疗科技发展有限公司 于2010年11月15日 注册申请的商标品牌，主要商品服务列表有血压计、医疗器械和仪器、医用体温计、理疗设备、医用气垫、疝气带、助听器、避孕套、绷带(松紧)、拐杖。 
滴露,滴露,滴露(Dettol)是常见的消毒水之一，其有效成分是对氯间二甲苯酚（chloroxylenol亦称PCMX）。遇水变成白色是其标记。滴露为啡色液体，含有主要的消毒抗菌成分对氯间二甲苯酚（Chloroxylenol）。对氯间二甲苯酚属于酚类（Phenols)的一种，对口腔、喉咙和胃部有刺激性和腐蚀性。Chloroxylenol本来就是乳白色，但因为滴露另外含有较高浓度的松油（PineOil）和异丙醇（IsopropylAlcohol)把它溶解了，所以看不见它了。当滴露被倒进水里，水把松油和酒精稀释，松油和酒精的浓度降低了，Chloroxylenol就被释放出来，但Chloroxylenol并不太溶于水。
