汤臣倍健,汤臣倍健,汤臣倍健创立于1995年10月，2002年系统地将膳食补充剂引入中国非直销领域，并迅速成长为中国膳食补充剂领导品牌和标杆企业。2010年8月，国际篮球巨星姚明签约成为汤臣倍健的形象代言人，同年12月15日，汤臣倍健在深圳交易所创业板挂牌上市。十几年来，汤臣倍健坚持执行“三步走”的差异化全球品质战略，从全球原料采购到全球原料专供基地建立，再到全球自有有机农场建立。迄今为止，汤臣倍健原料产地遍及世界各地23个国家和地区，并在巴西、澳大利亚等地建立了五个原料专供基地，自有有机农场也在筹建中。在全球范围内不懈甄选优质原料，汇聚世界各地的营养精粹，构筑起优中选优的营养品联合国。
Swisse,Swisse,Swisse，1960年创建于澳大利亚墨尔本 ，是澳洲知名品牌 ，是澳大利亚自然健康品牌 。 
善存,善存,善存®(多维元素片(29))，用于预防和治疗因维生素与矿物质缺乏所引起的各种疾病。
钙尔奇,钙尔奇,钙尔奇，首个进入中国的国际知名钙补充剂品牌，也是全球医生推荐最多的钙制剂品牌。产品涉及儿童、白领、孕妇及中老年人等各年龄层次。
SCHIFF,Schiff,
修正,修正,修正是一个汉语词汇，拼音是xiūzhènɡ，指改正；品格端正，亦指遵行正道的人。出自《汉书·贾山传》：“举贤以自辅弼，求修正之士使直谏。”
同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
TRT,TRT,TRT——(BlastFurnaceTopGasRecoveryTurbineUnit以下简称TRT)高炉煤气余压透平发电装置(即TRT)是利用高炉冶炼的副产品——高炉炉顶煤气具有的压力能及热能使煤气通过透平膨胀机做功将其转化为机械能，再将机械能转化为电能。 
健安喜,健安喜,GNC在1935年，DavidShakarian在匹兹堡成立了一家专门贩售食品的小店，称之为Lackzoom。akarian's于418WoodStreetBS。美国GNC健安喜为全球闻名之优良营养食品公司，在全球拥有5000多家连锁店；500多万个金卡会员；在亚洲地区包括新加坡、台湾、菲律宾、马来西亚、印尼、香港等地，均有连锁店的成立。
GNC,健安喜,GNC在1935年，DavidShakarian在匹兹堡成立了一家专门贩售食品的小店，称之为Lackzoom。akarian's于418WoodStreetBS。美国GNC健安喜为全球闻名之优良营养食品公司，在全球拥有5000多家连锁店；500多万个金卡会员；在亚洲地区包括新加坡、台湾、菲律宾、马来西亚、印尼、香港等地，均有连锁店的成立。
普丽普莱,Puritan's Pride,Puritan'sPride，又称普丽普莱，公司是一家1960年创建于美国纽约长岛的美国保健品公司，是一家营养素生产企业，属下产品全部通过美国FDA认证。
Puritan's Pride,Puritan's Pride,Puritan'sPride，又称普丽普莱，公司是一家1960年创建于美国纽约长岛的美国保健品公司，是一家营养素生产企业，属下产品全部通过美国FDA认证。
康恩贝,康恩贝,康恩贝是康恩贝集团有限公司的控股子公司，是一家集药品研发、生产、销售及药材种植为一体的医药上市企业。公司于2004年4月在上海证券交易所上市，股票代码为600572。公司注册地为兰溪，管理总部设在浙江省杭州市，公司在杭州、兰溪、金华，以及江西、云南、内蒙古、四川等地拥有先进规范的药品生产基地，并在兰溪建有国内最大的现代植物药制造基地——康恩贝植物药产业园。
