杜蕾斯,杜蕾斯,杜蕾斯是全球知名的两性健康品牌，曾隶属于英国SSL集团，2010年被利洁时集团（ReckittBenckiser）收购。利洁时是全球知名的消费品公司，致力于通过提供创新性的产品和解决方案，让人们的生活更健康、家庭更幸福。利洁时集团为伦敦证券交易所上市公司，是金融时报100指数的成分股，总部设在英国。
Durex,DUREX,
冈本,冈本,冈本为世界著名的橡胶乳胶制品生产商，始创于1934年。主要从事有关橡胶、塑胶及合成制品事业，尤其是日本保险套产业的翘楚，并被尊称为「日本保险套教父｣。冈本株式会社1949年6月在日本挂牌上市，一直居于日本股市的A类板块。"竭尽所能使消费者满意"是冈本株式会社一贯追求的最根本价值，在未来的日子里，冈本将继续以无限的创意、高品质的标准，制造出更多更高品质的优质产品。 
OKAMOTO,冈本,冈本为世界著名的橡胶乳胶制品生产商，始创于1934年。主要从事有关橡胶、塑胶及合成制品事业，尤其是日本保险套产业的翘楚，并被尊称为「日本保险套教父｣。冈本株式会社1949年6月在日本挂牌上市，一直居于日本股市的A类板块。"竭尽所能使消费者满意"是冈本株式会社一贯追求的最根本价值，在未来的日子里，冈本将继续以无限的创意、高品质的标准，制造出更多更高品质的优质产品。 
杰士邦,杰士邦,杰士邦（jissbon）是人福医药集团旗下的安全套品牌，成立于1998年，总部位于新加坡 ，中国著名的安全套生产商。2014年12月，新产品零感ZERO全球首发 上市。其著名广告语有“尽享激情，自有一套”。
雷霆,俄克拉荷马城雷霆队,俄克拉荷马城雷霆队（OklahomaCityThunder）是一支位于美国的俄克拉荷马城的职业篮球队，球队前身西雅图超音速队（SeattleSuperSonics）于1966年成立并加入美国男篮职业联赛（NBA），从属于NBA西部联盟的西北赛区。 1978-79赛季，超音速队打出了球队历史上第一个50+胜场的赛季，并夺得球队历史上第一座NBA总冠军。2008年，超音速队迁至俄克拉荷马城并更名为雷霆队。2011-12赛季，雷霆队凭借凯文·杜兰特、拉塞尔·威斯布鲁克、詹姆斯·哈登三少等人的出色发挥获得西部冠军，但总决赛被迈阿密热火队4-1击败。2012-13赛季，雷霆队取得常规赛西部第一的战绩。 2017年9月，卡梅隆·安东尼加盟俄克拉荷马城雷霆。 
九色生活,九色生活,九色生活，是一家经营成人用品的大型零售网络商城，为全国消费者提供快捷保密的网购服务。倡导健康、时尚、安全、趣味、激情的生活方式。
典雅,典雅,典雅是一个汉语词汇，读音为diǎnyǎ，谓文章、言辞有典据，高雅而不浅俗。也形容人富于学养，庄重不俗。泛指古代典籍。
TENGA,tenga,TENGA是株式会社典雅（典雅股份有限公司）研发的男用健慰杯。以外型设计时尚独特，使用方便，刺激性强，上市即引起全球轰动，各大时尚潮流杂志争相报道。
名流,名流,名流，汉语词汇。拼音：míngliú释义：1、指知名人士；名士之辈。2、名声流传。见《世说新语·品藻》：“孙兴公、许玄度皆一时名流。”
第六感,第六感,
久爱,久爱,久爱总部设于北京，是一家专事婚礼文化建设与传播、喜糖及婚礼用品生产与销售的全国性知名企业，并在各省，地市设立上千家专卖店和专柜。公司拥有专业的策划，创意设计团队，引进欧美，港台的时尚婚礼文化理念和产品，并将其融入更多中国文化元素，形成了久爱独有的文化体系和专属产品。 
