爱华仕,爱华仕,爱华仕“OIWAS”2001年进入国内市场，依靠良好的品质，新颖的款式，优秀的服务使得爱华仕“OIWAS”迅速在国内拥有超过3000多家终端门店。零售终端不断增加，遍布全国各大省市和地区，每日向各地消费者提供品质优良的款式新颖的时尚箱包，是消费者购买箱包的首选品牌。随着爱华仕“OIWAS”品牌知名度的不断扩大，杰出的成绩使爱华仕“OIWAS”受到各界人士的关注，更汇聚了各方优秀的人才，如香港著名的设计团队的加盟，他们带来了欧美和亚洲最时尚、最流行元素，结合爱华仕“OIWAS”品牌设计出一款款让人心动的产品，为消费者带来更多难以置信的惊喜。显而易见爱华仕“OIWAS”已经引领国内箱包时尚潮流节奏，是众多竞争对手争相模仿学习的对象。“人人拥有爱华仕！”是爱华仕创始人李建明的非凡梦想，也是爱华仕人的梦想和使命！
AMERICAN TOURISTER,American Tourister,AmericanTourister(“美旅”)箱包品牌，1933年索卡夫勒先生（Mr.Solkoffler）创立于美国罗德岛，有着近八十年的悠久历史。90年代加入新秀丽国际箱包公司，作为新秀丽家族第二品牌在全球统一运作，并拥有独立的广告、营运、开发、采购系统，是新秀丽旗下的国际著名箱包品牌。红蓝相间的“蝴蝶羽翼”造型的商标是“美旅”箱包“可靠质量，合理价格”的标志，其优质的品牌特性更为全球用户所青睐。全球销售网络遍布100多个国家，世界销售排名第二，提供全球售后服务。其品牌认知度：美国达88%，欧洲超过60%，是欧美众多年轻家庭户外出行的首选箱包品牌。
Samsonite,新秀丽,Samsonite（新秀丽）品牌1910年始创于美国，迄今已有一百多年历史。 新秀丽在世界各地120多个国家拥有48000多个零售网点。 
威戈,威戈,瑞士威戈品牌悠长，创建于1893年。Wenger威戈瑞士军刀是世界公认最好的军刀品牌，它的标记是方形中间一个十字。除了军刀之外，Wenger还有很多产品也很出名，其中包含手表和背包。
WENGER,wenger,wenger足球教练，作为阿森纳最近10年的足球教父，法国教头温格对于枪手的影响和促进起到了决定性的推动作用。
MI,熔融指数,熔融指数是一种表示塑胶材料加工时的流动性的数值。它是美国量测标准协会(ASTM)根据美国杜邦公司惯用的鉴定塑料特性的方法制定而成，其测试方法是先让塑料粒在一定时间（10分钟）内、一定温度及压力（各种材料标准不同）下，融化成塑料流体，然后通过一直径为2.095mm圆管所流出的克（g）数。其值越大，表示该塑胶材料的加工流动性越佳，反之则越差。
Diplomat,diplomat,外交官集团组建于1971年，集团涉及地产、金融及高级旅行用品生产等产业。目前在台湾及上海均设有工厂。是一家专业生产拉杆箱、旅行箱、化装箱等各类高级旅行用品的企业。年产销量超过350万只，拥有世界各国专利达3500个以上。
瑞动,瑞动,瑞动旅行箱(SWISSMOBILITY)，国际知名箱包品牌，专注于旅行箱制造，拓展双肩包、旅行配件等，为大众提供品质卓越的出行产品。销售足迹遍布多个国家，瑞动旅行箱越来越符合全球出行者的需求与喜好。 
卡拉羊,卡拉羊,年青、活泼的气息是卡拉羊品牌最突出的理念，一背上“卡拉羊”的包，就有一种幸福的感觉，仿佛立该回到童年的感觉。卡拉羊全国高校箱包设计大赛是近两年来国内较高规格的箱包设计大赛。此次大赛的发起，就是为了发现最具创意的箱包设计，意在鼓励国内广大的高校学子凭借自己的创新思维和生活感悟设计出独具个性的箱包作品。本次大赛的核心是围绕“创意·家园”的理念展开的，用不同的视角和创新的观念来阐释“家园”的含义
LEXON,lexon,乐上的总部位于法国巴黎，目前全世界有60多个国家有代理商。作为一家成功的设计师商品的公司，已经签约了近40家设计师和设计师团队。是业界一家领先的商务礼品公司，深受全世界各大集团公司的喜好，与乐上一直保持密切合作关系的世界知名公司和机构主要有：保时捷，三星，日本烟草，现代，奥迪，美国时代华纳，法国兴业银行等。
DELSEY,Delsey,Delsey(法国大使)是二战后的欧洲正是法国工艺的精湛时期，两位执着的法国人Delahaye和Seynhaeve合力创建的品牌，专研于旅行箱包的研发及设计，当Delsey首创可移动的行李箱以后，我们才看到了现在的各类拉杆箱。Delsey由于质地轻盈耐用，成为商务人士的首选品法国著名行李箱品牌Delsey于1946年诞生。对于创新的坚持，是Delsey不断进步带来动力。无论是材质或者设计，都有超前意识的追求，品牌也因优质产品和贴心细节誉满全球。坚持品牌DNA的同时不断更新。Delsey对于创新的追去以及专业服务旅行者的态度让品牌成长壮大发展至全球。坚持品牌DNA的同时不断更新。Delsey对于创新的追去以及专业服务旅行者的态度让品牌成长壮大发展至全球。Delsey（法国大使）创建于1946年，至今已经有70年制造箱包的历史。Delsey系列产品，在经典的设计元素中融入令人愉悦且紧跟潮流的风范，非常具有辨识度。Delsey注重创新的设计，无论是材质或者设计，都有超前的意识，Delsey品牌因优质产品和贴心细节备受用户青睐。Delsey的行李箱融合了精巧、新科技、优质材质和架构设计，在箱包领域引领产品不断升级。 
汉客,汉客,旅行箱包在使用时易损坏的是拉杆、走轮和提把，购买时应重点检查这些部位。消费者购买时可以以拉动时不需弯腰为标准选择拉杆长短，以反复伸缩拉杆几十次后，拉杆仍拉合顺滑、拉杆锁正常开关为依据来检验拉杆的质量。查看箱走轮时，可以将 箱体倒放，轮子离开地面，用手拨动轮子，使其空转，轮子转动要灵活，轮与轮轴配合不紧不松，箱走轮应选择橡胶材质的，噪音小且耐磨。提把大多是塑料件，一般情况下质量好的塑料有一定的韧性，质量差的塑料硬、脆，在使用中容易发生断裂。
迪士尼,迪士尼,全球闻名遐迩的迪士尼，全称为TheWaltDisneyCompany，取名自其创始人华特·迪士尼，是总部设在美国伯班克的大型跨国公司，主要业务包括娱乐节目制作，主题公园，玩具，图书，电子游戏和传媒网络。皮克斯动画工作室（PIXARAnimationStudio）、惊奇漫画公司（MarvelEntertainmentInc）、试金石电影公司（TouchstonePictures）、米拉麦克斯（Miramax）电影公司、博伟影视公司（BuenaVistaHomeEntertainment）、好莱坞电影公司（HollywoodPictures）、ESPN体育，美国广播公司（ABC）都是其旗下的公司（品牌）。迪士尼于2012年11月收购了卢卡斯影业。2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，迪士尼排名第18位。 
Disney,迪士尼,全球闻名遐迩的迪士尼，全称为TheWaltDisneyCompany，取名自其创始人华特·迪士尼，是总部设在美国伯班克的大型跨国公司，主要业务包括娱乐节目制作，主题公园，玩具，图书，电子游戏和传媒网络。皮克斯动画工作室（PIXARAnimationStudio）、惊奇漫画公司（MarvelEntertainmentInc）、试金石电影公司（TouchstonePictures）、米拉麦克斯（Miramax）电影公司、博伟影视公司（BuenaVistaHomeEntertainment）、好莱坞电影公司（HollywoodPictures）、ESPN体育，美国广播公司（ABC）都是其旗下的公司（品牌）。迪士尼于2012年11月收购了卢卡斯影业。2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，迪士尼排名第18位。 
SWISSGEAR,SWISSGEAR,Swissgear是Wenger品牌的一个产品系列名称，它的标志是方形中间一个十字。除了军刀之外，Wenger还有手表和背包。背包系列的品牌为SwissGear，为Wenger的子品牌。但是大家还是应该注意这个品牌与SchweizerMesser（瑞士军刀）并非同一品牌。 
七匹狼,福建七匹狼实业股份有限公司,七匹狼品牌创立于1990年，是中国男装行业开创性品牌。2000年推出格子茄克，成为红遍大江南北的“茄克之王”，并在此后连续16年中国茄克市场占有率第一。 2004年七匹狼实业股份有限公司作为中国服装业首家公司上市（股票代码：002029）。作为BrandZ最具价值中国品牌一百强，七匹狼在行业内率先系统提出“男人不只一面”的服装品牌文化经营理论，形成了以品牌为核心、以生活形态产业为主导的现代企业经营体系。 在立足于对博大精深的中华传统文化积极挖掘的同时，七匹狼将西方流行时尚元素融于自身设计理念，并致力于推动中国传统文化与现代时尚创意产业的契合。“男人不只一面”，七匹狼以“品格男装”突显国际化品质和中西兼容的文化格调，以时尚传承经典，以中国面向世界。2016年6月20日，米兰富有历史与盛名的圣巴拿巴回廊内，七匹狼2017年春夏狼文化大秀上演。这是七匹狼继2015年作为首个被米兰时装周官方邀请走秀的中国男装品牌登上米兰时装周之后，再次登上这个时尚领域的顶尖盛事。 
POLO,Polo,Polo一词在英文中是马球（马球，史称“击鞠”、“击球”等，骑在马背上用长柄球槌拍击木球的运动。蒙古族民间马上游戏和运动项目，流行于内蒙古等地。相传唐初由波斯（今伊朗）传入，称“波罗球”，后传入蒙古，相沿至今。）的意思，而马球运动是一项贵族运动，参与者通常穿用的是源自网球衣的针织短袖运动衣。将这种运动衣演变成为大众服式，是拉尔夫·劳伦的功劳。这位才华卓著的设计师还将他的设计理念与风格融入到了POLO箱包、皮具、帽、眼镜等领域。
泰格斯,泰格斯,泰格斯，作为笔记本电脑包行业的先锋，泰格斯通过提供全面的产品来满足当今移动客户的需要，从而始终保持着领先的优势。
TARGUS,targus,TargusGroupInternationalInc(Targus)于1982年创立于美国加利福尼亚州阿纳海姆（Anahelm）。笔记本在1988年才正式出现，当人们开始使用笔记本的时候，很快意识到必须有一个专门的包来装着它，才可以带着它到处跑，而且这种包与一般的提包不同，必须能够给这个贵重的电子产品以足够的保护，于是出现了对专业笔记本电脑包的需求，TARGUS意识到这是一个绝好的机会，马上加入到生产行列中来，成为最早开始专业生产笔记本专用包的厂商之一。
皇冠,皇冠,皇冠是丰田集团旗下一款中大型车汽车品牌。丰田皇冠于1955年1月1日在日本下线，已经有超过第13代车型，国产皇冠发动机为2.5L、3.0L和4.3L三种，前二者均为V6缸24气门设计，4.3L发动机则为V型八缸。配置DualVVT-i进出气门双向智能正时可变系统。使发动机的进气效率、燃油经济性、动力性能都有很大提高，马力更加强劲。底盘方面，采用了四轮全独立悬架，舒适性很好。
CROWN,Crown,《Crown》是一首由姜伊然演唱的歌曲。
90分,90分,《90分》是2012年上映的韩国惊悚电影，由朴善郁执导，朱相昱及张美仁爱等主演。《90分》讲述了为了追求名利、继承巨额遗产而与某大企业会长女儿结婚的广告导演在大婚前与一妙龄女子发生了一夜情，但不成想却因对方手中的一夜情视频而遭到胁迫。
BUBM,BUBM,BUBM是由BeUniqueBeMyself的首字母得来，意为独一无二，自我呈现！其表达的含义为公司以做自己的品牌为基础运用独到的设计和不断的开拓创新，创造出独特的音乐数码箱包品牌，并要得到广大消费者的信赖和追求。BUBM是深圳风行社文化传播有限公司于2012年由MDJ品牌升级后的一个的数码、音乐周边产品品牌。
第九城,第九城,《第九城》是连载于晋江文学城的一本架空历史类小说，作者是明箐歌。
ITO,ITO,ITO是一种N型氧化物半导体-氧化铟锡，ITO薄膜即铟锡氧化物半导体透明导电膜，通常有两个性能指标：电阻率和透光率。
Surelaptop,Surelaptop,
北极狐,北极狐,北极狐（学名：Vulpeslagopus）：体长50-60厘米，尾长20-25厘米，体重2.5-4千克。颜面窄，嘴尖，耳圆，尾毛蓬松，尖端白色。冬季全身体毛为白色，仅鼻尖为黑色；夏季体毛为灰黑色，腹面颜色较浅。具有很密的绒毛和较少的针毛，可在零下50℃的冰原上生活。足底毛特别厚。单独或结群活动。食物主要为旅鼠，也吃鱼、鸟、鸟蛋、贝类、北极兔和浆果等。为珍贵毛皮兽，已人工繁殖，称蓝狐、白狐等，突变品种如影狐、北极珍珠狐、北极蓝宝石狐、北极白金狐和白色北极狐等，统称为彩色北极狐。北极狐分布于北极地区，活动于整个北极范围，其中包括：俄罗斯，加拿大，阿拉斯加，格陵兰和斯瓦尔巴群岛的外缘，以及亚北极和高山地区，如冰岛和斯堪的纳维亚大陆。（概述图片参考资料来源： ）
FJALLRAVEN,Fjallraven,Fjallraven（中文名称：瑞典北极狐）是瑞典市场占有率领先的高端户外品牌，是瑞典皇室御用品牌，也是唯一一家获得瑞典皇室御用品牌殊荣的户外品牌。
