大东,小雅·大东,《小雅·大东》是中国古代第一部诗歌总集《诗经》中的一首诗。这首诗描写的是西周中晚期东方各国及各部族受西周统治者惨重盘剥的情形，反映了东方各国人民的不满情绪。全诗七章，每章八句，结构严密，层次清晰，前后呼应。象征、隐喻、鲜明的对比、丰富而奇幻的想像交错运用，是此诗艺术上的主要特色。
红蜻蜓,红蜻蜓,红蜻蜓自1995年创立以来，以其时尚的外形，亲民的价格，贴心的服务，得到了广大消费者的认可及追捧。红蜻蜓表示，未来若皮鞋行业的终端市场竞争进一步加剧，红蜻蜓不能进一步提高市场占有率，将对本公司品牌提升和业绩增长等产生不利影响2012-2014年，红蜻蜓主营业务收入分别为30.4亿元、31.9亿元和30.9亿元，同比增幅分别为4.85%
热风,热风,Hotwind热风于1996年始创于时尚之都—上海，至今已发展成为国内知名的集设计、精选和销售于一体，商品涵盖鞋品、服装、包、配饰及部分时尚生活用品的精选时尚零售连锁品牌。
Hotwind,热风,Hotwind热风于1996年始创于时尚之都—上海，至今已发展成为国内知名的集设计、精选和销售于一体，商品涵盖鞋品、服装、包、配饰及部分时尚生活用品的精选时尚零售连锁品牌。
百丽,百丽,Belle百丽是百丽国际推出的一款品牌。BeLLE百丽追求不同的生活体验及生活经历；都市环境不断在变，时装潮流不断在变，生活内容不断在变，女人在一生中的角色不断在变。BeLLE百丽在变化中展现出内在与外在的完美气质。Belle皮件简单分成女用与男用，内容包括皮包、皮带、皮夹、名片夹、旅行箱、皮件保养品等。百丽国际旗下百丽、天美意、他她、思加图等均在国内女鞋销量市场名列前茅，森达男鞋也备受消费者欢迎。2017年7月27日下午16点，百丽国际退市。 
Belle,贝儿公主,贝儿（Belle）公主是一个虚构的童话主角，出现在沃尔特迪斯尼第30部动画故事片《美女与野兽》（1991）中。贝儿公主这个人物一直享有积极的正面评价，其中许多人称赞她的智慧，善良和勇敢，并且经常将其与《小美人鱼》（1989）中的爱丽儿公主做比较，女性主义者对贝儿也一直保留相当积极的评价：评论家称赞她的智慧和独立思想，同时她的梦想不同于以往的迪士尼公主，与婚姻无关。贝儿公主为世界五大童话公主之一。漫画家对于贝儿公主的塑造灵感来源于影星朱迪·嘉兰和朱莉·安德鲁斯。 
意尔康,意尔康,意尔康（YEARCON）是意尔康股份有限公司的简称，始创于1995年，位于浙江省青田县，总裁单志敏。1999年升格为无区域名称企业，2001年组建成企业集团，2011年完成股份制改制。总部位于浙江青田，拥有福建意尔康体育用品有限公司、意尔康鞋业（上海）有限公司和意尔康广东皮革制品有限公司三家全资子公司，在全国建有36家销售分公司和3000多家专卖店。
达芙妮,达芙妮,达芙妮国际控股有限公司原名为永恩国际集团有限公司，于1990年，预见于中国优质鞋类市场具庞大潜力，该集团创立自有品牌“达芙妮”，制造及销售女装鞋类，成为中国最成功之国内品牌之一。自1996年以来连续多年获颁赠最畅销国内产品之荣衔。现时，“达芙妮”分为“D28”及“D18”两大系列，目标顾客分别为20至45岁及15至30岁之女性。达芙妮也是希腊神话中的女神，参阅月桂女神达芙妮，她是河神女儿，被阿波罗追求时被变成月桂树。另有以该词命名的时尚品牌。
DAPHNE,Daphne,达芙妮（Daphne）国际控股有限公司是于1987年在香港创立，至今已发展成为一个以鞋业研发、生产、加工及销售为主的多元化经营集团，旗下各项业务遍布中国大陆、香港、台湾、欧洲及北美洲各地。达芙妮国际控股有限公司的长期目标和经营理念，反映了集团追求优质、卓越、创新的精神。
斯凯奇,斯凯奇,斯凯奇品牌1992年诞生在加州的一个小海滨城市，已从一个风格单一的小公司发展成为全球最受欢迎鞋类产品的品牌之一。斯凯奇公司屡获殊荣，现在在美国市场是仅次于耐克的第二大鞋类品牌，被《FootwearPlus》杂志评为“2009鞋类产品年度最佳公司”。 斯凯奇品牌系列能满足大多数消费者的需要，但也有一小部分消费者追求更具个性的效果。为了满足这部分消费者的需求，我们开发了几个品牌，完全不同于斯凯奇的传统风格。马克·纳森(MarkNason)融合了摇滚乐概念的高端男鞋，采用优良的意大利手工技艺和上乘皮革，打造出品质卓越、外观时尚的靴类、鞋类和凉鞋。最新推出的Shape-ups塑身鞋系列横扫了美国快速发展的塑身鞋市场，并占有了80%的市场份额，同时也被《FootwearPlus》杂志评为“2009年年度最佳新品”。2016年斯凯奇超过了阿迪达斯，成为美国第二大运动鞋品牌。
Skechers,斯凯奇,斯凯奇品牌1992年诞生在加州的一个小海滨城市，已从一个风格单一的小公司发展成为全球最受欢迎鞋类产品的品牌之一。斯凯奇公司屡获殊荣，现在在美国市场是仅次于耐克的第二大鞋类品牌，被《FootwearPlus》杂志评为“2009鞋类产品年度最佳公司”。 斯凯奇品牌系列能满足大多数消费者的需要，但也有一小部分消费者追求更具个性的效果。为了满足这部分消费者的需求，我们开发了几个品牌，完全不同于斯凯奇的传统风格。马克·纳森(MarkNason)融合了摇滚乐概念的高端男鞋，采用优良的意大利手工技艺和上乘皮革，打造出品质卓越、外观时尚的靴类、鞋类和凉鞋。最新推出的Shape-ups塑身鞋系列横扫了美国快速发展的塑身鞋市场，并占有了80%的市场份额，同时也被《FootwearPlus》杂志评为“2009年年度最佳新品”。2016年斯凯奇超过了阿迪达斯，成为美国第二大运动鞋品牌。
奥康,奥康,奥康公司以制鞋为主业，并涉足商业地产、生物制品、金融投资等领域。企业年产值40多亿元，创利税6亿多元，品牌价值165.92亿元。集团实行母子公司管理体制，下辖国内外18个子公司和事业部。公司现有员工2万多人，拥有三大鞋业生产基地、五大鞋业品牌。在全国设立了30多个省级公司、3000多家连锁专卖店、800多处店中店。主导产品“奥康”牌皮鞋陆续获中国真皮领先鞋王、中国名牌产品、中国驰名商标等称号，并成为中国皮鞋行业唯一的标志性品牌。现在，集团旗下的奥康皮鞋、康龙休闲鞋、美丽佳人时尚女鞋、红火鸟鞋业都被国家质检总局评为国家免检产品。根据国家统计局公布的信息，公司连续三年位居中国工业企业行业效益十佳企业第一位。
他她,他她,他她是百丽公司的一个女鞋品牌，又称Tata。他她的产品定位为中高档时尚女鞋，服务对像为34岁的白领女性。他她形容皮鞋着地时的“踏踏”声，有谢谢之意;寓意都市快节奏代表“感恩的情怀”，崇尚人与人之间的真诚付出倡导积极心态、健康生活。
TATA,TATA,TATA是一个皮鞋品牌，产品做工精细、质量上乘，紧跟时代潮流，每一双都是名师设计，历经智能化、优质高效生产及严格的质量检测后方得以问世的精心之作。产品设计自然洒脱、舒适灵动、前卫多变的面料和活泼亮丽的色彩。TATA名称源自象声词皮鞋着地时的“踏踏”声，有谢谢之意，寓意都市快节奏，代表“感恩的情怀”，崇尚人与人之间的真诚付出，倡导积极心态、健康生活。
骆驼,骆驼,骆驼，头较小，颈粗长，弯曲如鹅颈。躯体高大，体毛褐色。极能忍饥耐渴。骆驼可以在没有水的条件下生存3周，没有食物可生存一个月之久。骆驼是骆驼科骆驼属的动物，只有两种。生活在沙漠边缘的人类早在公元前3000年已经开始驯养骆驼，作为役畜，以供驮运和骑乘，有许多国家有倚赖骆驼为生的骆驼牧民，甚至有骆驼骑兵。单峰骆驼毛短，主要生活在北非洲和西亚洲、印度等热带地域，生活在沙漠地带的牧民以骆驼奶甚至骆驼血作为食物，目前全世界只有1400万头，全部都是家畜。骆驼由于胃内附生有水俘，作储水用，故能耐渴。骆驼鼻子构造异常特别，鼻腔内布满弯曲微小气道。当骆驼大量消耗水分时，其分泌物变得干燥，形成硬膜。骆驼呼气时，这种硬膜能吸收来自肺部的水分；当它吸气时......
