米子家居,米子家居,米子家居是致力于提高生活美学的清新家居品牌。英文名：MIZ，创立于2010年。旗下产品涵盖仿真花艺花瓶、摆件、相框、布艺软饰、床品、家具等众多类目。
BHM,BHM,BHM策划理念于2009年，由大陆新锐策划人潘俊帆先生率先创立的，广泛地适用于品牌传播、公关活动尤其适用于大型空间展示的策划，被国内相当数量的馆类展示策划，以及顶级展览策划所采用。同时，潘俊帆先生和他的团队“一合设计”，也是这一策划理念的先行实践者。
蒙娜丽莎,蒙娜丽莎,《蒙娜丽莎》是意大利文艺复兴时期画家列奥纳多·达·芬奇创作的绘画作品，收藏于法国卢浮宫博物馆。 该画作的主要内容，表现了女性的典雅和恬静的典型形象，成功地塑造了资本主义上升时期一位城市有产阶级的妇女形象。 《蒙娜丽莎》代表了文艺复兴时期的美学方向；该作品折射出来的女性的深邃与高尚的思想品质，反映了文艺复兴时期人们对于女性美的审美理念和审美追求。 每年到卢浮宫鉴赏《蒙娜丽莎》作品的人数，大约有600万左右。 1952年，德国发行首枚《蒙娜丽莎》邮票。 
室内,室内,德加以一种温暖的光给室内以温馨感，以冷灰（绿色墙壁）围住了桔色的手饰箱子，室内的透视给空间以限定。男子处于暗部，面色阴郁，女子背部受光，仿佛在抽泣，地上散落着东西。相距甚远的一个男人和一个女人，烘托出室内紧张压抑的气氛。画家以娴熟的技巧和光色效果，描写了室内环境与室内人物的情绪，色调作为情绪性气氛的渲染，暗示着一种不愉快的事件在室内发生。终身没有结婚的德加，在用这幅画表达着什么？
心泊,心泊,
斯图,斯图,斯图原名达内尔·西图DarnelSitu，是一名后卫，现在效力于斯旺西城足球俱乐部。
KS,ks,ks是最流行的十字绣，是用专用的绣线和十字格布，利用经纬交织的搭十字的方法，对照专用的坐标图案进行刺绣，任何人都可以绣出同样效果的一种刺绣方法。。
墨斗鱼,墨斗鱼,墨斗鱼即乌贼，俗称乌鱼，因其没有脊椎骨，虽然被叫做鱼，其实它是生活在海洋里的软体动物。它的头上长有一对大大的眼睛，视力非常好。还生有八只腕足和两只较长的触手，在腕足上生有吸盘。墨斗鱼的身体极为柔软，可以从很小的洞中钻出来。乌贼以鱼、虾、蟹等为食物。
无印良品,无印良品,无印良品是一个日本杂货品牌，在日文中意为无品牌标志的好产品。产品类别以日常用品为主。产品注重纯朴、简洁、环保、以人为本等理念，在包装与产品设计上皆无品牌标志。产品类别从铅笔、笔记本、食品到厨房的基本用具都有。最近也开始进入房屋建筑、花店、咖啡店等产业类别。2017年3月15日，3·15晚会曝光，在无印良品超市，一些日本食品的外包装上都被贴上了产地为日本的中文标签，但是当揭开中文标签后，露出了这些产品的真实产地为东京都，名列禁止进口名单。2017年3月16日，无印良品在其官方微博和微信上发布声明，称被曝光的食品日文标识上所标示的地址是该公司在日本的注册所在地，而不是食品生产地址，并出具了原产地证明书和入境检疫检验证明。上海国检局随后也确认，“经核查无印良品(上海)商业有限公司的进口记录，未发现有来自于日本核辐射地区的产品。” 
MUJI,muji,MUJI即无印良品，是西友株式会社于1980年开发的PB品牌，1983年于东京流行发讯地的“青山”开出第一家独立旗舰店，于1990年正式成立良品计划株式会社。现为日本最大的LifeStyleStore。此外，无印良品在英国、法国、香港三地已经成立了公司。
维佳,维佳,维佳是动画片《青蛙王子之蛙蛙探险队》的角色，是青蛙王子忠诚的好朋友，像古代军师一样，说话带有古人的书香气。
天字一号,天字一号,《天字一号》是由于立清执导，陆玲、黄志忠主演的反特悬疑电视剧。改编自历史真实事件。该剧讲述的是在1950年国庆节前夕，疯狂的国民党特务妄图破坏国庆大典，敌特分子安插特务到我方内部进行暗中破坏，我方安全人员“仲华”也潜入到敌人内部与之斗智斗勇的故事 。
橡树庄园,橡树庄园,橡树庄园全场叫十二橡树庄园。位于深圳中轴豪宅板块，坐拥7大自然水库，2大山体郊野公园资源，片区内已建成或在建的均为知名品牌发展商开发的高端住宅，整体容积率均在2以下，是深圳北部新兴的低密居住地带。十二橡树庄园位于龙岗区坂田街道办布龙公路旁（坂田医院对面），占地面积137106.69平方米，建筑面积约151424.12平方米，双拼、TH、叠拼面积在168-300平方米（主力面积为200-250平方米），小高层面积在140-180平方米。容积率1.12，绿化率30%，覆盖率30%。
初心,初心,初心，汉语词汇。拼音：chūxīn，意指做某件事的最初的初衷、最初的原因。随着时间的消逝，人们做某件事的初心也渐渐逝去，也就是“不忘初心，方得始终”的由来。 2017年12月21日，当选“汉语盘点2017”活动年度国内词。 
绿之源,绿之源,“绿之源”是专业从事家电清洗和家政保洁的连锁项目，其隶属于山东蓝伞国际科技开发有限公司，公司在全国首创上门清洗饮水机、油烟机服务，并研发了具有全国领先的清洗设备，该设备采用了先进的制造工艺，利用物理原理对饮水机、油烟机进行全方位一体化的清洗，解决了用传统方法清洗饮水机、油烟机不彻底、有残留、污垢易累积等不健康因素。
福雕家饰,福雕家饰,福雕家饰是专业从事室内高档原创浮雕装饰画的研究、设计、生产与销售的创作型公司，全称上海福雕家饰。
RELIFE,relife,电影《ReLIFE重返17岁》改编自日本漫画家夜宵草原作的同名漫画。2017年4月15日松竹发行预定上映。主演中川大志与平祐奈双主演。
自然能量,自然能量,自然能量是一款小游戏，运行环境支持iPhone、iPodtouch、iPad，需要iOS4.3或更高版本，应用版本是1.0。
