塞纳春天,塞纳春天,塞纳春天项目位于文昌西路与甘八路交汇处北侧约800米，是由扬州天成房地产开发有限公司投资开发的，容积率0.74，绿化率32.8%，一期推出联排、双拼和独栋房源，共54户。双拼面积232平方米，联排别墅面积194-212平方米。将推出54套联排、双拼和独栋房源，74套商铺和公寓房源。
百安居,百安居,百安居是百安居（中国）投资有限公司简称，源自英国，是欧洲大型国际家居建材零售集团，1999年6月18日，百安居携其全球先进的零售管理经营模式，在上海成功开办了该品牌中国内地的第一家连锁店——上海沪太店。 经过多年的发展，百安居凭借其先进的管理经验和质量监督体系，目前已成为国内建材连锁超市的知名品牌，并且在北京、上海、深圳、广州等全国大中型城市开设了近40家门店。 
沃尔芬,沃尔芬,沃尔芬始创于2016年6月，是一个互联网家装品牌，该品牌由线上、线下、家装设计施工三个板块组成，采用工厂直供和线上线下结合双模式运营理念，致力于向消费者提供整体家装的解决方案 。
东易日盛,东易日盛,“东易日盛”创建于1997年，在中国家居产业已形成规模化 、专业化、品牌化、集团化、产业化的绝对领先优势。东易日盛集团以作今日名牌，创百年企业为宗旨，以东易日盛品牌为平台，以家居产业链为主线。东易日盛立足在中高端家居装饰设计与施工、材料和家具及配饰供应、房地产楼盘精装修设计、全国性特许经营品牌发展、行业专业研究分析等多个方向，对相关产业领域进行深度家居集成和资源优化整合，构建起中国最具竞争力的装饰产业和品牌梯队，形成齐发并举的战略体系和格局。
Boloni,BOLONI,博洛尼是意大利专业家居品牌，来自意大利时尚产业链腹地Brescia（布雷西亚），深入了解意大利家居行业纵深特性，从而使博洛尼产品充满浓郁的欧洲前沿时尚气息。科宝公司成立于1992年10月27日，初期从事厨房日常用品和电器类产品的销售。1999年开始从事厨房家具类产品的生产制造和销售。博洛尼和科宝，是博洛尼旗舰装饰装修工程（北京）有限公司旗下的2大品牌，是博洛尼旗舰装饰装修工程（北京）有限公司针对不同需求的消费群体推出的不同品牌。属于同一公司，但不是同一品牌。
搭窝,搭窝,《搭窝》是作家文刀何广的一首诗歌作品。 
创艺佳,创艺佳,创艺佳是太原市创艺佳装饰设计工程有限公司旗下品牌 
阿爸助手,阿爸助手,阿爸助手是一款提供生活服务的O2O移动应用平台。阿爸平台的就业场景无比广阔。阿爸，滴滴打车的生活版！ 
e修鸽,e修鸽,e修鸽，旧房翻新 O2O品牌。2016年2月，e修鸽获得Pre-A轮5000万美元融资。 
栗子,栗子,栗子，正名为栗（CastaneamollissimaBl.），我国栗子品种丰富，根据外形分类大致为两种，一种为锥栗，主要生产在福建以北山区。扁平个大的为板栗主要在中国北部多省都有。壳斗大，球形，外生刺，坚果2～3个，生于壳斗中，俗称栗子，是中国特产，素有“干果之王”的美誉，在国外它还被称为“人参果”。香甜味美的栗子，自古就作为珍贵的果品，是干果之中的佼佼者。栗子属于坚果类，淀粉很高。中医认为栗有补肾健脾、强身壮骨，益胃平肝等功效。因此栗子又有了“肾之果”的美名。分布于中国辽宁、北京、河北、山东、河南、陕西黄龙县等地，河北承德宽城地区板栗、河北唐山迁西地区皆含有机成分铁，因此特以有机板栗著称。栗子适应性强，栽培管理方便，产量稳定，深受广大群众的喜爱。华北地区的群众把栗子叫做“铁杆庄稼”，是绿化结合生产的良好树种。
