万怡,万怡,万怡（1975年生，女）湖北武汉市人。大专文化，现在佛山市侨办工作，1977年开始学习艺术摄影获创作。经常到布依族、苗族、瑶族山寨去体验生活，作品多以反映风土人情为主。作品多以反映风土人情为主。
容声,容声,容声冰箱是海信科龙旗下品牌，海信科龙电器股份有限公司是中国最大的白电产品制造企业之一，创立于1984年，总部位于中国广东顺德，主要生产冰箱、空调、冷柜和洗衣机等系列产品。1996年和1999年，公司股票分别在香港和深圳两地发行上市。目前，海信、科龙、容声三大品牌的主导产品，从技术研发、工艺质量、生产制造、物流运输、市场销售等各个环节充分共享资源，整体布局，各有侧重，协同运作，均衡发展，形成各自独特的产品风格和优势，培养各自鲜明的品牌个性，全面满足不同国度和地域、不同特征和偏好的消费者的需求。
日立,日立,日立（HITACHI），是来自日本的全球500强综合跨国集团，1979年便在北京成立了第一家日资企业的事务所。日立在中国已经发展成为拥有约150家公司的企业集团。事业领域涉及能源系统、保障人们安全舒适出行的铁路等交通系统，运用大数据进行创新的信息系统，以及通过健康管理、诊断、医疗技术等提供健康生活的医疗保健等等。
喜力,喜力啤酒,喜力啤酒是一家荷兰酿酒公司，于1863年由杰拉德‧阿德里安‧海尼根于阿姆斯特丹创立。2012年，喜力在世界85个国家拥有超过165家酿酒厂，聘请约65557人。共酿制超过170种顶级，地区性及特制啤酒。喜力为世界500强企业，2012年排名第464位。
AEA,AEA,AEA 传承英国王室贵族宝石护肤理念 ，通过天然安全的宝石护理来呈现肌肤自然状态。AEA选用天然原材料，针对亚洲人肤质研制出一系列宝石护肤产品。 
康佳,康佳,康佳即康佳集团（英文名：KONKA），成立于1980年5月21日，前身是“广东光明华侨电子工业公司”，是中国改革开放后诞生的第一家中外合资电子企业。康佳集团主要从事彩色电视机、手机、白色家电、生活电器、LED、机顶盒及相关产品的研发、制造和销售，兼及精密模具、注塑件、高频头、印制板、变压器及手机电池等配套业务，是中国领先的电子信息企业。
风行电视,风行电视,风行电视（FunTV），由深圳市兆驰股份有限公司、上海东方明珠新媒体股份有限公司、北京风行在线技术有限公司联合创立，集正版牌照、丰富内容、深度运营和工业制造于一身，致力于打造新一代互联网电视。
Casarte,卡萨帝,卡萨帝（Casarte），海尔旗下的高端家电品牌，2006年成立。源自意式生活灵感的国际高端家电品牌，以艺术家电和嵌入一体化厨电为核心产品线。秉持“创艺家电，格调生活”的品牌理念，卡萨帝在“汲取精致生活的灵感，缔造永恒的艺术品质”的核心品牌设计语言下，每一件产品都诠释着家电生活艺术化的趋势，致力于为都市精英人群打造优雅精致的格调生活。
PATCHES,Patches,《Patches》是一款IOS平台的应用。
祥兆,祥兆,祥兆是汉语词汇，读音xiángzhào，解释为吉祥的预兆。
伊莱克斯,伊莱克斯,伊莱克斯，唐家三少第12部作品《神印王座》中的人物，死灵圣法神，且为辉煌年代的光明之子，被龙皓晨和采儿的感情所悟，最终将永恒之心给了龙皓晨使其复活。离开了这个位面。后在《绝世唐门》中出现，在星斗大森林与霍雨浩相遇，继后帮助霍雨浩斩杀死神使者（魂王级别），助霍雨浩收复噬灵刻刀，将其净化为生灵之金，神识寄宿于霍雨浩的生灵之眼。因为绝世唐门主人公自身问题而燃烧了最后的残魂死亡，成为霍雨浩/戴雨浩第三武魂。
