精嘉,精嘉,精嘉（VANGUARD）成立于1986年，精嘉VANGUARD已经从设在亚洲一个生产工厂、成长为一家全球性公司。精嘉在美国密歇根州惠特莫尔湖、卢森堡、欧洲和日本东京都设有经销、销售和行政分公司。精嘉VANGUARD获得了多项摄影专业出版物和组织所授予的设计、质量和性能奖。最近，精嘉VANGUARD的【BBH-200球形云台】、【传信者系列摄影单肩包】获得了由技术影像促进协会（TIPA）颁发的奖项！这已经是VANGUARD精嘉连续五年获得素有“摄影界奥斯卡”之称的TIPA大奖！！正是由于这种创新的承诺，使我们取得了一系列的摄影专业第一和数以百计的外观设计专利。2012年【第十五届中国国际照相机械影像器材与技术博览会】，精嘉VANGUARD首度在国内参展，展出多项赢得国际设计大奖的优质摄影器材与光学产品，与国人共同分享中国研发制造、全球肯定的专业品牌之荣耀！2012年精嘉正式进入中国。
欧洲野牛,欧洲野牛,欧洲野牛（学名：Bisonbonasus）：是欧洲最大的原生食草动物，拥有非常庞大的体型。成年欧洲野牛体长2.9米，肩高1.8-1.95米，体重600-1000千克。颈部、头部和前半部的毛发较短，头部体积大并有宽阔的前额，前半部躯体巨大，肩部到前背有隆起，脖子短粗健壮，胸椎肌肉强大。雌雄野牛都长有向上弯曲的角，两角粗大而尖锐呈弧形。可作为战斗和防御之用。以食草为主，也吃嫩芽和树叶，一头成年雄性野牛一天可以消耗32千克的食物。栖息在落叶阔叶林，灌木丛的开阔空间。欧洲野牛曾经广泛分成于欧洲。因为被滥捕，最后仅存的一头野生欧洲野牛，死于1627年的高加索西部地区。在1951年，欧洲野牛开始被重新放归大自然。分布于白俄罗斯、立陶宛、波兰、罗马尼亚、俄罗斯联邦、斯洛伐克和乌克兰，及30个国家的动物园中。
Dacom,Dacom,Dacom ，始创于2007年，总部位于中国深圳。
LIVIN MOMENTO,LIVIN MOMENTO,LIVINMOMENTO，2017年诞生。隶属于宁波新斯维箱包有限公司。
热火,迈阿密热火队,迈阿密热火队（MiamiHeat），于1988年成立并加入NBA，是一支属于美国佛罗里达州迈阿密市的职业篮球队，是美国男篮职业联赛（NBA）东部联盟东南赛区的一部分。迈阿密热火队热火主场设在迈阿密市中心的美航中心球馆。热火队与夏洛特黄蜂队同时成立于1988年NBA，是代表佛罗里达州的两支NBA球队之一（另一支为奥兰多魔术队）。球队位于四季温暖宜人的佛罗里达州迈阿密市，所以在众多候选队名名单中选择了“热”，既显示出了迈阿密的气候条件，又希望球队未来红红火火、蒸蒸日上。在最初的7个赛季，尽管热火拥有格伦·莱斯这样的超级得分手，但常规赛战绩从未超过50胜，期间只有两个赛季进入季后赛。1988至2013年的25个赛季里，迈阿密热火17次闯入季后赛，夺得了10次赛区冠军，并以4比2击败达拉斯小牛队赢得了2006年NBA总冠军。2003年选秀大会他们在首轮第五顺位选择了来自马奎特大学的德怀恩·韦德。2004年热火与洛杉矶湖人交易得到沙奎尔·奥尼尔。2005-06赛季韦德率领热火首度杀入总决赛，在0-2落后的险境下翻盘达拉斯小牛队首捧总冠军。随着奥尼尔渐渐老去，热火的战斗力出现明显下滑。在2010年夏季交易中，先后得到波什和詹姆斯的加盟，跟随韦德组成03届白金一代热火三巨头。带领球队杀入2010至2011NBA总决赛，但仍以2-4不敌达拉斯小牛队。2012年总决赛，以4-1战胜俄克拉荷马雷霆队，夺得总冠军。2013年6月21日经过抢七大战，以4-3险胜圣安东尼奥马刺队，夺得总冠军。
昂达,昂达,昂达（ONDATechnologiesInc.）是国内知名电子品牌，成立于1989年。昂达聘请多名留学归国技术人员与国内著名学府合作，投资成立昂达电子商务公司，致力于B2B电子商务的核心技术的开发研究。从486时代的海洋主板到586时代的华硕主板、EPSON打印机、ELSA显卡、ADI显示器、IWILL主板、源兴光驱等，昂达公司经过12年的努力，使这些品牌达到了极高的市场占有率、获得极佳的用户口碑。
JUST STAR,JUST STAR,
达派,达派,达派（中国）有限公司、达派（中国）箱包有限公司是达派集团（香港）有限公司在国内独资创办的企业。两家公司均座落于风景秀丽的中国三大主要箱包生产基地之一、中国首批文化古城、海峡西岸名城——泉州，其中国内营运管理总部位于泉州丰泽浔美高新园区，毗邻国立华侨大学、海峡体育中心、泉州火车东站、汽车东站、福厦高速公路泉州出入口。
山灵,山灵,(1).山神。《文选·班固<东都赋>》：“山灵护野，属御方神。”李善注：“山灵，山神也。”元房皞《送王升卿》诗：“我欲从君觅隐居，却恐山灵嫌俗驾。”清林则徐《塞外杂咏》：“我与山灵相对笑，满头晴雪共难消。”郭沫若《月蚀》：“我们四川的山灵水伯远远在招呼我。”(2).山间出产的珍异食物。元王实甫《西厢记》第二本第三折：“舒心的列山灵，陈水陆，张君瑞合当钦敬。”(3).昆虫名。彝族民间史诗《梅葛》第三部七：“岩上‘伯幺’有三对，河坝‘山灵’有二对，人人见了都喊打。”原注：“伯幺、山灵，都是昆虫。”(4).国产Hi-Fi音响品牌。
G,g,在古代腓尼基语及希伯来语的字母表里，G是描摹骆驼的头和颈之轮廓的象形字母，其名称为gimel。以后希腊人借用了该符号，作Γ（gamma，伽马）。其实字母G与字母C系源于同一腓尼基字母。原拉丁字母表里本无字母G，含g音和含k音的词都以字母C为表示。公元3世纪以后，古罗马人根据C创造了G，自此C表示k音，G则表示g音。Gg是拉丁字母中的第7个字母。字母G是由罗马人发明的，因为他们感觉到C对于表达发音/k/和/g/来说并不足够。这时G取代了原来的字母Z来表达发音/g/。就如同发音/k/的发展那样，/g/也发展成上腭音以及软腭音的变体。这就是为什么今天G在所有罗马语系的语言和英语中有这么多不同的发音。
