帮宝适,帮宝适,帮宝适，全球知名的纸尿裤品牌之一，也是美国宝洁公司旗下著名的婴儿护理品牌，自1961年上市以来行销全球一百多个国家，每天全世界有超过3000万宝宝都在使用帮宝适纸尿裤成为行销全球一百多个国家的世界婴儿纸尿裤品牌。2015年，帮宝适被评为中国口碑影响力纸尿裤品牌以及千万辣妈推荐纸尿裤品牌。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，帮宝适排第37名。
Pampers,Pampers,Pampers是一款理财购物类软件，支持Android2.3.3。
花王,花王,花王，日本知名日用品品牌。花王株式会社成立于1887年，花王前身是西洋杂货店“长濑商店”（花王石碱），主要销售美国产化妆香皂以及日本国产香皂和进口文具等，花王创业人是长濑富郎。目前花王产品涉及化妆品等600多种，大都是高分子化学品。
好奇,好奇,好奇HUGGIES®纸尿裤诞生于1978年，是有37年历史的美国金佰利旗下的纸尿裤品牌，于68个国际及地区市场领先，全球约有二分之一的宝宝在使用好奇®纸尿裤。好奇®HUGGIES®努力提供最优秀表现的产品，从每一个细节为宝宝考虑，致力于为宝宝提供最舒适和贴体的纸尿裤穿着体验，让宝宝在他的世界无拘无束的自由探索、发现、快乐地成长。在中国，好奇®HUGGIES®始终遵守同样的理念，给中国宝宝带来了世界级的关爱。 
MOONY,Moony,Moony是一个ISDN呼叫监控软件，支持Win95/98/NT/2000。
大王,大王,大王（本名沈夏），12月24日出生于四川省，毕业于四川师范大学表演系，中国内地女主持人。2009年，大王参加台湾电视谈话性娱乐节目《康熙来了》接班人比赛，获得获了全国总冠军 。2010年11月，作为“幸福代表团”成员参加江苏卫视深夜档节目《幸福晚点名》的录制 。2012年3月，搭档语熙参加江苏卫视主持人选拔节目《脱颖而出》的比赛。2013年，大王担任浙江卫视生活类综艺节目《开心大买卖》主持人。2015年，参加湖南卫视代际沟通观察类节目《妈妈的牵挂》的录制 。2016年，以柳岩闺蜜的身份参加乐视视频户外婚恋真人秀节目《女神的选择》的录制 。2017年，大王参加爱奇艺说话达人秀《奇葩说》第四季的录制 。
妈咪宝贝,妈咪宝贝,《妈咪宝贝》是1998年妈咪宝贝杂志社出版的图书月刊，作者是妈咪宝贝杂志社。中国报刊广告投放价值百强排行榜，妈咪宝贝跻身期刊30强之列，是母婴类唯一荣获此殊荣的期刊。《妈咪宝贝》杂志由北京市妇女联合会主办隶属于职业女性杂志社，自创刊至今已度过五载。《妈咪宝贝》孕0-3岁版是一本为准妈妈及0-3岁宝宝妈妈量身打造的育儿生活服务杂志。本刊以为追求高品质生活和具有现代消费观念的准妈妈、新妈妈们提供全方位的关怀，传递最新的育儿观念及科学时尚生活信息为办刊理念，使准妈妈和新妈妈们在育婴路上有机会获得更多宝贵的育儿经验。
安儿乐,安儿乐,中国纸尿裤品牌，采用高分子吸收体及绒毛浆吸收结构，具有超强吸收力，透气底层干爽不闷热：用国际先进技术生产的防漏透气薄膜，使尿裤中的闷热湿气散发出来，干爽不闷热，可有效防止尿布疹的发生。
菲比,菲比,Fitti菲比，是瑞德国际旗下的专业纸尿裤品牌，由瑞德国际于1982年引入中国。瑞德国际率先推出菲比超薄型纸尿裤，特有专利超强吸水层Megathin，迅速吸收尿液的同时，可以均匀扩散并牢牢锁在纸尿裤内层，整条纸尿裤尿湿后不结团不断棉，小屁屁时刻干爽舒适；其产品包括菲比秒吸舒爽纸尿裤和菲比乐玩裤裤型婴儿纸尿裤 。
Fitti,Fitti,Fitti菲比，是瑞德国际旗下的专业纸尿裤品牌，由瑞德国际于1982年引入中国。瑞德国际率先推出菲比超薄型纸尿裤，特有专利超强吸水层Megathin，迅速吸收尿液的同时，可以均匀扩散并牢牢锁在纸尿裤内层，整条纸尿裤尿湿后不结团不断棉，小屁屁时刻干爽舒适；其主打产品包括菲比秒吸舒爽纸尿裤和菲比乐玩裤裤型婴儿纸尿裤 。
