贝亲,贝亲,贝亲是日本母婴用品品牌，创始于1957年，秉承爱的理念，致力于为消费者提供高品质和种类齐全的母婴用品和服务，贝亲产品涵盖了母乳喂养、奶瓶奶嘴、宝宝肌肤护理、衣物清洗、水杯餐具等抚育宝宝的方方面面。2002年正式进入中国市场之后，工厂规模和生产规模不断扩大，如今，贝亲在中国拥有上海外高桥、青浦和常州3家工厂，引进国外先进生产流水线，严格按照PQS（PigeonQualityStandard）执行管理。2013年，贝亲全新推出芬芳亲子洗护系列以及“真绵实感”婴儿纸尿裤 ，新品的推出强化了贝亲产品线，从而进一步提升了妈妈们育儿生活的品质。
好孩子,好孩子,好孩子 旗下包含好孩子中国控股有限公司和好孩子国际控股有限公司，是全球领先的儿童用品公司及中国最大的母婴产品分销和零售平台，于1989年由宋郑还在昆山创立，专业从事儿童及母婴产品的研发、制造及全渠道分销和零售。“关心孩子、服务家庭、回报社会”，好孩子二十余年如一日，以“改善儿童生存环境，提高儿童生活品质”为使命，通过持续创新，不遗余力地为天下父母提供安全易用、充满爱心的优质育儿产品，为孩子们营造健康、快乐的成长环境。
gb,英国,大不列颠及北爱尔兰联合王国（UnitedKingdomofGreatBritainandNorthernIreland），简称“英国”（UnitedKingdom），本土位于欧洲大陆西北面的不列颠群岛，被北海、英吉利海峡、凯尔特海、爱尔兰海和大西洋包围。英国是由大不列颠岛上的英格兰、威尔士和苏格兰以及爱尔兰岛东北部的北爱尔兰以及一系列附属岛屿共同组成的一个西欧岛国。除本土之外，其还拥有十四个海外领地， 总人口超过6500万，其中以英格兰人（盎格鲁-撒克逊人）为主体民族，占全国总人口的占83.9%。 1688年的光荣革命确立了君主立宪政体，18世纪60年代至19世纪30年代成为世界上第一个完成工业革命的国家 ，国力迅速壮大。18世纪至20世纪初期英国统治的领土跨越全球七大洲，是当时世界上最强大的国家和第一大殖民帝国，其殖民地面积等于本土的111倍， 号称日不落帝国。在两次世界大战中都取得了胜利，但国力严重受损。到20世纪下半叶大英帝国解体，资本主义世界霸权的地位被美国取代。不过，现在英国仍是一个在世界范围内有巨大影响力的大国。 英国是一个高度发达的资本主义国家，欧洲四大经济体之一，其国民拥有较高的生活水平和良好的社会保障制度。作为英联邦元首国、八国集团成员国、北约创始会员国、英国同时也是联合国安全理事会五大常任理事国之一。北京时间2018年3月19日，欧盟与英国就2019年3月英国脱离欧盟后为期两年的过渡期条款达成广泛协议。  
五羊,五羊,五羊是广州的代名词，五羊石像也是广州最著名的景点之一。中国民间传说广州府五仙观。初有五仙人，皆持谷穗，一茎六出，乘五羊而至。仙人衣服，与羊同色，五羊俱五色，如五方。既遗穗与广人，仙忽飞升而去。羊留，化为石，广人因即其地祠之。五羊传说表现了古代中国劳动人民开拓岭南的历史。五羊石雕建于1959年，位于越秀公园西侧木壳岗上，由130多块花岗岩雕刻组砌而成‘高11米，体积53立方米。石像中大山羊居中，昂首远眺，羊髯微拂，口衔“一茎六出”谷穗，雄浑有力的羊角伸向半空，显得深沉、威武。余下四羊环列四周，或小羊跪乳，或母羊回首，或吃草，或嬉戏，形态可爱，栩栩如生。
子初,刘巴,刘巴（？－222年），字子初，荆州零陵郡烝阳县（今湖南省衡阳县、邵东县一带）人，汉末至三国蜀汉时期官员、名士。刘巴少知名，荆州牧刘表多次征用推举，刘巴均不应就。曹操征伐荆州，荆州士人多归刘备，刘巴却北上投靠曹操。后受曹操命令招降荆南三郡，不料先为刘备所得，刘巴不能复命曹操，遂远至交趾，又辗转进入益州。刘备平定益州后，刘巴归附刘备，为左将军西曹掾，法正死后接任尚书令。章武二年（222年）去世。刘巴博学多才，为刘备解决入蜀后的财政困难问题，又与诸葛亮等共制蜀汉的法律文件《蜀科》。为人简朴清高，退无私交，曹魏大臣陈群甚敬重之。所著录于《刘令君集》。
全棉时代,全棉时代,全棉时代是指深圳全棉时代科技有限公司（简称Purcotton全棉时代）是稳健医疗集团的子公司。成立于2009年12月7日，创始人李建全。Purcotton全棉时代，取自Pure+Cotton的单词组合，意为用天然棉花生产出健康、亲肤、高品质的生活护理用品。
PurCotton,全棉时代,全棉时代是指深圳全棉时代科技有限公司（简称Purcotton全棉时代）是稳健医疗集团的子公司。成立于2009年12月7日，创始人李建全。Purcotton全棉时代，取自Pure+Cotton的单词组合，意为用天然棉花生产出健康、亲肤、高品质的生活护理用品。
润本,润本,润本是婴幼儿本草护理品牌之一产于广州。润本RUNBEN天然健康的婴儿护肤品牌这个从不依靠华丽包装也没有明星代言人的品牌一直靠产品的质素及实力维系人心
强生,强生,美国强生(Johnson&Johnson)成立于1886年，是世界上规模最大，产品多元化的医疗卫生保健品及消费者护理产品公司。据《财富》和《商业周刊》97年公布的结果，强生公司市场价值指标评比名列全球第20位，并位居全美十大最令人羡慕的公司之列，1999年全球营业额高达275亿美元。强生在全球60个国家建立了250多家分公司，拥有约11万5千余名员工产品销售于175个国家和地区。强生公司是世界上最具综合性、分布范围最广的卫生保健产品制造商、健康服务提供商。公司创建于1886年，产品畅销于175个国家地区，生产及销售产品涉及护理产品、医药产品和医疗器材及诊断产品市场等多个领域。强生作为一家国际性大型企业，在全球57个国家建立了230多家分公司，拥有11万6千余名员工。旗下拥有强生婴儿、露得清、可伶可俐、娇爽、邦迪、达克宁、泰诺等众多知名品牌。2016年6月，强生旗下的漱口水品牌李施德林在其香港推广活动中邀请了何韵诗，该品牌也遭到《环球时报》的批评。截至当地时间周一晚，该公司网站继续使用何韵诗的照片。 
Johnson,johnson,johnson吉他，是axl公司的下属品牌，主要以民谣吉他为主。另外有同名IPC-A-610D和IPC-7711/7721授权认证培训师。
红色小象,红色小象,红色小象是上美旗下高端母婴护理品牌，品牌标识及“爱无添加”的理念源于大象妈妈对小象“持久的母爱与呵护”。
Aveeno,Aveeno,美国婴儿护肤品牌，于1945年由Musher兄弟和Mayo诊所联手合作。1999年，Aveeno正式成为著名婴儿用品Johnson&Johnson（强生）旗下的品牌。并于2000年开始生产各个系列的婴儿用品。Aveeno艾维诺——完美融合自然与科技Aveeno艾维诺是美国专业护肤品牌，属于强生公司旗下。始创于1945年，是研究纯天然护肤产品成分的先锋，已经被皮肤科专家以及小儿科医生推荐长过60年之久。产品由天然胶状燕麦精华提炼而成，质地温而不腻，多次获得美容时尚杂志的称赞和推荐。Aveeno艾维诺采用最多的两种成分是燕麦和大豆，采用纯天然成分的优点研制出一系列安全高效、质地温和的产品。主要适合中性偏干、敏感型肌肤，并适用于婴儿，抗敏修护功效极佳，并且还是2006年冬季奥运会美国代表队的指定护肤产品!
