好孩子,好孩子,好孩子 旗下包含好孩子中国控股有限公司和好孩子国际控股有限公司，是全球领先的儿童用品公司及中国最大的母婴产品分销和零售平台，于1989年由宋郑还在昆山创立，专业从事儿童及母婴产品的研发、制造及全渠道分销和零售。“关心孩子、服务家庭、回报社会”，好孩子二十余年如一日，以“改善儿童生存环境，提高儿童生活品质”为使命，通过持续创新，不遗余力地为天下父母提供安全易用、充满爱心的优质育儿产品，为孩子们营造健康、快乐的成长环境。
gb,英国,大不列颠及北爱尔兰联合王国（UnitedKingdomofGreatBritainandNorthernIreland），简称“英国”（UnitedKingdom），本土位于欧洲大陆西北面的不列颠群岛，被北海、英吉利海峡、凯尔特海、爱尔兰海和大西洋包围。英国是由大不列颠岛上的英格兰、威尔士和苏格兰以及爱尔兰岛东北部的北爱尔兰以及一系列附属岛屿共同组成的一个西欧岛国。除本土之外，其还拥有十四个海外领地， 总人口超过6500万，其中以英格兰人（盎格鲁-撒克逊人）为主体民族，占全国总人口的占83.9%。 1688年的光荣革命确立了君主立宪政体，18世纪60年代至19世纪30年代成为世界上第一个完成工业革命的国家 ，国力迅速壮大。18世纪至20世纪初期英国统治的领土跨越全球七大洲，是当时世界上最强大的国家和第一大殖民帝国，其殖民地面积等于本土的111倍， 号称日不落帝国。在两次世界大战中都取得了胜利，但国力严重受损。到20世纪下半叶大英帝国解体，资本主义世界霸权的地位被美国取代。不过，现在英国仍是一个在世界范围内有巨大影响力的大国。 英国是一个高度发达的资本主义国家，欧洲四大经济体之一，其国民拥有较高的生活水平和良好的社会保障制度。作为英联邦元首国、八国集团成员国、北约创始会员国、英国同时也是联合国安全理事会五大常任理事国之一。北京时间2018年3月19日，欧盟与英国就2019年3月英国脱离欧盟后为期两年的过渡期条款达成广泛协议。  
小龙哈彼,小龙哈彼,小龙哈彼，一个中国妈妈们喜欢的品牌，有童车，床，价格优惠，深受全国各地年轻消费者所喜爱。
POUCH,pouch,
凤凰,凤凰古城,凤凰古城，位于湖南省湘西土家族苗族自治州的西南部，土地总面积约10平方千米。2010年底约5万人口，由苗族、汉族、土家族等28个民族组成，为典型的少数民族聚居区。 凤凰古城，建于清康熙四十三年（1704年）。距铜仁凤凰机场27公里；怀化芷江机场57公里；张家界荷花机场280公里；G209国道，S308省道贯穿全境，枝柳铁路穿境而过。这里与吉首的德夯苗寨，永顺的猛洞河，贵州的梵净山相毗邻，是怀化、吉首、贵州铜仁三地之间的必经之路。湖南十大文化遗产之一。曾被新西兰作家路易·艾黎称赞为中国最美丽的小城，与云南丽江古城、山西平遥古城媲美，享有“北平遥，南凤凰”之名。是国家历史文化名城，国家AAAA级景区。
Phenix,Phenix,1952年phenix（菲尼克斯）品牌诞生，phenix（菲尼克斯）在近六十年内，不断将专业的产品提供给世界滑雪联盟和许多国家滑雪队及俱乐部使用。从1993年起，phenix（菲尼克斯）开始赞助挪威国家滑雪队。2006年起，phenix（菲尼克斯）成为日本滑雪联盟的唯一赞助商。phenix使用的EPIC防水面料（美国陆战队特选户外军服材料）不仅可以防止因蒸发带来的体温下降，而且素材耐洗涤性达到以往防水浸湿材料的10倍，不用再担心常用防泼水材料因多次洗涤后导致的功能减退。此外，phenix带有DEOSEAM专利功能的产品不仅可以在3秒内消除周围8.8平方米的异味，而且在消除异味的同时能够保留香水等芬芳的香味
宝宝好,宝宝好,中山宝宝好儿童用品有限公司，从事婴儿车生产19年，生产设备先进，技术力量雄厚，拥有先进的自动生产流水线，形成从设计开发——制造——销售一条龙配套的产业链企业；2003年通过B/T19001/2000idtISO9001:2000国际认证，2004年通过了国际SGSCEEN1888系列认证，2006年通过国家“CCC”认证，2008年荣获“中国名企”“中国信用企业认证体系示范单位”“广东省著名商标”“广东省名牌产品”，2010年荣获“中国驰名商标”！  
永久,上海永久股份有限公司,上海永久股份有限公司从事自行车的历史最早可追溯到1940年，它是中国最早的自行车整车制造厂家之一。新中国成立以后，它作为最大的国有自行车厂为中国自行车行业的发展作出了不可磨灭的贡献，永久研制了统一全国自行车标准、规格的标定车，又开发了中国第一代660MM轻便车、载重车、赛车及电动自行车、LPG燃气助力车等产品。
FOREVER,不死法医,《不死法医》是由美国ABC出品的悬疑犯罪片，由布拉德·安德森执导，艾恩·格拉法德、阿兰娜·德拉·伽兹等主演。《不死法医》讲述了纽约城最优秀的法医病理学专家Henry在纽约警署女侦探JoMartinez的帮助下，破解一个个案件，并讲述他漫长的、充满传奇色彩的人生故事。该剧于2014年9月22日在美国ABC电视台首播 。
Hope,hope,hope，英文单词。中文翻译为:希望、期望、希望的东西、相信、认为等。可以做名词，也可以做动词。同时，hope还可作为人名使用，中文翻译为:奥普。
