惠普,惠普,惠普（HP）是世界最大的信息科技（IT）公司之一，成立于1939年，总部位于美国加利福尼亚州帕洛阿尔托市。惠普下设三大业务集团：信息产品集团、打印及成像系统集团和企业计算机专业服务集团。中国惠普有限公司总部位于北京，在上海、广州、沈阳、南京、西安、武汉、成都、深圳等都设有分公司。中国惠普在大连设有惠普全球呼叫中心，在重庆设有生产工厂，在天津设有数据中心。 
HP,幽门螺杆菌,幽门螺杆菌病是一种螺旋形、微厌氧、对生长条件要求十分苛刻的细菌。1983年首次从慢性活动性胃炎患者的胃黏膜活检组织中分离成功，是目前所知能够在人胃中生存的惟一微生物种类。2017年10月27日，世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考，幽门螺杆菌（感染）在一类致癌物清单中。 
得力,得力办公,中国驰名商标、中国文具百环奖、办公文具行业领导品牌。创建时间：1988年，集团年。 
deli,deli,deli，英语词汇，基本释义为熟食品、熟食店。
爱普生,爱普生,精工爱普生公司（SeikoEpsonCorporation），成立于1942年5月，总部位于日本长野县诹访市，是日本的一家数码影像领域的全球领先企业。爱普生集团通过富有创新和创造力的文化，提升企业价值，致力于为客户提供数码影像创新技术和解决方案。目前在全球五大洲32个国家和地区设有生产和研发机构，在57个国家和地区设有营业和服务网点。爱普生集团在全球设有94家公司，员工总数逾72000人。 
EPSON,爱普生,精工爱普生公司（SeikoEpsonCorporation），成立于1942年5月，总部位于日本长野县诹访市，是日本的一家数码影像领域的全球领先企业。爱普生集团通过富有创新和创造力的文化，提升企业价值，致力于为客户提供数码影像创新技术和解决方案。目前在全球五大洲32个国家和地区设有生产和研发机构，在57个国家和地区设有营业和服务网点。爱普生集团在全球设有94家公司，员工总数逾72000人。 
佳能,佳能,佳能（Canon ），是日本的一家全球领先的生产影像与信息产品的综合集团，从1937年成立以来，经过多年不懈的努力，佳能已将自己的业务全球化并扩展到各个领域。佳能的产品系列共分布于三大领域：个人产品、办公设备和工业设备，主要产品包括照相机及镜头、数码相机、打印机、复印机、传真机、扫描仪、广播设备、医疗器材及半导体生产设备等。佳能总部位于日本东京，并在美洲、欧洲、亚洲及日本设有4大区域性销售总部，在世界各地拥有子公司200家，雇员超过10万人。2016年3月9日，日本东芝公司于今日召开董事会并最终决定将旗下东芝医疗系统公司出售给佳能公司，佳能公司提出的收购报价为7000亿日元(约合人民币405亿元)。
Canon,卡农,卡农Canon——复调音乐的一种原意为“规律”。一个声部的曲调自始至终追逐着另一声部直到最后的一个小节最后的一个和弦融合在一起，给人以一个神圣的意境。卡农是一种音乐谱曲技法，复调音乐。卡农的所有声部虽然都模仿一个声部，但不同高度的声部依一定间隔进入，造成一种此起彼伏，连绵不断的效果，轮唱也是一种卡农。在卡农中，最先出现的旋律是导句，以后模仿的是答句。根据各声部高度不同的音程差，可分为同度卡农，五度卡农，四度卡农等；根据间隔的时间长短，可分为一小节卡农，两小节卡农等；此外还有伴奏卡农，转位卡农，逆行卡农，反行卡农等各种手法。
萤石,萤石,萤石（Fluorite）又称氟石、氟石粉、萤石粉。是一种矿物，等轴晶系，其主要成分是氟化钙（CaF2）。含杂质较多，Ca常被Y和Ce等稀土元素替代，此外还含有少量的Fe2O3，SiO2和微量的Cl，O3，He等。自然界中的萤石常显鲜艳的颜色，部分可发出荧光。莫氏硬度4，低于钢，易划伤、质脆、甘、涩，无毒。熔点：1270-1350℃。密度：3.18g/cm³，折射率：1.434。
海康威视,海康威视,海康威视是全球领先的以视频为核心的物联网解决方案提供商，致力于不断提升视频处理技术和视频分析技术，面向全球提供领先的监控产品和技术解决方案。海康威视的营销及服务网络覆盖全球，目前在中国大陆34个城市已设立分公司，在香港、美国洛杉矶和印度也已设立了全资和合资子公司，并正在全球筹建更多的分支机构。
联想,联想集团,联想集团是1984年中国科学院计算技术研究所投资20万元人民币，由11名科技人员创办，是中国的一家在信息产业内多元化发展的大型企业集团，和富有创新性的国际化的科技公司。从1996年开始，联想电脑销量一直位居中国国内市场首位；2005年，联想集团收购IBMPC（Personalcomputer，个人电脑）事业部；2013年，联想电脑销售量升居世界第一，成为全球最大的PC生产厂商。2014年10月，联想集团宣布了该公司已经完成对摩托罗拉移动的收购。作为全球电脑市场的领导企业，联想从事开发、制造并销售可靠的、安全易用的技术产品及优质专业的服务，帮助全球客户和合作伙伴取得成功。联想公司主要生产台式电脑、服务器、笔记本电脑、智能电视、打印机、掌上电脑、主板、手机、一体机电脑等商品。自2014年4月1日起，联想集团成立了四个新的、相对独立的业务集团，分别是PC业务集团、移动业务集团、企业级业务集团、云服务业务集团。2016年8月，全国工商联发布“2016中国民营企业500强”榜单，联想名列第四。 
Lenovo,联想集团,联想集团是1984年中国科学院计算技术研究所投资20万元人民币，由11名科技人员创办，是中国的一家在信息产业内多元化发展的大型企业集团，和富有创新性的国际化的科技公司。从1996年开始，联想电脑销量一直位居中国国内市场首位；2005年，联想集团收购IBMPC（Personalcomputer，个人电脑）事业部；2013年，联想电脑销售量升居世界第一，成为全球最大的PC生产厂商。2014年10月，联想集团宣布了该公司已经完成对摩托罗拉移动的收购。作为全球电脑市场的领导企业，联想从事开发、制造并销售可靠的、安全易用的技术产品及优质专业的服务，帮助全球客户和合作伙伴取得成功。联想公司主要生产台式电脑、服务器、笔记本电脑、智能电视、打印机、掌上电脑、主板、手机、一体机电脑等商品。自2014年4月1日起，联想集团成立了四个新的、相对独立的业务集团，分别是PC业务集团、移动业务集团、企业级业务集团、云服务业务集团。2016年8月，全国工商联发布“2016中国民营企业500强”榜单，联想名列第四。 
坚果,坚果,坚果，是闭果的一个分类，果皮坚硬，内含1粒或者多粒种子。如板栗，杏仁等的果实。坚果是植物的精华部分，一般都营养丰富，含蛋白质、油脂、矿物质、维生素较高，对人体生长发育、增强体质、预防疾病有极好的功效。根据权威机构研究得出：每周食用两次以上坚果能够降低人们患致命心脏病的风险，这是美国医生健康研究项目的两万名男性医生消费坚果的特点进行调查后的准确结果。
兄弟,华谊兄弟传媒集团,华谊兄弟传媒股份有限公司是中国大陆一家知名综合性民营娱乐集团，由王中军、王中磊兄弟在1994年创立，1998年投资著名导演冯小刚的影片《没完没了》、姜文导演的影片《鬼子来了》正式进入电影行业。因每年投资冯小刚的贺岁片而声名鹊起，随后全面进入传媒产业，投资及运营电影、电视剧、艺人经纪、唱片、娱乐营销等领域，在这些领域都取得了不错的成绩，并且在2005年成立华谊兄弟传媒集团。2009年9月27日，证监会创业板发行审核委员会公告，华谊兄弟传媒股份有限公司（首发）获得通过，这意味着华谊兄弟成为了首家获准公开发行股票的娱乐公司;也迈出了其境内上市至关重要的一步。2017年5月11日，华谊兄弟传媒集团入选第九届全国“文化企业30强”。 
brother,兄弟,《兄弟》原曲是一首俄国民歌，是描写二战时期亲情离散的一首歌曲。后被TV动画《钢之炼金术师》作为插曲，并邀请俄罗斯信念合唱团为其进行原声录制。
虎牌,虎牌,虎牌公司（日文：タイガー魔法瓶株式会社），是日本的一个高品质真空瓶及消费电子产品制造的跨国公司。它在中国台湾和北美分别开设有分公司。
富士施乐,富士施乐,富士施乐公司是全球最大数字与信息技术产品生产商，是一家全球500强企业。是复印技术的发明公司，具有悠久的历史。富士施乐公司在复印机市场占有率，特别是彩色机器的市场占有率，占据全球第一的位置；其彩色的技术方面是全球领袖企业。
Fuji Xerox,富士施乐株式会社,富士施乐公司是全球最大数字与信息技术产品生产商，是一家全球500强企业。
爱宝,爱宝,Noble（爱宝）集团由Alice于上个世纪中期在加利福尼亚创立，目前在世界各地拥有300多个加盟店，在几乎每个国家都有对当地知名品牌的收购行为，并且通过集团成功的全球化分销渠道，把很多原本只在固定地区享有知名度的品牌推向全世。成立以来，Noble（爱宝）集团一直以促进国际母婴事业，为每一个家庭带去最好的婴童产品是集团矢志不渝的使命，今天Noble（爱宝）集团已经成长为国际的著名母婴集团。近年来，中国母婴市场呈现爆发趋势，Noble（爱宝）集团集团与AC尼尔森合作调研通过长达五年的对中国市场、消费人群的调查分析，决定斥巨资进军中国市场，并以中国市场作为进军亚洲市场的桥头堡。
科密,科密,科密，马耳他的一支足球队。
明基,明基,明基电通产品服务横跨3C领域，为全球享有盛名的数字时尚科技领导企业。由施振荣创立于1984年6月，过去也是宏碁集团旗下的公司之一，并共同使用Acer的标志。1999年泛宏碁集团整顿后，独立成明基电通集团，并于2001年推出自有品牌BenQ，以“享受快乐科技”为品牌定位，以“数字时尚网络产品”为核心发展概念。拥有产品设计、视觉科技以及移动科技三大核心竞争力，产品涵盖数字媒体、计算机系统及周边、网络通信及3C数字整合等领域，包括数字投影机、液晶显示器、数码相机、台式电脑、笔记本电脑、液晶电视、电脑周边产品等多元化的产品线。
BenQ,明基,明基电通产品服务横跨3C领域，为全球享有盛名的数字时尚科技领导企业。由施振荣创立于1984年6月，过去也是宏碁集团旗下的公司之一，并共同使用Acer的标志。1999年泛宏碁集团整顿后，独立成明基电通集团，并于2001年推出自有品牌BenQ，以“享受快乐科技”为品牌定位，以“数字时尚网络产品”为核心发展概念。拥有产品设计、视觉科技以及移动科技三大核心竞争力，产品涵盖数字媒体、计算机系统及周边、网络通信及3C数字整合等领域，包括数字投影机、液晶显示器、数码相机、台式电脑、笔记本电脑、液晶电视、电脑周边产品等多元化的产品线。
ZKTeco,ZKTeco,ZKTeco是深圳市中控生物识别技术有限公司旗下品牌。
霍尼韦尔,霍尼韦尔,霍尼韦尔国际（HoneywellInternational）是一家营业额达300多亿美元的多元化高科技和制造企业，在全球，其业务涉及：航空产品和服务、楼宇、家庭和工业控制技术、汽车产品、涡轮增压器以及特殊材料。霍尼韦尔公司总部位于美国新泽西州莫里斯镇。霍尼韦尔是一家国际性从事自控产品开发及生产的公司，公司成立于一八八五年，有超过百年历史的国际公司，一九九六年，被美国"财富"杂志评为最受推崇的20家高科技企业之一。是一家销售额为333.7亿美元(2011年度)，在多元化技术和制造业方面占世界领导地位的跨国公司（500强排名280位）。宗旨是以增加舒适感，提高生产力，节省能源，保护环境，保障使用者生命及财产从而达到互利增长为目的。为全球的楼宇，工业，航天及航空市场的客户服务。霍尼韦尔国际公司是一个拥有多元化制造技术的领导者，服务于世界各地的客户，包括航天产品及服务、工业和家庭楼宇控制技术、汽车产品、涡轮增压器以及特种材料。霍尼韦尔在全球100多个国家/地区拥有116000员工，以满足客户，力争成为世界自控先驱，从而实现互利增长的目标。2017年6月7日，2017年《财富》美国500强排行榜发布，霍尼韦尔排名第73位。 
Honeywell,霍尼韦尔,霍尼韦尔国际（HoneywellInternational）是一家营业额达300多亿美元的多元化高科技和制造企业，在全球，其业务涉及：航空产品和服务、楼宇、家庭和工业控制技术、汽车产品、涡轮增压器以及特殊材料。霍尼韦尔公司总部位于美国新泽西州莫里斯镇。霍尼韦尔是一家国际性从事自控产品开发及生产的公司，公司成立于一八八五年，有超过百年历史的国际公司，一九九六年，被美国"财富"杂志评为最受推崇的20家高科技企业之一。是一家销售额为333.7亿美元(2011年度)，在多元化技术和制造业方面占世界领导地位的跨国公司（500强排名280位）。宗旨是以增加舒适感，提高生产力，节省能源，保护环境，保障使用者生命及财产从而达到互利增长为目的。为全球的楼宇，工业，航天及航空市场的客户服务。霍尼韦尔国际公司是一个拥有多元化制造技术的领导者，服务于世界各地的客户，包括航天产品及服务、工业和家庭楼宇控制技术、汽车产品、涡轮增压器以及特种材料。霍尼韦尔在全球100多个国家/地区拥有116000员工，以满足客户，力争成为世界自控先驱，从而实现互利增长的目标。2017年6月7日，2017年《财富》美国500强排行榜发布，霍尼韦尔排名第73位。 
佳博,佳博,佳博品牌票据打印机是由SUNCSW盛源、GAINSCHA金秋基业两家公司共同生产的。珠海佳博品牌是国内POS商用票据打印机的知名品牌，于2005年-2010年，公司的80mm、76mm和58mm微型票据打印机全国销量第一。拥有国内，香港、台湾最多的客户和销售量。在零售领域、餐饮领域、税控领域以及特种商品领域的技术成为全国领先的票据打印机知名品牌。
Gprinter,Gprinter,《Gprinter》是一款Android平台的应用。
齐心,齐心,齐心，1926年出生，河北高阳人。是中国无产阶级革命家、中共元老习仲勋的夫人，也是现任中国最高领导人习近平的母亲。1939年，齐心随姐姐来到山西屯留“抗大”，成为一名八路军战士，后到延安学习。1943年，她在绥德师范做学生工作时，与习仲勋相识，同年8月14日加入中国共产党，次年结婚。 
COMIX,Comix,Comix，演员，主要作品《街舞之王》。
三星,三星,三星集团是韩国最大的跨国企业集团，同时也是上市企业全球500强，三星集团包括众多的国际下属企业，旗下子公司有：三星电子、三星物产、三星航空、三星人寿保险等，业务涉及电子、金融、机械、化学等众多领域。三星集团成立于1938年，由李秉喆创办。三星集团是家族企业，李氏家族世袭，旗下各个三星产业均为家族产业，并由家族中的其他成员管理，集团领导人已传至李氏第三代，李健熙为现任集团会长，其子李在镕任三星电子副会长。2016年5月25日，华为公司在美国和中国提起对三星公司的知识产权诉讼，包括加州北区法院和深圳中级人民法院。7月21日，三星在北京知识产权法院起诉华为技术有限公司专利侵权，停止生产、销售mate8等机型，索赔8050万 。9月6日，据道琼斯消息，在已出货或到达消费者手中的约250万部Note7手机中，有70%电池为由子公司：三星SDI（SAMSUNGSDICO.LTD.）供应，剩下的部分则采用了中国新能源科技有限公司（ATL）的电池 。10月，三星集团排2016年全球100大最有价值品牌第7名。 10月，三星电子在召回GalaxyNote7手机后又宣布停止销售该手机，几乎宣布了这款旗舰手机的“死刑”，此举或令三星损失170亿美元 。12月9日，三星准备在美国升级软件，永久禁用GalaxyNote7手机。 2016年11月4日晚间消息，三星电子美国公司宣布，将主动召回280万台特定型号的顶部开盖洗衣机。 
SAMSUNG,三星集团,三星集团是韩国最大的企业集团，包括85个下属公司及若干其他法人机构，在近70个国家和地区建立了近300个法人及办事处，员工总数20余万人，业务涉及电子、金融、机械、化学等众多领域。
斑马,斑马,斑马（英文名称：zebra）：是现存的奇蹄目马科马属3种兽类的通称。因身上有起保护作用的斑纹而得名。没有任何动物比斑马的皮毛更与众不同。斑马周身的条纹和人类的指纹一样——没有任何两头完全相同。斑马为非洲特产。非洲东部、中部和南部产平原斑马，由腿至蹄具条纹或腿部无条纹。东非还产一种格式斑马，体格最大，耳长（约20厘米）而宽，全身条纹窄而密，因而又名细纹斑马。南非洲产山斑马，与其它两种斑马不同的是，它有一对象驴似的大长耳朵。除腹部外，全身密布较宽的黑条纹，雄体喉部有垂肉。斑马是草食性动物。除了草之外，灌木、树枝、树叶甚至树皮也是它们的食物。适应能力较强的消化系统，令斑马可以在低营养条件下生存，比其他草食性动物优胜。斑马对非洲疾病的抗病力比马强，但斑马始终未能被驯化成家畜，也没有能和马进行杂交。
ZEBRA,zebra,ZEBRA，一是成立于2003年3月5日的足球团体。
金典,金典,金典牛奶诞生于2007年，作为伊利液体奶的首个高端副品牌；自上市起，即秉承奉献最佳品质的理念，致力于打造中国“最好的牛奶”，主要有三支单品：金典纯牛奶、金典低脂奶、金典有机奶。
GOLDEN,golden,adj1.金的，金制的2.含金的；产金的3.金钱的，金币的4.金（黄）色的；黄金般的5.贵重的，宝贵的，珍贵的，优良的；极好的6.繁荣昌盛的；富裕的；茂盛的；高兴的，快乐的7.顺利的；吉利的；有出息的，有前途的，有指望的，有希望的8.（声音）圆润的，洪亮的
轰天炮,轰天炮,《轰天炮》是由理查德·唐纳执导的犯罪动作片，梅尔·吉布森、琼·塞弗伦斯等参加演出。该片讲述了玛丁.里格斯和罗杰.玛塔夫两位刑警追查一桩极大的走私案件的故事。
汉王,汉王,汉王科技股份有限公司成立于1998年，是全球文字识别技术与智能交互产品引领者，多年来，通过不断自主创新，在联机手写识别、光学字符识别(OCR)、数位绘画板等领域拥有多项具有自主知识产权的核心技术，综合技术水平在国内外均处于领先地位，手写汉字识别获得国家科技进步一等奖，OCR获得国家科技进步二等奖。在国内与北京文通科技有限公司形成强有力的行业竞争。
宏碁,宏碁,宏碁成立于1976年，是一个国际化的自有品牌公司，主要从事于智能手机、平板电脑、个人电脑、显示产品与服务器的研发、设计、行销、销售及服务，也结合物联网积极发展云端技术与解决方案，是一个整合软件、硬件与服务的企业。宏碁2014年个人电脑出货量全球排名第四，营收为103.9亿美元，拥有全球约7000名员工。 
acer,宏碁,宏碁成立于1976年，是一个国际化的自有品牌公司，主要从事于智能手机、平板电脑、个人电脑、显示产品与服务器的研发、设计、行销、销售及服务，也结合物联网积极发展云端技术与解决方案，是一个整合软件、硬件与服务的企业。宏碁2014年个人电脑出货量全球排名第四，营收为103.9亿美元，拥有全球约7000名员工。 
酷乐视,酷乐视,酷乐视（coolux）作为中国智能微型投影机品牌，专注于微型投影产品的设计、生产与销售。酷乐视U+电影院系列下的X5智能微型投影机，作为面向私家影院的当红花旦，凭借着极致色彩、光学高清、便携适用的产品特性在业界拥有较高的声誉。 酷乐视，是由COOLUX音译而来，由COOL和LUX（勒克司，照度单位，为距离一个光强为1cd的光源，在1米处接受的照明强度）组合而成。其为四川维优科技旗下深圳酷乐视科技有限公司的LED微型投影机系列产品的总称。主要是指采用以LED作为光源，LCOS作为成像技术的微型投影机。因此，酷乐视就是微型LED投影机。而微型LED投影机是一大类技术的统称，主要包括RGBLED+DLP技术、RBGLED+LCOS技术、白光LED+CFLCOS技术。酷乐视主要采用的则是RGBLED+DLP技术。酷乐视品牌下包含高亮微型投影机、便携LED手持投影仪、智能光学高清投影机在内的全系产品。酷乐视一直追求的是产品的高清投影画质和极致色彩效果，品牌愿景是能将呈现在大屏投影画面中的精彩细节，忠实地传递给普通大众。 
捷波朗,捷波朗,丹麦捷波朗（外文Jabra）是全球免提移动科技的领导企业大北欧通讯设备有限公司(GNNetcomA/S)的全资子公司，其总部位于丹麦哥本哈根，产品包括无线蓝牙耳机，有线耳机及移动音乐配件，如可用于移动电话和其他设备的立体声耳机和耳麦。旨在满足用户对移动生活方式的需求。丹麦捷波朗产品体现了功能与设计的完美结合，充分将科技、舒适与前沿设计融为一体，使用户能够享受到全面自由的移动通讯。
Jabra,JABRA,Jabra是在移动消费市场中创新免提通讯方案的领先品牌，其产品行销全球逾八万个零售商，包括各国主要的GSM运营商，电子消费品连锁店，移动电话服务商等。
松下,松下,松下（Panasonic），是日本的一个跨国性公司，在全世界设有230多家公司，员工总数超过290493人。其中在中国有54，000多人。2001年全年的销售总额为610多亿美元，为世界制造业500强的第26名。Panasonic的中文为“松下”（早期叫National，1986年开始逐步更改为Panasonic，2008年10月1日起全部统一为Panasonic）由日本松下电器产业株式会社自1918年松下幸之助创业，发展品牌产品涉及家电、数码视听电子、办公产品、航空等诸多领域而享誉全球；该企业品牌跃入《世界品牌500强》排行榜。松下于2012年10月31日宣布2012财年(2012年4月～2013年3月）的合并最终损益（按照美国会计标准）预期从盈利500亿日元下调为亏损7650亿日元。
Panasonic,松下,松下（Panasonic），是日本的一个跨国性公司，在全世界设有230多家公司，员工总数超过290493人。其中在中国有54，000多人。2001年全年的销售总额为610多亿美元，为世界制造业500强的第26名。Panasonic的中文为“松下”（早期叫National，1986年开始逐步更改为Panasonic，2008年10月1日起全部统一为Panasonic）由日本松下电器产业株式会社自1918年松下幸之助创业，发展品牌产品涉及家电、数码视听电子、办公产品、航空等诸多领域而享誉全球；该企业品牌跃入《世界品牌500强》排行榜。松下于2012年10月31日宣布2012财年(2012年4月～2013年3月）的合并最终损益（按照美国会计标准）预期从盈利500亿日元下调为亏损7650亿日元。
理光,理光,理光（Ricoh），是日本著名的办公设备及光学机器制造商，世界五百强企业。市村清在1936年成立理化学研究所，研究所主要研究理研阳画感光纸，1963年正式易名为理光，并在同年成立香港分公司。现在理光的主要产品包括影印机、传真机、打印机等文仪器材，文档解决方案，以及轻便型数码相机。
Ricoh,理光,理光（Ricoh），是日本著名的办公设备及光学机器制造商，世界五百强企业。市村清在1936年成立理化学研究所，研究所主要研究理研阳画感光纸，1963年正式易名为理光，并在同年成立香港分公司。现在理光的主要产品包括影印机、传真机、打印机等文仪器材，文档解决方案，以及轻便型数码相机。
索尼,索尼,索尼（日语：ソニー株式会社，英语：SonyCorporation），是日本一家全球知名的大型综合性跨国企业集团。总部设于日本东京都港区港南1-7-1。索尼是世界视听、电子游戏、通讯产品和信息技术等领域的先导者，是世界最早便携式数码产品的开创者，是世界最大的电子产品制造商之一、世界电子游戏业三大巨头之一、美国好莱坞六大电影公司之一。其旗下品牌有Xperia，Walkman，Sonymusic，哥伦比亚电影公司，PlayStation等曾有vaio旗下品牌，但在2014年2月6日，索尼剥离VAIO业务，Vaio品牌将由JapanIndustrialPartnersInc接手运营。 2018年4月1日起，现任副社长兼首席财务官吉田宪一郎升任社长，现任社长兼首席执行官平井一夫出任不具企业代表权的董事长。 
