得力,得力办公,中国驰名商标、中国文具百环奖、办公文具行业领导品牌。创建时间：1988年，集团年。 
deli,deli,deli，英语词汇，基本释义为熟食品、熟食店。
惠普,惠普,惠普（HP）是世界最大的信息科技（IT）公司之一，成立于1939年，总部位于美国加利福尼亚州帕洛阿尔托市。惠普下设三大业务集团：信息产品集团、打印及成像系统集团和企业计算机专业服务集团。中国惠普有限公司总部位于北京，在上海、广州、沈阳、南京、西安、武汉、成都、深圳等都设有分公司。中国惠普在大连设有惠普全球呼叫中心，在重庆设有生产工厂，在天津设有数据中心。 
HP,幽门螺杆菌,幽门螺杆菌病是一种螺旋形、微厌氧、对生长条件要求十分苛刻的细菌。1983年首次从慢性活动性胃炎患者的胃黏膜活检组织中分离成功，是目前所知能够在人胃中生存的惟一微生物种类。2017年10月27日，世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考，幽门螺杆菌（感染）在一类致癌物清单中。 
晨光,上海晨光文具股份有限公司,上海晨光文具股份有限公司（M&GChenguangStationeryco.Ltd.），位于上海市奉贤区青村镇光明经济园区，公司占地面积260亩，是一家整合创意价值与制造优势，专注于文具事业的综合文具集团。 晨光致力于提供舒适、有趣、环保、高性价比的文具用品，让人们享受使用过程并激发使用者创意。产品涵盖各式书写工具、修正工具、橡皮类、尺类、胶类、画材类、本册类、包袋类、PP类、桌面用品、电子类、削笔工具、财务行政用品、益智类等产品领域。
M&G,M&G,公司(Mossi&GHISOLFI)目前是世界最大的的包装用PET供应商，年总产能达到165万吨/年。
爱普生,爱普生,精工爱普生公司（SeikoEpsonCorporation），成立于1942年5月，总部位于日本长野县诹访市，是日本的一家数码影像领域的全球领先企业。爱普生集团通过富有创新和创造力的文化，提升企业价值，致力于为客户提供数码影像创新技术和解决方案。目前在全球五大洲32个国家和地区设有生产和研发机构，在57个国家和地区设有营业和服务网点。爱普生集团在全球设有94家公司，员工总数逾72000人。 
EPSON,爱普生,精工爱普生公司（SeikoEpsonCorporation），成立于1942年5月，总部位于日本长野县诹访市，是日本的一家数码影像领域的全球领先企业。爱普生集团通过富有创新和创造力的文化，提升企业价值，致力于为客户提供数码影像创新技术和解决方案。目前在全球五大洲32个国家和地区设有生产和研发机构，在57个国家和地区设有营业和服务网点。爱普生集团在全球设有94家公司，员工总数逾72000人。 
佳能,佳能,佳能（Canon ），是日本的一家全球领先的生产影像与信息产品的综合集团，从1937年成立以来，经过多年不懈的努力，佳能已将自己的业务全球化并扩展到各个领域。佳能的产品系列共分布于三大领域：个人产品、办公设备和工业设备，主要产品包括照相机及镜头、数码相机、打印机、复印机、传真机、扫描仪、广播设备、医疗器材及半导体生产设备等。佳能总部位于日本东京，并在美洲、欧洲、亚洲及日本设有4大区域性销售总部，在世界各地拥有子公司200家，雇员超过10万人。2016年3月9日，日本东芝公司于今日召开董事会并最终决定将旗下东芝医疗系统公司出售给佳能公司，佳能公司提出的收购报价为7000亿日元(约合人民币405亿元)。
Canon,卡农,卡农Canon——复调音乐的一种原意为“规律”。一个声部的曲调自始至终追逐着另一声部直到最后的一个小节最后的一个和弦融合在一起，给人以一个神圣的意境。卡农是一种音乐谱曲技法，复调音乐。卡农的所有声部虽然都模仿一个声部，但不同高度的声部依一定间隔进入，造成一种此起彼伏，连绵不断的效果，轮唱也是一种卡农。在卡农中，最先出现的旋律是导句，以后模仿的是答句。根据各声部高度不同的音程差，可分为同度卡农，五度卡农，四度卡农等；根据间隔的时间长短，可分为一小节卡农，两小节卡农等；此外还有伴奏卡农，转位卡农，逆行卡农，反行卡农等各种手法。
