微软,微软,微软，是一家美国跨国科技公司，也是世界PC（PersonalComputer，个人计算机）软件开发的先导，由比尔·盖茨与保罗·艾伦创办于1975年，公司总部设立在华盛顿州的雷德蒙德（Redmond，邻近西雅图）。以研发、制造、授权和提供广泛的电脑软件服务业务为主。最为著名和畅销的产品为MicrosoftWindows操作系统和MicrosoftOffice系列软件，目前是全球最大的电脑软件提供商。2018年4月22日，2017年全球最赚钱企业排行榜发布，微软排名第15。 
Microsoft,微软,微软，是一家美国跨国科技公司，也是世界PC（PersonalComputer，个人计算机）软件开发的先导，由比尔·盖茨与保罗·艾伦创办于1975年，公司总部设立在华盛顿州的雷德蒙德（Redmond，邻近西雅图）。以研发、制造、授权和提供广泛的电脑软件服务业务为主。最为著名和畅销的产品为MicrosoftWindows操作系统和MicrosoftOffice系列软件，目前是全球最大的电脑软件提供商。2018年4月22日，2017年全球最赚钱企业排行榜发布，微软排名第15。 
金蝶,金蝶,金蝶是香港联交所主板上市公司（股票代码：00268），中国软件产业领导厂商，亚太地区管理软件龙头企业，全球领先的中间件软件、在线管理及全程电子商务服务商。金蝶帮助顾客成功，让中国管理模式在全球崛起为使命，为世界范围内超过400万家企业和政府组织成功提供了管理咨询和信息化服务。
kingdee,kingdee,金蝶国际软件集团有限公司是亚太地区领先的企业管理软件及电子商务应用供应商，产品包括ERP、电子商务、中间件、HR、CRM及财务软件等。
京东,京东,京东（股票代码：JD），中国自营式电商企业，创始人刘强东担任京东集团董事局主席兼首席执行官 。旗下设有京东商城、京东金融、拍拍网、京东智能、O2O及海外事业部等。2013年正式获得虚拟运营商牌照。2014年5月在美国纳斯达克证券交易所正式挂牌上市。2016年6月与沃尔玛达成深度战略合作，1号店并入京东。2014年5月，京东集团在美国纳斯达克证券交易所正式挂牌上市 。2015年7月，京东凭借高成长性入选纳斯达克100指数 和纳斯达克100平均加权指数 。2017年1月4日，中国银联宣布京东金融旗下支付公司正式成为银联收单成员机构。2017年4月25日，京东集团宣布正式组建京东物流子集团。2017年8月3日，2017年“中国互联网企业100强”榜单发布，京东排名第四位。 2018年3月15日，京东内部公告成立了“客户卓越体验部”，该部门将整体负责京东集团层面客户体验项目的推进。京东集团副总裁余睿出任该部门负责人。 
用友,用友,用友（集团）成立于1988年，是亚太地区大型的企业管理软件、企业互联网服务和企业金融服务提供商，是中国大型的ERP、CRM、人力资源管理、商业分析、内审、小微企业管理软件和财政、汽车、烟草等行业应用解决方案提供商。用友iUAP平台是中国大型企业和组织应用广泛的企业互联网开放平台，畅捷通平台支持千万级小微企业公有云服务。用友在金融、医疗卫生、电信、能源等行业应用以及企业协同、企业通信、企业支付、P2P、培训教育、管理咨询等服务领域快速发展。 
会声会影,会声会影,会声会影是加拿大corel公司制作的一款功能强大的视频编辑软件，具有图像抓取和编修功能，可以抓取，转换MV、DV、V8、TV和实时记录抓取画面文件，并提供有超过100多种的编制功能与效果，可导出多种常见的视频格式，甚至可以直接制作成DVD和VCD光盘。
管家婆,管家婆,管家婆是成都任我行软件股份有限公司旗下知名品牌，荣获“2009年中国IT行业十大民族品牌”称号。自1996年问世以来，管家婆软件凭借“简单、实用，贴近中国国情”的特点受到了广大中小企业的欢迎和信赖。管家婆软件根据中小企业信息化需求的变化和IT技术潮流的更新不断创新和改善，始终走在业界的前端。在发展通用软件的同时，管家婆还深入IT、通讯、医药、服装、食品、五金建材、汽配汽修等行业，针对不同细分行业的经营管理特性，推出了专业的行业软件产品和完整的业务解决方案，满足不同行业的企业信息化需求。
Adobe,ADOBE,美国Adobe公司是著名的图形图像和排版软件的生产商。市值达数百亿美元的软件公司AdobeSystemsIncorporated（纳斯达克股票代码：ADBE），20多年来一直致力于帮助用户和企业以更好的成本效益，通过更好的方式表达图像、信息和思想。2017年6月6日，《2017年BrandZ最具价值全球品牌100强》公布，ADOBE名列第98位。2017年7月26日，Adobe宣布，计划终结Flash浏览器插件，并在2020年停止开发和分发这款插件。 
卡巴斯基,卡巴斯基,卡巴斯基反病毒软件是世界上拥有最尖端科技的杀毒软件之一，总部设在俄罗斯首都莫斯科，全名“卡巴斯基实验室”，是国际著名的信息安全领导厂商，创始人为俄罗斯人尤金·卡巴斯基。公司为个人用户、企业网络提供反病毒、防黑客和反垃圾邮件产品。经过十四年与计算机病毒的战斗，卡巴斯基获得了独特的知识和技术，使得卡巴斯基成为了病毒防卫的技术领导者和专家。该公司的旗舰产品-著名的卡巴斯基安全软件，主要针对家庭及个人用户，能够彻底保护用户计算机不受各类互联网威胁的侵害。
