mAi,仓木麻衣,仓木麻衣，本名青野真衣。1982年10月28日出生于日本千叶县船桥市，日本女歌手、作词家，唱片公司为NORTHERNMUSIC。1999年12月，发行单曲《LoveDayAfterTomorrow》在日本正式出道 。2000年，发行首张专辑《deliciousway》，该专辑累计近400万的销量，并获得公信榜年度销量冠军 ，随后推出的3张原创专辑也获得公信榜专辑周榜冠军 。2001年，在美国发行英文专辑《Secretofmyheart》 。2004年，发行首张精选辑《WishYouTheBest》，销量近百万 。2009年，发行第八张专辑《touchMe!》，首周获得公信榜专辑周榜冠军 ，同年的10周年精选辑《ALLMYBEST》亦登上该榜冠军 。2014年，发行双主打单曲《无敌的心/STANDBYYOU》 ，同年12月，发行15周年精选辑《MAIKURAKIBEST151A-LOVE&HOPE-》 。2015年5月20日，发布配信单曲《Serendipity》 。2017年2月15日，发行专辑《Smile》 。同年为动画电影《名侦探柯南：唐红的恋歌》演唱主题曲《渡月桥～思君～》 ，并凭借该曲创下连续41张单曲进入公信榜单曲周榜前十位的纪录 。
Maple,maple,Maple是目前世界上最为通用的数学和工程计算软件之一，在数学和科学领域享有盛誉，有“数学家的软件”之称。Maple在全球拥有数百万用户，被广泛地应用于科学、工程和教育等领域，用户渗透超过96%的世界主要高校和研究所，超过81%的世界财富五百强企业。Maple系统内置高级技术解决建模和仿真中的数学问题，包括世界上最强大的符号计算、无限精度数值计算、创新的互联网连接、强大的4GL语言等，内置超过5000个计算命令，数学和分析功能覆盖几乎所有的数学分支，如微积分、微分方程、特殊函数、线性代数、图像声音处理、统计、动力系统等。Maple不仅仅提供编程工具，更重要的是提供数学知识。Maple是教授、研究员、科学家、工程师、学生们必备的科学计算工具，从简单的数字计算到高度复杂的非线性问题，Maple都可以帮助您快速、高效地解决问题。用户通过Maple产品可以在单一的环境中完成多领域物理系统建模和仿真、符号计算、数值计算、程序设计、技术文件、报告演示、算法开发、外部程序连接等功能，满足各个层次用户的需要，从高中学生到高级研究人员。
AIHAO,aihao,温州市爱好笔业有限公司是一家以书写工具为核心的文具生产企业
DreamMaker,DreamMaker,
昂达,昂达,昂达（ONDATechnologiesInc.）是国内知名电子品牌，成立于1989年。昂达聘请多名留学归国技术人员与国内著名学府合作，投资成立昂达电子商务公司，致力于B2B电子商务的核心技术的开发研究。从486时代的海洋主板到586时代的华硕主板、EPSON打印机、ELSA显卡、ADI显示器、IWILL主板、源兴光驱等，昂达公司经过12年的努力，使这些品牌达到了极高的市场占有率、获得极佳的用户口碑。
G,g,在古代腓尼基语及希伯来语的字母表里，G是描摹骆驼的头和颈之轮廓的象形字母，其名称为gimel。以后希腊人借用了该符号，作Γ（gamma，伽马）。其实字母G与字母C系源于同一腓尼基字母。原拉丁字母表里本无字母G，含g音和含k音的词都以字母C为表示。公元3世纪以后，古罗马人根据C创造了G，自此C表示k音，G则表示g音。Gg是拉丁字母中的第7个字母。字母G是由罗马人发明的，因为他们感觉到C对于表达发音/k/和/g/来说并不足够。这时G取代了原来的字母Z来表达发音/g/。就如同发音/k/的发展那样，/g/也发展成上腭音以及软腭音的变体。这就是为什么今天G在所有罗马语系的语言和英语中有这么多不同的发音。
安天下,安天下,深圳市天和时代电子设备有限公司是安天下安检机生产商
建伍,建伍,建伍（KENWOOD）是世界领先的音响品牌，探索动人未来，创建美好生活是建伍公司新的长远规划，这表示其非常人性化的产品设计理念。
APS,APS,广汉爱普斯石油技术有限公司是一家中外合资经营企业，其英文名为“GuanghanAPSTechnologyLtd.”，位于广汉市经济开发区深圳路东一段，于2010年8月16日在德阳市工商行政管理局进行登记注册，公司行政办公楼位于广汉市福州路三段五号APS中国公司厂区内，维修中心车间位于广汉市广东路东二段井控公司厂区内。
旗牌,旗牌,旗牌，亦作“旂牌”。指写有“令”的旗和牌；犹旗号等。
Gambol,gambol,《gambol》是歌手狂热节拍在1999年1月24日发行专辑《狂热节拍1st》中的歌曲。
RAL,RAL,RAL是德国的一种色卡品牌这种色卡在国际上广泛通用又称RAL国际色卡中文译为:劳尔色卡
F.L,F.L,《F.L》是凉璃创作的网络小说，发表于晋江文学网。
道林,道林,道林镇位于湖南宁乡县东南端，省会长沙西南部，湘江一级支流靳江河流经全镇。
苏拉达,苏拉达,苏拉达，1974年11月16日出生于捷克，足球运动员。
五千年,五千年,《五千年》是由网盈科技自主研发的一款2D魔幻MMORPG游戏。 
莱特斯,莱特斯,莱特斯，乌拉圭一名球员
UHU,UHU,德国品牌UHU在欧洲是黏胶用品的代名词，其黄底黑字的品牌包装早已深植人心。UHU总部设在德国，在欧洲，美国，加拿大，墨西哥和澳大利亚的分销合作伙伴的广泛网络，成立了子公司允许UHU供应产品到世界各地的数百万满意的客户。UHU能解决各式修缮黏着问题，研发各式万用或特殊胶剂，以应对各种材质的黏合：塑料、金属、布料、皮革、木材、陶瓷......并可应付各种特殊高低温、紫外线、风化、湿气等特殊环境，更针对装潢、工艺、DIY等用途，开发可膨胀或拉紧、专用开口、固体液体胶状等专门产品。
Tenveo,Tenveo,Tenveo（深圳腾为视讯科技有限公司，简称腾为），成立于2002年是中国视频会议领域领先的产品提供商之一
Minimalism,Minimalism,可以是一种艺术流派（此时译作极少主义或最简单派）；可以指一种生活方式或时装风格（此时更多地译作简约主义）；也可以是一种带有Minimalism的曲子有着重复性的旋律。
SABLE,Sable,Sable是一名职业摔角运动员，出生于1967年8月9日，1996年首次登上摔角比赛舞台，曾获得WWF比赛冠军。
