七匹狼,福建七匹狼实业股份有限公司,七匹狼品牌创立于1990年，是中国男装行业开创性品牌。2000年推出格子茄克，成为红遍大江南北的“茄克之王”，并在此后连续16年中国茄克市场占有率第一。 2004年七匹狼实业股份有限公司作为中国服装业首家公司上市（股票代码：002029）。作为BrandZ最具价值中国品牌一百强，七匹狼在行业内率先系统提出“男人不只一面”的服装品牌文化经营理论，形成了以品牌为核心、以生活形态产业为主导的现代企业经营体系。 在立足于对博大精深的中华传统文化积极挖掘的同时，七匹狼将西方流行时尚元素融于自身设计理念，并致力于推动中国传统文化与现代时尚创意产业的契合。“男人不只一面”，七匹狼以“品格男装”突显国际化品质和中西兼容的文化格调，以时尚传承经典，以中国面向世界。2016年6月20日，米兰富有历史与盛名的圣巴拿巴回廊内，七匹狼2017年春夏狼文化大秀上演。这是七匹狼继2015年作为首个被米兰时装周官方邀请走秀的中国男装品牌登上米兰时装周之后，再次登上这个时尚领域的顶尖盛事。 
浪莎,浪莎集团,浪莎集团成立于1995年，是现今唯一同时拥有“中国驰名商标”、“中国名牌产品”、“国家免检产品”的企业。且在内衣企业当中，是唯一的“行业标志性产品”和“中国内衣第一股”企业。现旗下已拥有蓝枫袜业、宏光针织、立芙纺织、浪莎房地产等七家分公司、十五个销售公司；四川浪莎、安徽浪莎两家子公司及五个海外贸易公司，成为行业的第一大品牌厂家，在业界素有独占鳌头的“两个首家”、引以为傲的“四个最”、“十个第一”。 
三枪,三枪拍案惊奇,《三枪拍案惊奇》是2009年张艺谋执导的一部喜剧电影，根据1985年科恩兄弟执导的电影《血迷宫》改编而成 。孙红雷、小沈阳、闫妮等联合主演。该片将喜剧和惊悚悬疑两种截然不同的风格进行混搭和融合，创造出一种新风格 ，于2009年12月10日在中国内地上映 。该片讲述了，为人阴险吝啬的面馆老板王五麻子，发现了妻子与伙计李四有了私情。老板与张三密谋买凶杀人，由此引发一场令人啼笑皆非的血案 。
恒源祥,恒源祥,恒源祥，首个以企业身份主办有“体坛奥斯卡”之称的“劳伦斯世界体育奖颁奖盛典”的中华老字号品牌企业，同时也是中国奥委会合作伙伴、赞助商。 2014年6月9日，劳伦斯学会主席埃德温·摩西正式宣布恒源祥集团成为2015劳伦斯世界体育奖主办方；2015年4月15日，劳伦斯颁奖盛典在上海大剧院盛大开幕，千余名体育界、文娱明星出席盛典。盛典当晚，恒源祥与奔驰、万国表等品牌成为了焦点，百年老字号攀上了品牌事业发展的新高峰。 
莫代尔,莫代尔,莫代尔纤维是一种纤维素纤维，与人棉一样同属纤维素纤维，是纯正的人造纤维。由产自欧洲的灌木林制成木质浆液后经过专门的纺丝工艺制作而成，莫代尔产品因为它本身具有的很好的柔软性和优良的吸湿性但其织物挺括性差的特点，现在大多用在内衣的生产。莫代尔在机织物的织造过程中也可体现其可织性，也可以和其它纤维的纱进行交织，从而织成各种各样的织物。莫代尔产品在现代服装服饰上有着广阔的发展前景。
猫人,猫人,猫人（Catman）是美国DC漫画旗下超级反派，初次登场于《侦探漫画》（DetectiveComics）第311期（1963年1月）。本名托马斯·里斯·布莱克（ThomasReeseBlake），是一个信奉弱肉强食丛林法则的凶猛战士，也是现存最伟大的猎人和追踪者之一。他能够追踪和识别气味，隐匿自身行踪且行动敏捷。十分擅长使用刀类武器像刀子或那些特制刀片（他所持有的爪子）。 
MiiOW,miiow,上海美敖时装有限公司隶属于猫人集团，由中法韩合作，集结了欧洲时尚脉动和亚洲顶尖力量，将动感生活&时尚牛仔文化融合，进军时尚运动、时尚休闲市场。倡导性感主旋律，以全方位品牌营销，引领时尚最新潮流。
南极人,南极人,南极人，成立于1997年是中国最早成立的内衣企业之一，首创保暖内衣产品，开创了中国内衣行业发展的新道路。历经18年的成长蜕变，南极人已经在内衣、母婴、服装、床品&布艺、厨品、鞋品、服饰配件、户外、家电等9大品类的55大类目产品线中取得突出的成绩，签约国民好媳妇海清，共同为国人带来“全品类消费品王国”，努力打造让用户尖叫的产品，创造极致的用户体验。南极人每年卖出上亿件/套的产品，为几亿人提供舒适、优质的日常生活所需。2014年双十一，南极人取得了单天1.8亿元的销售成绩，是南极人转型互联网企业后，模式创新的最强有力证明。2016年双十一，南极人取得了5.4亿元的销售业绩，再次刷新了历史记录！
芬腾,芬腾,汕头市洪兴(芬腾)制衣有限公司，系中纺协家居服专业委员会副会长单位，始建于1997年，是一家集面料开发、产品设计、生产、销售为一体的大型家居服饰企业。公司现有花园式工业园46000平方米，员工1800人，最先进的家居服专业生产设备1000套，年产量200万套。现有销售网络已覆盖全国各省市，并不断开拓海外市场，产品已出口迪拜，美国。
金三塔,金三塔,金三塔，始创于1926年，以代表嘉兴的三塔为名，意味着绸都嘉兴的真丝最高标准。致力于打造“时尚真丝内衣家居服”新体验，立志成为中国的“维多利亚的秘密”。金三塔品牌中心位于浙江嘉兴，金三塔产品的研发设计遍及意大利、美国、中国香港、上海、北京、广州等地。金三塔是浙江省商务厅颁布的第三批“浙江老字号”
爱慕,爱慕,爱慕集团（以下简称“爱慕”）是专业从事高品质 贴身服饰及其用品的品牌运营商。总部位于北京市朝阳区，是国家高新技术企业，爱慕品牌创建于1993年，2016年零售额突破40亿元。
Aimer,aimer,Aimer，日本女歌手，在2011年9月7日以单曲「六等星の夜/悲しみはオーロラに/TWINKLETWINKLELITTLESTAR」正式出道，隶属唱片公司是日本索尼音乐娱乐旗下的DefSTARRecords，2015年9月移籍到SMERecords。代表曲有「六等星の夜」「あなたに出会わなければ~夏雪冬花~」、「RE:IAM」「ポラリス」「StarRingChild」「ninelie」「BraveShine」「LASTSTARDUST」等。
古今,古今,古今，古代和现今。
