百图,百图,betu（百图）时装是香港上市公司同得仕集团属下的机构之一，该集团于一九八九年一月正式拓展中国的零售业务——在中国上海开设第一间专卖店。
茵曼,茵曼,茵曼（INMAN），广州市汇美服装有限公司旗下棉麻生活品牌，由董事长方建华于2008年创立，凭借以“棉麻艺术家”为定位的原创设计享誉互联网，是中国成长最快、最具代表性的网络服饰零售品牌。茵曼主张“素雅而简洁，个性而不张扬”的服装设计风格，推崇原生态主题下亲近自然、回归自然的健康舒适生活，追求天人合一的衣着境界，致力于成为【属于世界的中国棉麻生活品牌】。2013年双十一女装品牌全网销量第一。茵曼不只是销售服装，更多是为女性消费者提供环保、原生态的棉麻生活体验，回归现代都市自然“慢生活”。茵曼传承了母公司设计、运营、零售、服务于一体的轻型服装零售品牌企业优势，自诞生以来，以其“素雅而简洁个性而不张扬”的品牌形象风格成名互联网，成为电子商务女装领域，成长表现最为出色的女性服饰零售品牌之一。先后获得2011年全球十佳网商30强品牌、连续三年位居天猫商城女装品牌TOP5、淘品牌女装Top3、淘宝第一原创棉麻女装品牌等殊荣。“茵曼·棉麻艺术家”注重品牌内涵品质与消费者的体验的塑造，茵曼品牌服饰均选用最优质、健康、自然、舒适的棉和麻作为面料；服饰品设计取材来自江南水乡、国画、水墨、印花等中国传统文化精髓为元素，让消费群体切身体验与世无争脱离都市喧哗，倡导自然“慢生活”的品牌主张。
哥弟,哥弟,哥弟（GIRDEAR），中国台湾服装品牌名称，创立于1977年。
三彩,三彩,三彩陶器始于南北朝，兴于初唐，故称唐三彩。三彩器，有黄地三彩、绿地三彩、紫地三彩、墨地三彩、酱白地三彩、虎皮三彩。还有釉下三彩，即由青花、釉里红和豆青三种釉下的色彩组成，它是康熙时期一种特殊品种。
洛诗琳,洛诗琳,洛诗琳是由深圳市茜瑞服饰有限公司创造的女装服饰品牌之一，旨在为独立、内敛、聪慧都市女性提供全系列时装。
LUXLEAD,luxlead,LUXLEAD是法国著名设计师LouisAustin创立的高端女装品牌。人群定位于25—40岁之间追求时尚、潮流的现代都市丽人。
梵希蔓,梵希蔓,“梵希蔓”是广州市希蔓服装有限公司旗下全资拥有的时尚女装品牌；现专注于电子商务的发展，“梵希蔓”传承了希蔓服装有限公司的设计、运营、零售、服务于一体的女装零售品牌企业优势，自诞生以来，以其“让女人更有味道”品牌形象风格独树一帜，成为深受都市女性喜爱且消费得起的品牌服装，也是电子商务女装领域，成长表现最为出色的女性服饰品牌之一。2011年进驻电商领域，2012年“梵希蔓”赢来首个双11，单日销售额刷新品牌历史记录，突破580万创造品牌历史上的奇迹，呢子大衣位居天猫女装类榜首，一举跃升为天猫商城品牌女装类目TOP100强以内，现稳定在天猫女装TOP50-60名之间。
秋水伊人,秋水伊人,秋水伊人女装是由浙江印象实业股份有限公司旗下的主打品牌。“蒹葭苍苍，白露为霜。所谓伊人，在水一方”，这句来自《诗经》的优美诗句，描述人们对美好爱情的执著追求、但又可望不可及的惆怅心情，演绎到现代的“秋水伊人”女性，就是一群知性，追求浪漫，对新事物持保守态度但同时易受媒体影响而关注时尚的都市女性，秋水伊人品牌就是定位于这样一群都市女性，设计师通过优雅、浪漫的设计表达手法，充分演绎目标消费群体的时尚经典而又精致优雅的淑女着衣风格！
初棉,初棉,初棉 是常州棉先生贸易有限公司旗下品牌，该品牌于2013年05月20日 在国家商标总局注册成功。初棉 ，与棉先生、棉叔叔同为江苏棉仓旗下品牌，中国知名原创设计女装品牌，日式的自然、简素、品质感构成了初棉品牌的总基调。初棉旨在传递简朴却兼具品质感的生活方式，致力于引领都市女性沉静下来，感受生活的美意。
MO&Co.,MO&Co.,MO&Co.于2004年诞生，一直以来以旗帜鲜明的创新理念、独特个性的设计与裁剪迅速成为了备受瞩目的主流时尚品牌。擅长以天然的材质、内敛的裁剪和独特的细节演绎型格又略带女人味的摩登法式风格，贯穿怀旧和当代，以充满激情的创造力将艺术和时装联系在一起，于视觉艺术、立体结构主义中寻找一切创作灵感。全线产品物流从服装皮草到配饰都十分丰富与多元化，为追求完美又童心未泯的大都会女性提供了混搭的实验乐趣。
颜域,颜域,字叔坚，泉州永春人，少受学于傅伯寿。淳熙七年（1180年）领乡荐，入太学。淳熙十二年（1185年）上舍优释褐，为温州判官。召除国子监正给礼，与吴猎、项安世并命，时号“三隽”。
森宿,森宿,《森宿》是戴云权发表在起点中文网连载网站的小说。
阿依莲,阿依莲,阿依莲（Ayilian）是一家集设计、生产、销售于一体的广州专业化服装公司创立的女装品牌，该品牌创立于1999年，代表都市时尚品位，由徐熙媛（大S）形象代言。阿依莲，以其独特的设计风格，简洁流畅的线条，亮丽素雅的色彩，配以精致的剪裁、优雅及时尚的款式，融汇东西方文化之精华，演绎现代都市时尚女性典雅与自信，深受全国各地年轻消费者所喜爱。”阿依莲适合于广大初中，高中生以及30岁以下的女性朋友。
歌莉娅,歌莉娅,歌莉娅，一个品牌。歌莉娅品牌标志使用椭圆作为辅助图形，象征视野聚焦。聚焦所有的可能性，以此体现出不一样的世界和观点。歌莉娅，率先将环球旅行与时尚相结合的中国女性服饰品牌，多年来一直坚持环球发现时尚灵感，成就都会精致女性。 在持续超过十年、历经二十多个国家的环球旅程中，歌莉娅将不断发现时尚灵感运用到设计当中，为女性消费者提供精致优雅的时尚着装。 
GLORIA,gloria,《Gloria》是韩国MBC于2010年8月1日播出的周末连续剧，由金民植、金庆熙执导，郑智友编剧，裴斗娜、李天熙、徐智锡、苏怡贤等主演 。该剧主要以夜总会为背景，讲述了女主人公30多岁仍为梦想奋斗，最终实现了歌手梦想的故事 。
IEF,国际数字娱乐嘉年华,国际数字娱乐嘉年华（InternationalE-CultureFestival ，IEF）是全球首个由多个国家政府共同发起的、跨国界的数字娱乐盛会，是全球唯一的数字娱乐与数字体育综合赛事品牌。2017年，IEF迎来全面升级，将打造全球电竞界的”世俱杯“，全面接轨国际，并大幅提升赛事规模、赛事奖金和参赛选手含金量。 设置《英雄联盟》、《炉石传说》、《守望先锋》、《魔兽争霸3》、《FIFAOnline3》和《街头霸王5》六大比赛项目 ，共48支顶级战队、选手参赛。 
UR,UR,UR是URBANREVIVO的简称，系隶属于URLIMITED（开曼）及URHKLIMITED（香港）集团旗下的快时尚品牌，中国区的品牌运营通过集团子公司快尚时装（广州）有限公司进行负责。
lagogo,lagogo,Lagogo和当当合作后，凭借其自身的个性化设计以及当当的平台优势。取得了很好的销量的同时也扩大了Lagogo的知名度与品牌认知力
美特斯邦威,美特斯·邦威,“美特斯·邦威”是美特斯邦威集团自主创立的本土休闲服品牌。美特斯邦威集团公司于1995年创建于中国浙江省温州市，主要研发、生产、销售美特斯·邦威品牌休闲系列服饰。品牌名称凝聚了集团创始人周成建先生永不忘却的民族品牌情节和对于服饰文化的情有独钟。在社会各界及广大消费者的关心与支持下，美特斯邦威集团迅速发展壮大。
