暴龙,霸王龙,霸王龙即雷克斯暴龙（TyrannosaurusRex），生存于白垩纪末期的马斯特里赫特阶(MAA)距今约6850万年到6500万年的白垩纪最末期，是白垩纪-第三纪灭绝事件前最后的非鸟类的恐龙种类之一。化石分布于北美洲的美国与加拿大，是最晚灭绝的恐龙之一。霸王龙属暴龙科中体型最大的一种。体长约11.5-14.7米。平均臀部高度约4米。最高臀高可达到5.2米左右，头高最高近6米。平均体重约9吨，(生态平均约7.6吨)，最重14.85吨，头部长度最大约1.55米。咬合力一般9万牛顿—12万牛顿，嘴巴末端最大可达20万牛顿左右，同时也是体型最为粗壮的食肉恐龙。霸王龙的属名在古希腊文中意为「残暴的蜥蜴王」，种名在拉丁文中意为国王。有些科学家认为亚洲的勇士特暴龙（Tarbosaurusbataar）是暴龙超科的第一个有效种，而其他科学家则认为特暴龙是独立的属。除此之外还有许多暴龙科的种已被提出，但它们多被认为是暴龙的异名，或被分类于其他属。
BOLON,bolon,BOLON眼镜，创立于2003年，是隶属法国依视路集团旗下眼镜品牌。2015年，BOLON品牌邀请“法国男人永远的挚爱”“法兰西玫瑰”—苏菲·玛索为品牌代言人。苏菲·玛索举手投足间由内散发优雅气质，为BOLON带来一场风情巴黎的感官盛宴 。2016年，BOLON品牌全新锐变升级，诚邀国际巨星安妮·海瑟薇为品牌代言人 ，明确“摩登”、“优雅”的品牌调性，令品牌更加国际化、时尚化、年轻化。
MLB,美国职业棒球大联盟,美国职棒大联盟（MajorLeagueBaseball，简称MLB），是北美地区最高水平的职业棒球联赛。1903年由国家联盟和美国联盟共同成立，是美国四大职业体育联盟之一。
雷朋,雷朋,雷朋英文叫Ray-Ban，Ray为眩光，Ban即阻挡，阻挡眩目之光芒便是太阳镜的本质。雷朋为美国空军生产出了有倾斜反光镜面的太阳镜，给使用者提供了最大的视力保护。其实长期以来，雷朋就是遮挡强光的太阳眼镜的代名词。雷朋太阳镜的诞生源于美国一位空军中尉的苦恼。1923年，这位中尉驾驶小型飞机横渡大西洋时，深深感到强烈日光带来的困扰，回到基地后，甚至有恶心、头痛、目眩的不良反应。基于此，在1930年博士伦公司研制出了能吸收最多的日光，发散最少的热能，保持良好清晰视力的雷朋太阳镜。雷朋太阳镜除了有良好的防护功能，设计者将其外形款式的设计更凸显粗犷英武的军人气质。
金利来,金利来,金利来品牌起源于中国香港，由著名的爱国人士、慈善家曾宪梓博士创立，其系列产品（及经营权使用商品）包括男士商务正装、休闲服饰、内衣、毛衣、皮具、皮鞋等服装、服饰产品。
帕森,帕森,帕森（英文注册名PARZIN）是上海迪眸实业有限公司旗下主打眼镜品牌，品牌成立于2008年。品牌追求卓越品质，致力于充满感官性的美和简约自然设计，在生活与艺术中寻找设计灵感，打造最适合人体工学的太阳镜。倡导优雅、自信、自由的生活方式，传递真爱、平衡、幸福的价值主张，帕森(PARZIN)正引领新一轮的眼镜文化，具有鲜明的原创优雅之风，为都市男女量身定制属于他们的时尚潮流。 
海伦凯勒,海伦·凯勒,海伦·凯勒（HelenKeller，1880年6月27日－1968年6月1日），美国著名的女作家、教育家、慈善家、社会活动家。在十九个月时因患急性胃充血、脑充血而被夺去视力和听力。1887年与莎莉文老师相遇。1899年6月考入哈佛大学拉德克利夫女子学院。1968年6月1日逝世，享年87岁，却有86年生活在无光、无声的世界里。在此时间里，她先后完成了14本著作。其中最著名的有：《假如给我三天光明》《我的人生故事》《石墙故事》。她致力于为残疾人造福，建立了许多慈善机构，1964年荣获“总统自由勋章”，次年入选美国《时代周刊》评选的“二十世纪美国十大偶像”之一。
HELEN KELLER,海伦·凯勒,海伦·凯勒（HelenKeller，1880年6月27日－1968年6月1日），美国著名的女作家、教育家、慈善家、社会活动家。在十九个月时因患急性胃充血、脑充血而被夺去视力和听力。1887年与莎莉文老师相遇。1899年6月考入哈佛大学拉德克利夫女子学院。1968年6月1日逝世，享年87岁，却有86年生活在无光、无声的世界里。在此时间里，她先后完成了14本著作。其中最著名的有：《假如给我三天光明》《我的人生故事》《石墙故事》。她致力于为残疾人造福，建立了许多慈善机构，1964年荣获“总统自由勋章”，次年入选美国《时代周刊》评选的“二十世纪美国十大偶像”之一。
威古氏,威古氏,威古氏（英文名：VEGOOS）是杭州九景旗下的偏光太阳镜品牌，一直专注于打造专业男女偏光太阳镜、偏光驾驶镜品牌。产品以时尚、简约、大方、奢华著称，彰显个性却不屈从于潮流；追求经典而又不落后于潮流。
七匹狼,福建七匹狼实业股份有限公司,七匹狼品牌创立于1990年，是中国男装行业开创性品牌。2000年推出格子茄克，成为红遍大江南北的“茄克之王”，并在此后连续16年中国茄克市场占有率第一。 2004年七匹狼实业股份有限公司作为中国服装业首家公司上市（股票代码：002029）。作为BrandZ最具价值中国品牌一百强，七匹狼在行业内率先系统提出“男人不只一面”的服装品牌文化经营理论，形成了以品牌为核心、以生活形态产业为主导的现代企业经营体系。 在立足于对博大精深的中华传统文化积极挖掘的同时，七匹狼将西方流行时尚元素融于自身设计理念，并致力于推动中国传统文化与现代时尚创意产业的契合。“男人不只一面”，七匹狼以“品格男装”突显国际化品质和中西兼容的文化格调，以时尚传承经典，以中国面向世界。2016年6月20日，米兰富有历史与盛名的圣巴拿巴回廊内，七匹狼2017年春夏狼文化大秀上演。这是七匹狼继2015年作为首个被米兰时装周官方邀请走秀的中国男装品牌登上米兰时装周之后，再次登上这个时尚领域的顶尖盛事。 
