亿健,亿健,亿健品牌成立于2005年，是浙江顶康科技有限公司旗下著名的跑步机品牌。入市仅十几载，在国内外已声名鹊起，连续多年蝉联淘宝跑步机全国销量第一品牌，也是消费者满意度最高品牌！浙江顶康科技有限公司是一家专注于健身产品的制造企业。目前主要生产豪华家用、商用电动跑步机，位于久负盛名的“中国五金城”之浙江永康。公司依托于美国技术和中国网络名牌的优势，“专业专心专注”生产家用商用豪华跑步机及健康产品，产品通过了欧盟CE.RHOS，德国TUV.GS.SGS认证，ISO9001：2000质量体系认证，是一家专注于健身产品的制造企业，唯一一家连续多年被国家体育用品检测中心抽检合格企业。
DDS,dds,DDS是直接数字式频率合成器（DirectDigitalSynthesizer）的英文缩写，是一项关键的数字化技术。与传统的频率合成器相比，DDS具有低成本、低功耗、高分辨率和快速转换时间等优点，广泛使用在电信与电子仪器领域，是实现设备全数字化的一个关键技术。DDS也是药物传递系统的意思。DDS在化学里是一种良好的固化剂，全称为：44’二氨基二苯砜
凯速,凯速,凯速是一个网站，创立于2009年，于2011年获得上海巨融集团数千万元的投资，于2011年8月18号进驻浦东张江软件园，正式被立项为受政府支持的高科技创业项目。
锐步,REEBOK,REEBOK是来自美国的健身品牌，致力于成为健身爱好者心目中的一流健身品牌。 公司总部位于马萨诸塞州坎顿市，在全球范围内以Reebok、Rockport、CCM、JOFA、KOHO和GregNorman等品牌设计、销售和分销运动鞋、健身鞋、休闲鞋、运动服装和设备，并以PoloRalphLauren品牌设计、销售和分销鞋类产品。
Reebok,REEBOK,REEBOK是来自美国的健身品牌，致力于成为健身爱好者心目中的一流健身品牌。 公司总部位于马萨诸塞州坎顿市，在全球范围内以Reebok、Rockport、CCM、JOFA、KOHO和GregNorman等品牌设计、销售和分销运动鞋、健身鞋、休闲鞋、运动服装和设备，并以PoloRalphLauren品牌设计、销售和分销鞋类产品。
爱康,Ikon group,中文音译名称：爱康金融集团英文上市名称：IKONGroup英文Logo全称：IKONGroupFinancialProductsOnlineIKONGroup是全球最大的外汇、贵金属、证券、期货、现货交易商之一，于1995年在美国纽约华尔街成立，由数家IKON公司组成，提供各种金融服务、技术支持以及在世界范围内推广IKON公司和旗下具有先进技术和卓越稳定性的金融产品。
ICON,ICON,icon是一种图标格式，用于系统图标、软件图标等，这种图标扩展名为*.icon、*.ico。常见的软件或windows桌面上的那些图标一般都是ICON格式的。icon元素包括两个可选的子元素：small-icon子元素和large-icon子元素。文件名是Web应用归档文件(WAR)的根的相对路径。部署描述符并没有使用icon元素。但是，如果使用XML工具编辑部署描述符，XML编辑器可以使用icon元素。图标是特殊类型的小位图，最大尺寸为32×32像素。 
斯诺德,斯诺德,斯诺德是2015年06月19日注册的商标。
李宁,李宁,李宁，壮族，男，生于1963年3月10日，奥运冠军，原中国著名体操队运动员，家乡广西壮族自治区来宾市兴宾区南泗乡人，祖籍广东省佛山市顺德区，曾祖父辈迁至广西谋生， 中国著名男子体操运动员。李宁毕业于北京大学法学院，获得法学士学位及北京大学光华管理学院EMBA。他创造了世界体操史上的神话，先后摘取十四项世界冠军，赢得一百多枚金牌。1982年12月22日，李宁在南斯拉夫萨格勒布举行的第6届世界杯体操比赛中，李宁一人夺得男子全部7枚金牌中的6枚，获单杠、自由体操、跳马、鞍马、吊环和全能6项冠军，创造了世界体操史上的神话，被誉为“体操王子”。1984年获第23届洛杉矶奥运会男子体操单项比赛中夺得男子自由体操、鞍马和吊环3项冠军，一举夺得三金两银一铜，接近中国代表团奖牌总数的1/5，成为该届奥运会中获奖牌最多的运动员。1988年退役后，李宁以其姓名命名创立了“李宁”运动品牌。运动品牌涉足广泛，从生产运动服装、运动鞋到生产篮球、足球等。
LI-NING,LI-NING,LI－NING（李宁），整体设计由汉语拼音"LI"和"NING"的第一个大写字母"L"和"N"的变形构成主色调为红色造型生动、细腻、美观，富于动感和现代意味，充分体现了体育品牌所蕴涵的活力和进取精神。
舒华,舒华,北京师范大学教授、博士生导师，中国心理学会认定的首批心理学家。现任中国心理学会常务理事，《ReadingResearchQuarterly》、《JournalofCognitiveScience》编委和《心理学报》副主编。曾任北京师范大学心理学系主任、应用实验心理北京市重点实验室主任。主要综合横断和追踪研究途径，运用行为、脑电、脑成像、基因技术，探讨言语知觉加工的脑机制、儿童语言和阅读发展轨迹及遗传和环境的影响、以及阅读障碍的认知神经机制和早期预测指标。 
优步,Uber,Uber（UberTechnologiesInc.）中文译作“优步”，是一家美国硅谷的科技公司。Uber在2009年，由加利福尼亚大学洛杉矶分校辍学生特拉维斯·卡兰尼克和好友加雷特·坎普创立。因旗下同名打车APP而名声大噪。Uber目前已经进入中国大陆的60余座城市，并在全球范围内覆盖了70多个国家的400余座城市 。2016年11月27日，旧版本优步App将全面停止在中国提供服务，全面进入中国市场不足三年的Uber中国正式告别。 12月14日，专车公司Uber已经准备好数十辆自动驾驶汽车，准备利用汽车在匹兹堡为用户提供服务。 2016年12月22日，Uber已经证实，将停止在旧金山的自动驾驶汽车试点。 2017年12月21日，Uber宣布，Orbitz前CEO巴尼·哈福德将于1月2日加入该公司，担任首席运营官。 2018年3月2日，Uber公司推出一项新服务——UberHealth，该服务允许医院和医生为病人预订乘车设施。 当地时间2018年3月18日晚上，美国亚利桑那州一名女子被优步自动驾驶汽车撞伤，之后不幸身亡。这是全球首例自动驾驶车辆致人死亡的事故。 
阿迪达斯,adidas,adidas（阿迪达斯）创办于1949年，是德国运动用品制造商阿迪达斯AG成员公司。以其创办人阿道夫·阿迪·达斯勒（AdolfAdiDassler）命名，1920年在黑措根奥拉赫开始生产鞋类产品。1949年8月18日以adidasAG名字登记。阿迪达斯原本由两兄弟共同开设，在分道扬镳后，阿道夫的哥哥鲁道夫·达斯勒（RudolfDassler）开设了运动品牌puma。其经典广告语：“没有不可能”（Impossibleisnothing）。2011年3月，斥资1.6亿欧元启用全新口号——adidasisallin（全倾全力）。2017年6月，adidas入选《麻省理工科技评论》2017年度全球50大最聪明公司”榜单。 
adidas,adidas,adidas（阿迪达斯）创办于1949年，是德国运动用品制造商阿迪达斯AG成员公司。以其创办人阿道夫·阿迪·达斯勒（AdolfAdiDassler）命名，1920年在黑措根奥拉赫开始生产鞋类产品。1949年8月18日以adidasAG名字登记。阿迪达斯原本由两兄弟共同开设，在分道扬镳后，阿道夫的哥哥鲁道夫·达斯勒（RudolfDassler）开设了运动品牌puma。其经典广告语：“没有不可能”（Impossibleisnothing）。2011年3月，斥资1.6亿欧元启用全新口号——adidasisallin（全倾全力）。2017年6月，adidas入选《麻省理工科技评论》2017年度全球50大最聪明公司”榜单。 
双牌,双牌县,双牌县，故称泷泊，1969年析零陵、道县、宁远县三地山区建立，为湖南省永州市所管辖的一个县。双牌县位于湖南省南部，地处潇水中游，207国道、永连公路和二广高速公路贯穿南北。双牌县森林覆盖率在80%以上，是全国重点林区县。双牌旅游资源丰富，是湖南省旅游强县。阳明山国家森林公园和双牌水库大坝均位于双牌县境内。 
Keep,keep,Keep为“AppStore年度精选应用”，致力于提供健身教学、跑步、骑行、交友及健身饮食指导、装备购买等一站式运动解决方案。 从2015年2月上线至今，Keep已经影响了超过1亿人的运动习惯。 该产品已在各大平台上线，用户可在AppStore及Android渠道下载。在互联网时代，健身运动文化正在觉醒，应该有更专业的工具，更纯粹的社区，让好身材来得更容易些。Keep专注移动体育领域的应用开发，倡导开放共享的精神，不模仿，不跟风，只做酷的产品。 
蓝堡,蓝堡,蓝堡（pooboo）专注用户体验，倡导自在健身、自由运动，蓝堡（杭州浙高科技有限公司）是全球十大家用健身器材品牌之一，集研发，生产，销售，售后服务于一体。
海德,卢瑟·海德,卢瑟·海德（LutherHead），1982年11月26日出生于美国伊利诺伊州芝加哥，美国职业篮球运动员，司职得分后卫，现为自由球员。卢瑟·海德出生于芝加哥，大学时效力于伊利诺伊大学，2005年NBA选秀时以第一轮第24顺位被休斯敦火箭队选中。在他的新秀赛季，由于火箭队主将特雷西·麦克格雷迪、姚明和鲍勃·苏拉等人长期受伤病困扰，海德获得了稳定的上场时间。
易跑,易跑,易跑 是杭州易跑健康科技有限公司旗下的跑步机品牌，该品牌于2010年正式创立 。
军霞,军霞,军霞 ，徐州军霞健身器材有限公司 注册的商标。
HARISON,HARISON,HARISON，是创建于1996年的美国健身器材品牌。 
伊吉康,伊吉康,深圳市伊吉康科技有限公司成立于2009年，是一家集投资、研发、制造、销售、服务于一体覆盖全球销售的健身器械企业，将专业、科技、品质作为品牌核心价值，产品包含家用健身器材、商用健身器材及其周边产品。旗下产品登陆了天猫、京东、亚马逊、苏宁、国美等各大网络销售平台，拥有全国数百家地面代理商。湖南卫视，浙江卫视，南方卫视，深圳卫视，腾讯网，网易，搜狐，《环球企业家》杂志等媒体对伊吉康作出过报道，同时伊吉康荣获腾讯游戏合作伙伴、消费者最喜爱的品牌、拍拍网最佳合作伙伴、电商户外运动十佳店铺奖、中国最具价值体育品牌等荣誉。2017年，伊吉康荣获CCTV《发现品牌》授予的健身器材销售行业优选品牌称号，并成为阿里智能的合作伙伴，共同开发全球首款阿里智能动感单车。
锐思,锐思,锐思，拼音是ruìsī，汉语词语，释义是用心专一或敏锐的思想。
