李宁,李宁,李宁，壮族，男，生于1963年3月10日，奥运冠军，原中国著名体操队运动员，家乡广西壮族自治区来宾市兴宾区南泗乡人，祖籍广东省佛山市顺德区，曾祖父辈迁至广西谋生， 中国著名男子体操运动员。李宁毕业于北京大学法学院，获得法学士学位及北京大学光华管理学院EMBA。他创造了世界体操史上的神话，先后摘取十四项世界冠军，赢得一百多枚金牌。1982年12月22日，李宁在南斯拉夫萨格勒布举行的第6届世界杯体操比赛中，李宁一人夺得男子全部7枚金牌中的6枚，获单杠、自由体操、跳马、鞍马、吊环和全能6项冠军，创造了世界体操史上的神话，被誉为“体操王子”。1984年获第23届洛杉矶奥运会男子体操单项比赛中夺得男子自由体操、鞍马和吊环3项冠军，一举夺得三金两银一铜，接近中国代表团奖牌总数的1/5，成为该届奥运会中获奖牌最多的运动员。1988年退役后，李宁以其姓名命名创立了“李宁”运动品牌。运动品牌涉足广泛，从生产运动服装、运动鞋到生产篮球、足球等。
LI-NING,LI-NING,LI－NING（李宁），整体设计由汉语拼音"LI"和"NING"的第一个大写字母"L"和"N"的变形构成主色调为红色造型生动、细腻、美观，富于动感和现代意味，充分体现了体育品牌所蕴涵的活力和进取精神。
speedo,SPEEDO,速比涛(Speedo)是世界著名的泳衣制造商SPEEDO公司的运动品牌。速比涛(Speedo)来自澳大利亚，创立于1928年。2018年，Speedo陪伴泳者们游过了90年。 Speedo的产品分4大类：包括有助去水的比赛泳衣，如鲨鱼衣的“竞速夺标系列”、超耐用泳衣的“练水专用系列”、童装泳衣“小童游泳入门系列”和沙滩裤“时尚休闲系列”。
arena,ARENA,阿瑞娜诞生于1973年，是以将泳装本身作为武器的水上运动为起源的现代运动休闲品牌。在争夺百分之一秒的竞技世界中，不断开发新产品，给予运动员精神与体力的全方位支持，拓展了人类挑战极限的可能性。阿瑞娜将经过不断锤炼孕育而成的技术与经验逐步应用到日常生活中，其作为综合性运动休闲品牌的魅力也日渐展现开来。
范德安,范德安,范德安范德安，1941年生于北京。现为石景山区书协主席、中国书法家协会会员。其书法融汇真、草、隶、篆、行诸体，兼攻篆刻。《五体名言集》是他继出版《柳体楷书古诗规范字帖》、《隶书古诗字帖》之后的又一部力作。
英发,英发,英发，汉语词汇。拼音：yīngfā释义：姿态，焕然一新精神饱满。
洲克,洲克,“ZOKE”洲克品牌定位为生活型的运动品牌，讲究情趣、追求健康时尚。洲克（ZOKE）创立于1996年产品除了传统泳衣和瑜伽外，还涵盖舞蹈服、运动干爽内衣等领域。今年，ZOKE洲克更是重磅出击，新推沙滩服、航海服等系列，让人眼前一亮。
拓胜,拓胜,拓胜（TOSWIM）是目前国内专业的“国际知名游泳品牌供应商”，专注国际知名游泳品牌的引进与推广，专注高端游泳用品的研发与设计，为游泳爱好者提供高品质的游泳用品，倡导健康便捷和有乐趣的游泳体验，让千万游泳爱好者感受更愉悦的游泳过程。 
TOSWIM,拓胜,拓胜（TOSWIM）是目前国内专业的“国际知名游泳品牌供应商”，专注国际知名游泳品牌的引进与推广，专注高端游泳用品的研发与设计，为游泳爱好者提供高品质的游泳用品，倡导健康便捷和有乐趣的游泳体验，让千万游泳爱好者感受更愉悦的游泳过程。 
浩沙,浩沙,浩沙公司始于20世纪80年代，自成立之初起，一直专注于室内运动市场，并成功地发展成为中国最大的室内运动品牌。无论在室内运动服饰或是健身服务机构领域，都处于领先地位。自2008年起，浩沙连续成为为室内运动服饰和健身服务行业唯一进入世界品牌实验室评测的中国500最具价值品牌榜的企业，2012年，浩沙品牌价值评估为21.18亿。
