中保,中保,犹太教和基督宗教对摩西的称谓，以及基督宗教对耶稣基督的称谓。“中保”从希伯来语词源上看是中间人的意思，在甲乙双方之间，对甲方代表乙方，对乙方代表甲方；宗教上的内涵是在上帝面前代表人，在人面前代表上帝；因此，摩西被称为旧约（基督宗教）——希伯来圣约（犹太教）——的中保，而新约要求的唯一中保必须既完全是上帝、又完全是人，即只能是耶稣基督。
国光,国光,国光，是国家农药生产企业，成立于1984年，经过20年的发展历程，今天已成为中国十大名牌农药企业，四川省高新技术企业，四川省农药工业协会副理事长单位，四川省著名商标的全国知名农化企业，靠的是企业一开始就把“做质量、做诚信、做品牌、做特色、做服务、做百年”作为企业经营理念，坚信企业竞争的关键是质量、品牌和企业文化，在企业整个经营过程中，国光始终把“走诚信路、做百年厂、祥和似家”作为制定政策和行动的指南，未来农药竞争，只有品牌才能取胜。国光十分重视品牌在农民心中的建立，并将“把质量和品牌建在用户心中”落实到公司各项工作中加以执行，企业的定位是使国光成为一个有特色、专而强的小巨人。
月娥,月娥,月娥，明朝烈女，西域人，元武昌尹职马禄丁女。
苏茂,苏茂,苏茂，男，1966年10月8日出生于北京，原中央芭蕾舞团演员。出演多部作品，如《敌营十八年》、《追根究底》、《案发现场》、《还珠格格》、《新西游记》、《风流才子唐伯虎》、《七品钦差刘罗锅》、《大汉天子》、《天不藏奸》、《神雕侠侣》、《碧血剑》、《天外飞仙》、《倚天屠龙记》、《新封神榜之凤鸣岐山》。在电视剧《女人本色》中担任男一号，与陶红饰演的成在信夫妻档配甚为精彩，在各卫视热播的电视剧《天不藏奸》中，苏茂饰演的男一号警察周雄，更是走进了千家万户。深圳电视台邀请苏茂在打造本土商战型题材电视剧《城市激情》中饰演男一号。
燃烬,燃烬,《燃烬》是连载于连城读书的小说作品，作者是从刀三百里。
快活林,快活林,《快活林》是由张彻与鲍学礼联合导演的一部动作、剧情片，狄龙、朱牧主演。故事讲述武松（狄龙）杀死潘金莲及西门庆后，被判发配孟州牢营。 
森活,森活,森活是中国一美容营养食品品牌，森活代表着纤盈（Slim）、活力(Energy)、营养(Nutrition)。
美时,美时,美时是一款社交通讯类手机软件，帮助用户记录精彩时光，美好分享朋友。
傲杀,傲杀,《傲杀》是连载于17k小说网的东方玄幻类小说，作者是傲世狂龙。
桂湖,桂湖,桂湖是一座位于中国四川省成都市北部的新都区境内的园林，是四川园林中川西园林的代表作之一。详细资料请见词条：升庵桂湖
施奇,施奇,施奇（1922年-1942年），坚贞圣洁崇高的“丹娘”，浙江平湖人。淞沪抗战爆发后，她参加了中国共产党的外围组织中国红十字会煤业救护队，奔赴抗日前线抢救伤员。1938年8月，在皖南泾县参加新四军，被编入军部教导队学习，任班长，并光荣地加入了中国共产党。学习结业后，被分配到军部速记班，随后被调到军部机要科，并担任江北大组的组长。
雪沫,雪沫,雪沫是游戏《Mabinogi:Heroes》中的一个休闲工会，创建时间是2011年6月28日。
AC,AC,AC，Ac，ac，A.C.或A.C可能指代某个事物的缩写。例如学术（Academic）的缩写，选择公理（Axiomofchoice）的缩写等等，在不同的情况下表示不同的意义。
花间辞,花间辞,《花间辞》是流浪的蛙蛙（张佳辰）跟贰婶合作的一首歌。是记叙游戏剑侠情缘三中一个叫做万花的门派的歌。万花派人身为医者，救死扶伤。纵使与世隔绝，潇洒不羁，终究牵扯红尘。此歌词古典凄美，歌曲扣人心扉，采用中国风编曲，两位演唱者的倾情演唱让人听后流连忘返，仿佛置身故事其中，是一首不可多得的中国风歌曲。
维罗纳,维罗纳,维罗纳是位于意大利北部的一座历史悠久的城市。位于阿尔卑斯山南麓，临阿迪杰河，威尼斯以西114公里。它是葡萄酒、水果和大理石的集散地；工业以纺织、机械、铁路器材、食品为主。该城市有古代罗马的圆形露天剧场和许多造型精美的教堂。2000年，维罗纳入选为联合国教科文组织的世界遗产。
verona,verona,Verona是一个捷克的顶级舞曲组合，由两人组成，其擅长的音乐风格为舞曲。
