维氏,维氏,维氏（Victorinox）是瑞士的一个军刀品牌。Victorinox中文名维氏军刀1884年1月1日，维氏的始创人卡尔．埃尔森纳先生(Mr.KarlElsener)在瑞士施夫州(Schwyz)伊巴赫(Ibach)开办了他的刀具工场。
VICTORINOX,VICTORINOX,VICTORINOX，维氏，瑞士品牌，创立于1884年。
谭木匠,谭木匠,谭木匠是集梳理用品、饰品于一体的小木制品专业化集团公司，旗下包括重庆谭木匠工艺品有限公司、谭木匠发展有限公司、手工馆、美裕饰品、自强木业、江苏谭木匠旅游发展有限公司等子公司。谭木匠享有较高的市场知名度和社会美誉度。至2013年6月，拥有专利80余项，通过1399家专卖店向国内外300多个大中城市提供热情服务。
京东金融,京东金融,京东金融集团，2013年10月独立运营，定位为服务金融机构的科技公司。已建立起十一大业务板块——企业金融、消费金融、财富管理、支付、众筹众创、保险、证券、农村金融、金融科技、海外事业、城市计算。除了服务金融机构，京东金融也在储备服务非金融企业和城市的技术能力，将为全社会提供更广泛的科技服务。 在数据获取能力方面，京东金融背靠京东集团超过2.4亿的活跃用户，拥有几十万供应商和合作伙伴数据，以及交易数据；同时，通过投资和合作的形式，丰富数据资源。在数据技术能力方面，以大数据为基础，进行学习、人工智能、图像识别、图谱网络、区块链等技术应用；在数据模型产品能力方面，开发出风险量化模型、营销模型以及用户洞察模型等 。京东金融集团通过领先的大数据应用技术，建立起风控体系、支付体系、投研体系、投顾体系以及DaaS（数据即服务）平台、SaaS（软件即服务）平台等一整套金融底层基础设施 。
荣宝斋,荣宝斋,荣宝斋是一家驰名中外的经营文房四宝的老字号店铺，迄今已有三百余年的历史。荣宝斋坐落在北京市和平门外琉璃厂西街，是一座古色古香、雕梁画栋的高大仿古建筑。自1672年北京荣宝斋前身“松竹斋”南纸店的建立至今已有三百余年历史。1894年设立“松竹斋”连号“荣宝斋”，并增设“帖套作”机构，为后来木版水印事业的发展奠定了基础。
唐贝,唐贝,
伟龙,伟龙,浙江伟龙包装科技有限公司成立于2005年，是由公司前身浙江伟龙胶带有限公司和香港汇丰投资有限公司联合出资成立，总投资1.7亿人民币，注册资金1亿人民币，占地100余亩。在2009年公司新增年产3.6万吨无氧铜生产线及有色金属办工项目。该项目为国内一流流水线，2010年产量达1万吨，产值突破5亿人民币，位例义乌百强企业第十五位。
王星记,王星记,杭州是我国制扇名城，自古有“杭州雅扇”之说，南宋以来有不少制扇艺人会集杭州。1875年王星斋在杭城清河坊创建王星记扇庄（后改名王星记扇厂），迄今已有130年历史，，他在选材、做工、品种等方面苦下功夫。
777,777,波音公司生产的客机的型号。目前主流机型。
谦谦有礼,谦谦有礼,谦谦有礼，读音为qiānqiānyǒulǐ，成语，意思是指谦逊、谦虚很有礼貌的样子。
梵圣,梵圣,梵圣化妆镜将当代科技与经典美学完美融合，采用世界上最流行的奢侈品制作工艺，镶嵌来自于艺术之都奥地利的高品质水晶，运用领先级的Swarovski水钻切割技术，历经百道纯手工工序精密打造，出自国内设计师领军人物的优雅设计，使每一个追求卓越的女人尽享奢华高贵的盛宴。
野兽派,野兽主义,野兽主义(Fauvism)是自1898至1908年在法国盛行一时的一个现代绘画潮流。它虽然没有明确的理论和纲领，但却是一定数量的画家在一段时期里聚合起来积极活动的结果，因而也可以被视为一个画派。野兽派画家热衷于运用鲜艳、浓重的色彩，往往用直接从颜料管中挤出的颜料，以直率、粗放的笔法，创造强烈的画面效果，充分显示出追求情感表达的表现主义倾向。
THE BEAST,野兽,《野兽》是由瓦莱利安·博罗夫奇克导演，由SirpaLane、LisbethHummel、ElisabethKaza主演的一部法国爱情、奇幻、剧情、恐怖、县疑影片。于1975年08月20日上映。该片主要讲的是人类与兽类在性方面的一致性和矛盾性.作为脱离动物界的高级动物的人类却永远摆脱不了野兽一样的性欲甚至为了某种特殊目的.做出同野兽乱交的下流勾当.它告戒我们如何理智地面对这种现象。
派克,派克,派克是派克汉尼汾的简称，英文ParkerHannifin，它是全球领先的运动和控制技术与系统多元化制造商，全球最大的传动控制产品服务商，工业领域提供最全面的精准解决方案。世界最大的专业液压接头、胶管总成、硬管接头EO|EO2接头，快速接头产品，制冷空调件、气动、自动控制产品制造商。拥有BALSTON、DH、RECTUS、TEMA、Alron、Racor、Finite等知名品牌。上世纪70年代进入中国，在中国的技术和产品推广主要由威士乐集团来负责。另外，是文具品牌（香港译作栢架）；也是著名的好来坞(香港译作荷里活，Hollywood)明星。
PARKER,parker,Parker中文名称派克（派克汉尼汾的简称）ParkerHannifin，是全球领先的运动和控制技术与系统多元化制造商，为广泛的传动控制、工业和航空市场提供精准解决方案，现已成为世界上最大的专业生产和销售各种制冷空调件、液压、气动和流体控制产品及元器件的全球性的公司。ParkerPEN派克钢笔是顶端钢笔的代名词，派克钢笔经营哲学：“使产品更臻完善，人们才会购买”一直指导着派克致力于制造“更好的笔”，这亦是历经百年沉积在派克笔中的深厚的文化内涵。
星扉,星扉,《星扉》是一本玄幻（奇幻）小说，作者是落千水。
不二礼坊,不二礼坊,不二礼坊是2008年1月28日诞生的礼品品牌。
PHILIPPI,Philippi,1992年成立于德国汉堡，由6位杰出的欧洲设计师组成。作品结合艺术与现代实用空间，简约、细致、美观和实用的手法，赋予极富个性的生命力。
富山香堂,富山香堂,富山香堂，1992年在台湾成立，总部设立在高雄，2008年开始进入大陆市场，目前为止已发展60家分店，是国内知名熏香品牌。富山香堂是源自台湾品牌，在日本及韩国皆建立相当良好的口碑，技术及经验备受海外肯定，进口世界顶级沉香木结合特殊配方，研发高阶熏香产品，带给台湾顶级贵族般的熏香感受。富山香堂南京品牌店，于2012年6月成立，位于繁华的白下区太平南路84号。富山香堂南京店以其独特的平静祥和的经营氛围，成为繁华闹市的别样风景。
