美乐棵,美乐棵,美乐棵是美国ScottsMiracle-Gro公司下属园艺品牌。ScottsMiracle-Gro公司创立于1868年，起源于美国俄亥俄州，至今已有140多年历史，以不断创新的精神引领全行业，是世界最大的园艺品牌产品公司。
国光,国光,国光，是国家农药生产企业，成立于1984年，经过20年的发展历程，今天已成为中国十大名牌农药企业，四川省高新技术企业，四川省农药工业协会副理事长单位，四川省著名商标的全国知名农化企业，靠的是企业一开始就把“做质量、做诚信、做品牌、做特色、做服务、做百年”作为企业经营理念，坚信企业竞争的关键是质量、品牌和企业文化，在企业整个经营过程中，国光始终把“走诚信路、做百年厂、祥和似家”作为制定政策和行动的指南，未来农药竞争，只有品牌才能取胜。国光十分重视品牌在农民心中的建立，并将“把质量和品牌建在用户心中”落实到公司各项工作中加以执行，企业的定位是使国光成为一个有特色、专而强的小巨人。
桂湖,桂湖,桂湖是一座位于中国四川省成都市北部的新都区境内的园林，是四川园林中川西园林的代表作之一。详细资料请见词条：升庵桂湖
喷施宝,喷施宝,喷施宝，提高抗旱保苗能力，保护烟苗更加鲜活、少补苗、少死苗。
纳格兰,纳格兰,纳格兰，是游戏《魔兽世界》中的一个地名。所属级别：64－67。纳格兰大草原，兽人族最早的聚集地，外域最美的区域，同时兼具粗犷与秀丽。表面上基本没有受到任何污染。虽然没有副本，但地图中央的哈尔拉常年战火纷飞两边阵营打得不亦乐乎。因为这里动物多，任务多，PVP多，又被称之为荆棘谷升级版。
中保,中保,犹太教和基督宗教对摩西的称谓，以及基督宗教对耶稣基督的称谓。“中保”从希伯来语词源上看是中间人的意思，在甲乙双方之间，对甲方代表乙方，对乙方代表甲方；宗教上的内涵是在上帝面前代表人，在人面前代表上帝；因此，摩西被称为旧约（基督宗教）——希伯来圣约（犹太教）——的中保，而新约要求的唯一中保必须既完全是上帝、又完全是人，即只能是耶稣基督。
满城春,满城春,柳家是连皇帝都要给三分面子的大世家柳雁是最得疼爱的小女儿她的任务，就是在这满城春光里，发芽长大~
月娥,月娥,月娥，明朝烈女，西域人，元武昌尹职马禄丁女。
陆地,陆地,陆地，拼音lùdì，指地球表面的固体部分，与海洋的水域形成对照。如：航行到看不见陆地了。它由大陆、岛屿、半岛和地峡几部分组成。它的平均海拔高度为875米。总面积1.49亿平方公里，占地球表面积的29.2%。
LD,镭射影碟,镭射影碟（Laserdisc，LD）是种于1980年代至1990年代中流行的影像储存媒体，主要用于电视、电影和卡拉OK（主要是卡拉OK的应用）储存电影的双面视频光盘。现在已差不多被DVD完全代替。镭射影碟尺码和黑胶唱片相若，表面和音乐光碟（CD）相似。镭射影碟机以镭射读取（和CD类似）预先刻录在碟片上的讯号，并转换成影像讯号（如PAL、NTSC）供电视机播放。由于使用类比储存，镭射影碟没有DVD“马赛克”、色带或其他因数码量化带来的问题。於1980年代相对当时流行的VHS放映是颇为昂贵的东西。LD能提供的影像质素接近广播电视，而且因为是非接触式的关系，没有录影带放多了会影像会变差的问题。
