京东生鲜,京东生鲜,
zespri,zespri,ZESPRI（佳沛）是受托于新西兰奇异果农的行销公司。当时在日本的新西兰奇异果因为新西兰总部大刀阔斧缩减日本的进口商，没想到引发反制，进口商转而投向竞争者，新西兰奇异果的市占率一落千丈，濒临退出市场困境。朋友们听到一个毕业至名校的MBA要去卖水果，多半很不以为然。在主流价值观中，没有几个人愿意到这个小池塘打硬战。百废待举，要烧热冷灶，何等不易？他却有另类的看法：“有何不可？尿布，我都卖过（指P&G时期）！”别人的眼中，P&G是工作天堂，ZESPRI是沙漠。但他却在沙漠中看到绿洲，因为农产销售领域没有顶尖的行销人才，反而有很大的发挥空间。
洛川苹果,洛川苹果,洛川苹果是指陕西洛川的苹果。洛川苹果，具有品质优良，果形优美，个大均匀，果面洁净，色泽艳丽，肉质脆密，含糖量高，香甜可口，硬度适中，耐贮藏等特点。陕西洛川，人称“苹果之乡”。这里出产的苹果，素以色、香、味俱佳著称。洛川县被列为中国苹果外销的重要生产基地之一。
Dole,Dole,Dole（都乐）食品公司于1851年在夏威夷岛成立，Dole发展至今已成为世界上最大的、品质最好的新鲜水果、蔬菜的生产、销售跨国集团之一。
康乐欣,康乐欣,康乐欣 是太原市鸿新农产品有限公司旗下产品品牌，品牌注册号7488453。 
天天果园,天天果园,天天果园创建于2009年， 是国内新型生鲜零售企业。 精选全球鲜果美食，搭建从产地到消费者之间的直供平台，自建冷库，冷链物流。便利宅送，全年无休。主营中高端水果产品，包括进口鲜果和国内优质鲜果。天天果园拥有网站订购，电话订购，电视购物（东方CJ）、企业直供（大客户定制）和实体服务点等多元供应渠道。团体大客户，可享受量身定制产品的服务。天天果园的愿望是，让客户享受到真正健康、美味的世界鲜果和管家式体贴放心的服务。
新奇士,新奇士,来自北海，自称“新时代海贼”的海贼团，唾弃“非现实”的浪漫与梦想，追求“现实”的即时享乐，海贼船名为“新·维奇·贝娄号”，从船头到船帆上都点缀著贝拉密的首领“王下七武海”之一的唐吉诃德·杜夫拉明高的象征。被唐吉诃德·杜夫拉明高控制杀死贝拉米后，（贝拉米在漫画中被证实未死，再次登场）现状不明。
鲜蜂队,鲜蜂队,
洛凌,洛凌,《洛凌》是在红袖添香网连载的古装言情小说，作者是蓝若玫瑰琳。
常枫,常枫,常枫，1923年4月6日出生于哈尔滨市，台湾演员。父亲是汉人，母亲是满族八旗镶黄旗人。1949年，常枫随国民革命军前往台湾，并与张遥结婚。常枫与张遥及女儿常青都是演员，另有一个儿子定居美国。曾获金马奖和金钟奖，代表作品有《颐园飘香》《两种结局》《追妻三人行》。2008年，获金马奖终身成就奖；2015年9月常枫获得第50届金钟奖特别贡献奖。
梅珍,梅珍,《梅珍》是刘家昌执导，王惠五、吴铃山等参演的动作战争冒险电影。影片讲述了在第二次世界大战前，四十年代中国发生内战，国民党相争，一位生长於农村家庭的领导人物梅珍的故事。
Chamberlain,Chamberlain,张伯伦Chamberlain，名字含义是贵族的管家。
其它,其它,其它，即"其余的它者"，物主代词。在“其他”作人称代词时，其他与其它是区别的；在“其他”表示其余者而用于物称时，二者就可以换用。古汉语里有的也写作“其佗”，佗是物主代词，如《左传·隐公元年》”佗邑唯命“，它也是物主代词，如《后汉书·列女传》”无它异“。佗、它通假而用，类似通假在先秦秦汉是普遍现象。古汉语不区分其他与其它，现代汉语里他作为人称代词而它作为物主代词了，因此，在现代汉语环境，谈物时，用“其他”是继承古代用法，用“其它”是新环境里的合逻辑用法，都可以。
庆阳苹果,庆阳苹果,庆阳苹果，甘肃省庆阳市特产，中国地理标志产品。该市地处陇东黄土高原沟壑区，土层深厚，气候温和，雨量适中，光照充足，昼夜温差大，自然条件得天独厚，非常适宜于苹果等果树生产，果树栽植历史悠久。所产红富士、新红星、秦冠等苹果，个大、色艳、质脆、味香甜，远销国内各大中城市及东南亚、欧洲的一些国家和地区，深受消费者青睐，多次参加国家、省部、地市果品鉴评会，并获奖。
舒扬,舒扬,舒扬，原名苏叔阳，河北保定人。中共党员。1960年毕业于中国人民大学中共党史系。历任中国人民大学中共党史系助教，北京师范学院政治教育系讲师，保定变压器厂工人，北京中医学院讲师，北京电影制片厂文学部国家一级编剧。
优木良品,优木良品,优木良品是一个时尚服装品牌，为上海木子工房网络科技有限公司旗下品牌。
沾化冬枣,沾化冬枣,“沾化冬枣”产于沾化区境内，是一种珍贵稀有的鲜食果品。十几年来，沾化区不断探索开发之路，使之造福人类。如今，这一稀有资源终于从庭院走向大田，其规模不断扩大。1995年5月，在“全国首届百家特产之乡”评选活动中，沾化区被命名为“中国冬枣之乡”。沾化冬枣成熟期晚(10月中下旬成熟)，状如苹果，有“小苹果”之称。平均单果重20g左右；色泽光亮赭红；味质极佳，皮薄肉脆，细嫩多汁，甘甜清香，营养丰富。经北京营养源研究所分析化验，沾化冬枣含人体所需的19氨基酸和A、B、C、P等多种维生素，含可溶性固形物34-38%，维生素C352cg/100g。与其它果品相比，是苹果的70倍，梨的140倍，营养价值为“百果之冠”，被誉为“百果王”、“活维生素丸”。一位中央领导品尝后称赞沾化冬枣为“天下奇果”，美国俄勒岗大学园艺农学院生命科研所主任鲍依尔、教授福基高米品尝后，称其为“世界第一果品”。
桃李村,桃李村,桃李村民委员会，属于山区。距离村委会0.00公里距离镇15.00公里，国土面积45.89平方公里，海拔1697.00米，年平均气温17.30℃，年降水量910.00毫米，适宜种植水稻、玉米、烤烟等农作物。有耕地3449.00亩，其中人均耕地1.71亩；有林地55848.00亩。
星云湖,星云湖,星云湖位于江川县城北1公里处，与抚仙湖仅一山之隔，一河相连，俗称江川海。湖面海拔高出抚仙湖1米，该湖南北长10.5公里，东西平均宽3.8公里，最窄处2.3公里，湖岸线长36.3公里，总面积为34.71平方公里；平均水深7米。最大深度10米，透明度约1.5米。由于湖水碧绿清澈，波光妩媚迷人，月明之夜，皎洁的月光映照湖面，如繁星闪烁，坠入湖中，晶亮如云，故而取名为星云湖。星云湖属营养性湖泊，是发展水产养殖业的天然场所，也是云南省较早有专业部门繁殖和放养鱼类的湖泊。
文果,文果,文果，一名止，字子敬（或作豹），又字止菴，长洲（今江苏苏州）人。
Member's Mark,Member's Mark,
秦苑,秦苑,秦苑，读音为qínyuàn，汉语词语，指古秦国宫苑。
沂源苹果,沂源苹果, 沂源苹果，山东省沂源县特产，中国地理标志产品。沂源县土质好，地势高，光照强，昼夜温差大，境内无客水流入，发展绿色无公害果品、蔬菜有着得天独厚的条件，是全国果品生产百强县、是全国果品生产百强县、无公害果品生产示范基地县、绿色食品红富士苹果标准化生产基地县、果品标准化生产示范区。沂源苹果以其色泽鲜艳、清脆香甜而闻名于世。先后获得省部级荣誉称号40多个，有“江北第一果”的美誉，有“奥运果”、“全运果”、“世博果”之称。
农派三叔,农派三叔,农派三叔原本是新浪微博上一个不知道的新帐号，于2013年3月23日被网友爆出该帐号与写作《盗墓笔记》而走红的作家南派三叔有着千丝万缕的关联，因而受到广大网友的关注。
誉福园,誉福园,誉福园是原生态农产品品牌，致力于让城市家庭吃上放心农产品，坚持原产地和自有基地直供，坚守农产品原生态耕作种植传统，以“天下无毒”作为公司的最高田园梦想。采用公司+基地+农户的产业联合经营模式。
新食尚,新食尚,《新食尚》是由济南鑫润传媒广告公司投资运作的高档餐饮类杂志，同时该刊亦是鑫润传媒与山东工商联酒店业商会、济南饮食业协会合作创办的双会会刊。
