大洋世家,大洋世家,大洋世家是一家位于广州市的餐厅，人均消费139元。
獐子岛,獐子岛,獐子岛位于辽宁省大连市长山群岛的最南端，由獐子岛、褡裢岛、大耗子岛、小耗子岛等四个岛屿组成，距离大连56海里。獐子岛上有金沙滩浴场、鸭石旅游度假村、风力发电工程、鹰嘴石森林公园、滨海路等观光景点，岛上有渔家乐可以品尝地道的渔家美食。岛上的獐子岛渔民节、渔家秧歌婚礼，让游客可以更多地体验渔家风情。
晓芹,晓芹,晓芹是大连晓芹食品有限公司董事长兼总经理，大连海参商会副会长，大连市金州区人大代表，大连市特等五一劳动奖章获得者，CCTV首届全国十大三农致富榜样获得者，创业多年来，她全心投入到自己的事业之中，在全国开设了几十个"店中店"，打造了企业的销售网络和品牌形象。
海晏堂,海晏堂,圆明园古迹海晏堂“海晏”一词取意“河清海晏，国泰民安”。《文苑英华》唐郑锡《日中有王字赋》：“河清海晏，时和岁丰”河，黄河；晏，平静。“河清海晏”也作“海晏河清”，意指黄河水流澄清，大海风平浪静。此语用以比喻天下太平，有歌颂世界和平的吉祥涵义。中国皇家园林圆明园中观赏实用性建筑“海晏堂”之名也出于此。此建筑群的精华——十二生肖铜雕以水报时，闻名世界。
HYT,HYT,沃益多---HYT(HighYieldTechnology“高产技术”产品)是源于美国，由挪威AgrinosAS全球推广的高效微生物菌肥系列产品。沃益多(HYT)是由美国生物学家团队，经过数年研究开发出的高活性土壤微生物菌种，在上世纪90年代开始推广应用，在过去20年中不断发展成熟。沃益多产品实现了生物学和土壤微生物技术上的重大突破。
蓝雪,蓝雪,这套丛书主要是介绍使用母语写作的当代维吾尔、哈萨克等少数民族作家的作品，因此，它们实际上又是一套翻译文学丛书。
丰度,丰度,丰度 （即为该元素在自然体中的丰度abundanceofelements）是指一种化学元素在某个自然体中的重量占这个自然体总重量的相对份额（如百分数）。丰度表示方法主要分为重量丰度、原子丰度和相对丰度。词条详细介绍了研究元素丰度的意义、发现历史、以及地壳元素丰度等内容。
京东生鲜,京东生鲜,
Member's Mark,Member's Mark,
金鹏,广州金鹏集团有限公司,广州金鹏集团有限公司（以下简称“金鹏集团”）成立于1998年，是在工业和信息化部和广州市的大力支持下组建的主要从事数字化城市、通信两大产业的产品研究开发、工程设计、生产制造、安装和服务的高科技企业。经过多年的发展，依托金鹏集团设立的广东省移动通信技术研究开发中心及广东省重点企业技术中心这两个技术创新的重要载体，金鹏集团也已成为数字化城市和通信领域的知名企业，并朝着领先的数字化城市服务提供商迈进。
海天下,海天下,海天下（现更名为星海CEO公馆）项目位于大连市沙区星海湾商务中心区5号，东邻星海会展中心，北邻现代博物馆，西邻世纪经典和国航大厦。是由大连伟岸投资有限公司开发，大连金广建设集团承建。总占地1万5千平，建筑面积11万平方米。绿化率25.4%，容积率为6.5。周边多条公交线路，16路、23路、406路等。
那片海,那片海,《那片海》是一首选自韩红专辑《醒了》的国语歌曲，由韩红作词、作曲并演唱，在2001年5月1日由麒麟童唱片出版并发行，同时《那片海》有几个版本。《那片海》是《风雨中的美丽》之后又一首精心炮制的流行佳作，在同样执着的情感和动人的旋律下是韩红日渐成熟和深邃的内心世界，如果有机会一定要听一下韩红的钢琴自弹自唱版本，技巧虽不完美但别具韵味。 
三都港,三都港,三都港是居中国东部沿海中点位置的港湾。该港经金梭门水道转南向穿过东冲口直通东海，海域面积40.06平方公里，港深10米以上，最深处达51米，一般为30～50米，鸡公山西侧深达110米。三都港是福建省6个能进5～10万吨级轮船的天然深水港之一。1986年，上海港口专家认为，仅其中城澳5.5公里的岸线，就可建10万吨级以上的泊位15个。中国科学院院长郭沫若考察三都港，有诗赞曰:“良港三都举世无，水深湾阔似天湖。”
海边人,海边人,该剧通过革命烈士赵斌一家人的遭遇，讲述了生长在黄海边上的人们，为祖国的解放事业，前赴后继，不怕流血牺牲，在社会主义建设中历经磨砺、不懈追求的故事。
鲜元素,鲜元素,鲜元素，台商独资创办，主要经营带有外部软包装的即时性冷热饮品、经典冰品，于2008年初在北京成立了北京鲜元素饮品有限公司。
陆龙,陆龙,陆龙，字铁夫，江苏吴县（今苏州）人。寓居上海。山水宗四王。
味库,味库,味库 是一款美食APP，作为生鲜半成品净菜平台，以一道菜为单位将洗好、切好、配好的新鲜食材直接宅配到家。此外还提供菜谱搜索、智能组菜等功能，帮助用户避免家中食材的浪费。 新华网报道，作为国内最大生鲜半成品净菜平台的味库APP与中国人寿财险达成合作，强制要求所有入驻平台的食品供应商为自己的产品全部投保中国人寿财险食品安全责任险。用户在味库APP上购买的生鲜半成品净菜一旦出现食品安全问题，提交证明材料后中国人寿财险将按照保险合同相关约定承担保险责任，每一道菜品的最高保额为2万元。 
好当家,好当家,山东好当家海洋发展股份有限公司原名山东邱家水产股份有限公司，系经荣成市体改委荣体改生字第6号文批复，同意山东邱家水产股份有限公司以1999年12月31日为基准日进行分立；分立后续存的股份公司，股本为12000万元，并将名称变更为山东好当家海洋发展股份有限公司，2000年9月8日经山东省工商行政管理局变更注册登记，营业执照注册号为3700001805357。
ICEFRESH,ICEFRESH,ICEFRESH是一家来自挪威的生鲜品牌。2015年正式进入中国市场，ICEFRESH主要提供海鲜品。品类包括三文鱼、北极红点鲑、比目鱼、黄道蟹、鳕鱼、嘉鱼等海洋鱼。ICEFRESH以专利保鲜技术和配送系统，全程采用冷运宅配，经专用车载控温箱配送，同时每日将温度系数反馈给ICEFRESH，目前已在上海拥有50个以上配送中心。 
查干湖,查干湖,查干湖，原名查干泡、旱河，蒙古语为“查干淖尔”，意为白色圣洁的湖，大部位于吉林省西北部的前郭尔罗斯蒙古族自治县境内，西邻乾安县，北接大安市，处于嫩江与霍林河交汇的水网地区，是霍林河尾闾的一个堰塞湖。一般最大湖水面307平方公里，湖岸线蜿蜒曲折，周长达104.5公里。蓄水高程130米时，水面面积345平方公里。蓄水6亿多立方米，是全国十大淡水湖之一、吉林省内最大的天然湖泊。 查干湖资源多种多样，得天独厚。特别是渔业资源丰富。自辽金以来历代帝王都到查干湖“巡幸”和“渔猎”，举行“头鱼宴”和“头鹅宴”。元代至清初，这一带江流泡沼星罗棋布，银鱼穿梭，水草肥美，雁鸭栖集。沿岸林木蓊郁，田野芳草葳蕤，风景如画。是辽、金、元几代帝王巡幸游乐的渔猎之地。2007年8月1日，查干湖经国务院批准列为国家级自然保护区。而以查干湖冬捕为标志的渔猎文化也成为其文化遗产之一。 
天海藏,天海藏,
美加佳,美加佳,美加佳，1990年3月21日出生于上海市，中国内地女演员。从小参加多部影视作品的拍摄。平时有弹吉他创作歌曲等爱好，是个圈内人一致评为的小才女。长不大的娃娃脸和纯净的眼神是其标志性特点。出生于上海，祖籍山东。原为上海世创影音制作有限公司签约歌手，SweetHeart甜心少女组合中心成员。 
沃派,沃派,“沃派”是联通首次统一发布的青少年品牌，具有低资费、高流量、高通话时长等特点。其门槛低，是一款适合学生及低消费群体的入门级手机套餐。
水娃娃,水娃娃,大连水娃娃海产品有限公司成立于2002年8月，地理位置位于辽东半岛东岸，北纬39°、东经122°，与长海县的广鹿岛、大长山岛隔海相望。基地占地面积5000余亩，这里自然生态环境优美，年平均水温在11C左右，水体平均盐度为31‰，水质营养丰富，各类浮游生物种类繁多，是得天独厚的天然养殖场。基地自创立之初就充分利用该海域处于‘大连海参’地理标志的核心区域这一优势，紧密依托大连水产学院等大专院校、科研单位专家，通过建立实验室、加工厂，开展国内、国际合作交流等方式，如今已发展成了产、供、销为一体的现代化海参养殖示范基地。该基地推出的加工产品‘水娃娃海参’系列产品，一经推向市场，立即受到广大市民的普遍好评，正是由于基地处于北纬39°这一得天独厚的资源优势以及细节决定品质的企业理念，成就了如今‘水娃娃海参’舍我其谁的优良品质。
上品堂,上品堂,上品堂是1998年推出的海参产品品牌。品牌涵盖“纯干海参”、“即食海参”、“鲜食海参”等多样产品。 
财神岛,财神岛,财神岛集团始创于一九九六年。经过10多年经营，财神岛公司不断发展壮大并升级为实力超凡的企业集团。财神岛集团始终专注于纯干海参品质，并一直将产品质量视为企业第一生命，凭借9年淡干海参卓越品质脱颖而出，成为整个行业干参产品领袖企业，2012年成为中国驰名商标。
