金龙鱼,金龙鱼,金龙鱼上市25年来，秉承诚信、创新、品质、服务四大经营理念，坚守“温暖亲情大家庭”的品牌诉求，专注粮油食品，把中国人的厨房作为自己的事业，严把产品质量关，不断研发满足市场需求的产品，为消费者提供多元化的选择。截至目前，金龙鱼品牌系列产品已经涵盖了食用油、大米、面粉、挂面、米粉、豆乳、调味品、餐饮粮油等八大领域，真情服务三亿中国家庭 。“金龙鱼”是新加坡郭兄弟粮油私人有限公司所拥有的食用油品牌。1974年，郭兄弟集团在中国投资了嘉里粮油（中国）有限公司，从此开辟了中国市场。益海嘉里是丰益国际在华投资的全资子公司，是世界最大的小包装油生产商之一。在中国境内35个城市设有企业110多家，在最大的货运枢纽附近建立58个生产基地，现在益海嘉里规模宏大的生产、销售和物流网络，覆盖了中国多个省、市、自治区的2839个县市，拥有近350个销售处，1585个经销商5000多家分销商，超过100万个终端保证供应。
福临门,福临门,中粮食品营销有限公司成立于2007年1月，其前身是上海福临门食品有限公司。中粮食品营销有限公司是中国粮油食品（集团）有限公司旗下的全资子公司，全面负责投资方在国内生产的“福临门”，“四海”，“滋彩”等系列厨房食品的营销推广和品牌运作等事务。中粮食品营销有限公司总投资额为5，000万人民币，目前，其旗下品牌“福临门”系列食用油产品的销量位居行业前茅，该品牌已经成为国内食用油行业的顶尖品牌之一。
康师傅,康师傅控股有限公司,康师傅控股有限公司（康师傅公司），主要在中国从事生产和销售方便面、饮品、糕饼以及相关配套产业的经营。2012年3月底，康师傅与百事可乐公司的战略联盟已经被商务部批准，“康师傅可乐”将现身于众。2015年1月1日起，康师傅控股有限公司发布公告表示，一手创立康师傅品牌的顶新集团创始人魏应州正式从行政总裁的位置上退下。已任命集团食品事业执行长韦俊贤接替魏应州担任行政总裁，任命自2015年1月1日起生效，魏应州将继续担任董事会主席，他将专注于集团的整体发展策略规划及高阶团队计划。 顶新集团证实，台湾康师傅决议自2017年1月1日解散。 
李锦记,李锦记,李锦记创建于1888年，它凭借严格的品质管理和强大的市场拓展能力，在70年代起迅速建立起一个蜚声海内外的酱料王国，畅销产品达60余种，分销网络遍布世界五大洲100多个国家和地区。真正实现了“有华人的地方就有李锦记产品”。与同珍酱油、淘大和八珍并称香港四大酱园家族。斐然的成绩，使李锦记殊荣备至，先后荣获香港出口市场推广大奖、海外拓展成就奖、亚洲第四大品牌称号及亚洲食品第一品牌等奖项，并当选为香港20大杰出商业机构，李文达主席也被评为香港100位最具影响力的人物之一。进入21世纪，李锦记被评为千禧年香港十大企业。
鲁花,鲁花,山东鲁花集团有限公司是一家大型民营企业、农业产业化国家重点龙头企业。集团现拥有员工10000多人，下设26个生产基地，横跨食用油、调味品、蔬菜加工等多个行业。主要产品有“鲁花5S压榨一级花生油”、“剥壳压榨葵花仁油”、“压榨特香菜籽油”、“玉米油”、“橄榄油”、“芝麻香油”、“自然鲜酱香酱油”、“酿造黑糯米香醋”、“料酒”、“花生制品”、“矿泉水”、“FD食品”等。2002年，鲁花花生油获“国家级放心油”荣誉称号；2003年成为“人民大会堂国宴用油”；2004年，被国家公众营养与发展中心授予“营养健康倡导产品”；同年“鲁花”商标被国家认定为“中国驰名商标”；2005年，鲁花花生油被国家评为“中国名牌”产品。2013年，鲁花“5S纯物理压榨工艺”荣获“国家科学技术进步奖”。鲁花已成为深受消费者喜爱的中国花生油第一品牌。 
海天,佛山市海天调味食品股份有限公司,海天是国内专业的调味品生产和营销企业，溯源于清乾隆年间的佛山酱园，至今已有将近300年的历史，产品涵盖了酱油、蚝油、醋、调味酱、鸡精、味精、油类、小调味品等八大系列200多个规格和品种。1994年海天成功转制，成全球最大的专业调味品生产和营销企业。2010年12月，由原来的佛山市海天调味食品有限公司，改为佛山市海天调味食品股份有限公司，简称海天味业。2014年2月11日，海天在上交所主板成功挂牌上市，股票名称为“海天味业。” 
北大荒,北大荒,北大荒旧指中国黑龙江省北部在三江平原、黑龙江沿河平原及嫩江流域广大荒芜地区。中国五十年代进行大规模开垦，经营农场，才使得北大荒变成了如今的北大仓，北大荒有“捏把黑土冒油花，插双筷子也发芽”的美称。北大荒这里并非自古以来就荒凉无人开垦，曾经击败辽与北宋的女真人就在此生存发达。清朝时满人大量入关，俄国势力趁虚进入；加上清王朝为了巩固祖先的龙脉，严禁汉人进入东北地区，使得边境千里人迹少见。
日清,日清,全名日清食品(日清食品株式会社、NissinFoodProductsCo.Ltd.)是一间日本食品公司，以推出各种即食食品著名，是总部位于大阪府大阪市淀川区的日本食品加工公司。由开发了世界最早的方便面ChickenRamen的安藤百福创办。和AcecookHouseFoods并列为同样总部位置于大阪的方便面厂商之一。
柴火大院,柴火大院,柴火大院是一家东北菜餐馆，位于济南市槐荫区张庄路119号。
味好美,味好美,1889年，味好美公司创立于美国马里兰州巴尔的摩市，创始人为WilloughbyM.McCormick，当时年仅25岁，白手起家年轻有为。
海底捞,海底捞,四川海底捞餐饮股份有限公司成立于1994年，是一家以经营川味火锅为主、融汇各地火锅特色为一体的大型跨省直营餐饮品牌火锅店，全称是四川海底捞餐饮股份有限公司，创始人张勇。海底捞在简阳、北京、上海、沈阳、天津、武汉、石家庄、西安、郑州、南京、广州、杭州、深圳、成都、韩国、日本、新加坡、美国等城市和国家有百余家直营连锁餐厅。2018年5月17日，海底捞国际控股在港交所递交上市申请。 
安琪,安琪,安琪，1999年荣获《欢乐总动员》模仿秀冠军，虽一度被误认为是模仿秀的她，一直坚持走自己的音乐之路，此后她的影响力涉及全国以至于韩国的MBC。十年磨一剑的她于2008年推出第一首个人单曲《等爱的女人》被当时网站纷纷收录，点击量一路飙升，《sosorry》《不敢爱的泪》《寂寞香烟》、《回不去》等相续问世，因此得到了华语界听众的大力支持及认可。
