安佳,安佳,安佳，全球知名乳制品品牌。1886年诞生于新西兰，产品热销全球70多个国家和地区，深受万千消费者的青睐。
Anchor,安佳,安佳，全球知名乳制品品牌。1886年诞生于新西兰，产品热销全球70多个国家和地区，深受万千消费者的青睐。
德运,德运,德运是一个汉语词语，意思是王朝的气数命运。
雀巢,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
Nestle,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
德亚,德亚,德亚惯用脚：右脚欧洲三大杯：出场21次，进0球·欧洲冠军联赛：出场8次，进0球。
丽芝士,丽芝士,
荷兰乳牛,荷兰乳牛,“荷兰乳牛”(DutchCow)是荷兰一个历史悠久的乳品品牌，上世纪90年代初进入中国市场，圣元国际集团2007年并购“荷兰乳牛”，进一步打造成深受中国高端消费者欢迎的知名家庭营养品牌。自进入中国市场以来，荷兰乳牛始终如一、坚守责任、坦诚相待、守护全家健康，在充分发挥奶源优势的基础上，科学添加个性化营养元素，精准满足不同人群的营养需求。目前旗下产品涵盖成人奶粉、婴幼儿奶粉、液态奶三大系列。
歌帝梵,歌帝梵,在众多的比利时巧克力品牌中，最有名气的要数歌帝梵（Godiva）巧克力，1926年由比利时人JosephDraps创立。
Godiva,Godiva,Godiva是一个巧克力品牌，起源于比利时布鲁塞尔，由巧克力大师JosephDraps一手创办，并以传说中尊贵的Godiva夫人命名，至今已有超过90年的历史。有巧克力中的劳斯莱斯之称。
费列罗,费列罗,费列罗（FERREROROCHER）是意大利费列罗集团旗下的产品，集团是全球第四大巧克力制造商，并拥有一系列优质创新的产品，费列罗巧克力（FERREROROCHER）更是享誉全球的著名品牌。公司成立在1946年，由PietroFerrero先生在意大利北部开始创立公司，全力家族式经营，至今第三代，已发展到享誉盛名的跨国集团，并拥有一系列自创的名牌优质产品。2015年2月14日，意大利首富、费列罗巧克力创始人、意大利巧克力及零食生产商费列罗集团执行长费列罗，在情人节这天病逝在摩纳哥家中。享年89岁。 
依云,依云,依云的名字，源自凯尔特语“evua”，即“水”的意思。依云天然矿泉水的水源地法国依云小镇，背靠阿尔卑斯山，面临莱芒湖，远离任何污染和人为接触。经过了长达15年的天然过滤和冰川砂层的矿化，漫长的自然过滤过程为依云矿泉水注入天然、均衡、纯净的矿物质成份，适合人体需求，安全健康。依云天然矿泉水在水源地直接装瓶，无人体接触、无化学处理，每天进行300多次水质检查。在法国，依云已成为怀孕和哺乳期妈妈的信赖选择。自1789年依云水源地被发现以来，依云天然矿泉水已远销全球140个国家和地区。
evian,依云,依云的名字，源自凯尔特语“evua”，即“水”的意思。依云天然矿泉水的水源地法国依云小镇，背靠阿尔卑斯山，面临莱芒湖，远离任何污染和人为接触。经过了长达15年的天然过滤和冰川砂层的矿化，漫长的自然过滤过程为依云矿泉水注入天然、均衡、纯净的矿物质成份，适合人体需求，安全健康。依云天然矿泉水在水源地直接装瓶，无人体接触、无化学处理，每天进行300多次水质检查。在法国，依云已成为怀孕和哺乳期妈妈的信赖选择。自1789年依云水源地被发现以来，依云天然矿泉水已远销全球140个国家和地区。
瑞士莲,瑞士莲,瑞士莲史宾利公司始于1845年，史宾利父子在苏黎世创立了自己的巧克力商店。自那时起，公司经历了不同的历史时期，但企业家精神以及创作高品质巧克力的热情从未褪去。目前它已经被业界公认为极具创新力的高档巧克力制造商，在世界100多个国家均有销售，在全球4大洲均设有销售公司。
星巴克,星巴克,星巴克（Starbucks）是美国一家连锁咖啡公司的名称，1971年成立，是全球最大的咖啡连锁店，其总部坐落美国华盛顿州西雅图市。星巴克旗下零售产品包括30多款全球顶级的咖啡豆、手工制作的浓缩咖啡和多款咖啡冷热饮料、新鲜美味的各式糕点食品以及丰富多样的咖啡机、咖啡杯等商品。星巴克在全球范围内已经有近21300间分店遍布北美、南美洲、欧洲、中东及太平洋区。2012年3月，星巴克在美国的两款甜点被曝用胭脂虫当着色剂，专家称令哮喘者过敏。2012年4月，星巴克表示停用该着色剂。2017年1月31日，美国咖啡连锁巨头星巴克在该公司的移动应用MyStarbucks里推出了一项新的语音助手功能，方便用户通过语音点单和支付。 星巴克公司宣布将在2018年5月29日的下午关闭全美约8000家直营店面，对17万员工进行“反种族歧视”的相关培训。 
Starbucks,星巴克,星巴克（Starbucks）是美国一家连锁咖啡公司的名称，1971年成立，是全球最大的咖啡连锁店，其总部坐落美国华盛顿州西雅图市。星巴克旗下零售产品包括30多款全球顶级的咖啡豆、手工制作的浓缩咖啡和多款咖啡冷热饮料、新鲜美味的各式糕点食品以及丰富多样的咖啡机、咖啡杯等商品。星巴克在全球范围内已经有近21300间分店遍布北美、南美洲、欧洲、中东及太平洋区。2012年3月，星巴克在美国的两款甜点被曝用胭脂虫当着色剂，专家称令哮喘者过敏。2012年4月，星巴克表示停用该着色剂。2017年1月31日，美国咖啡连锁巨头星巴克在该公司的移动应用MyStarbucks里推出了一项新的语音助手功能，方便用户通过语音点单和支付。 星巴克公司宣布将在2018年5月29日的下午关闭全美约8000家直营店面，对17万员工进行“反种族歧视”的相关培训。 
小老板,小老板,小老板是一个汉语词汇，意思是资本较少，经营范围较小的私营工商业者。
巴黎水,巴黎水,巴黎水即Terraké·法国天芮海洋能量保湿爽肤水。天芮的“巴黎水”具有十分强的保湿补水能量，含有精粹和活性成分，更能够激发后续保养品的吸收。
Perrier,Perrier,巴黎水是一种天然有气矿泉水。制作巴黎水的水源位于法国南部，靠近尼姆的Vergèze镇内的孚日山脉，是天然有气矿泉水与天然二氧化碳及矿物质的结合。
三养,三养,三养，读音sānyǎng，汉语词语，谓养福、养气、养财。
